     support confidence     lift leverage   jaccard
1      0.215  0.8958333 3.656463 0.156200 0.7962963
2      0.215  0.8775510 3.656463 0.156200 0.7962963
3      0.215  0.8958333 3.583333 0.155000 0.7818182
4      0.215  0.8600000 3.583333 0.155000 0.7818182
5      0.220  0.9166667 3.666667 0.160000 0.8148148
6      0.220  0.8800000 3.666667 0.160000 0.8148148
7      0.245  1.0000000 4.000000 0.183750 0.9800000
8      0.245  0.9800000 4.000000 0.183750 0.9800000
9      0.225  0.9183673 3.673469 0.163750 0.8333333
10     0.225  0.9000000 3.673469 0.163750 0.8333333
11     0.240  0.9600000 3.764706 0.176250 0.9056604
12     0.240  0.9411765 3.764706 0.176250 0.9056604
13     0.215  0.8600000 3.372549 0.151250 0.7413793
14     0.240  0.9600000 3.764706 0.176250 0.9056604
15     0.240  0.9411765 3.764706 0.176250 0.9056604
16     0.235  0.9400000 3.686275 0.171250 0.8703704
17     0.235  0.9215686 3.686275 0.171250 0.8703704
18     0.230  0.9019608 3.537101 0.164975 0.8214286
19     0.230  0.9019608 3.537101 0.164975 0.8214286
20     0.230  0.9019608 3.537101 0.164975 0.8214286
21     0.230  0.9019608 3.537101 0.164975 0.8214286
22     0.170  1.0000000 4.081633 0.128350 0.6938776
23     0.170  0.8947368 3.728070 0.124400 0.6538462
24     0.160  0.9411765 3.764706 0.117500 0.6153846
25     0.160  1.0000000 4.166667 0.121600 0.6666667
26     0.170  1.0000000 4.000000 0.127500 0.6800000
27     0.170  0.8947368 3.728070 0.124400 0.6538462
28     0.060  0.8571429 3.428571 0.042500 0.2307692
29     0.060  1.0000000 4.166667 0.045600 0.2500000
30     0.070  1.0000000 2.000000 0.035000 0.1400000
31     0.165  1.0000000 4.081633 0.124575 0.6734694
32     0.165  0.9705882 4.044118 0.124200 0.6734694
33     0.155  0.9393939 3.757576 0.113750 0.5961538
34     0.165  1.0000000 4.000000 0.123750 0.6600000
35     0.165  0.9705882 4.044118 0.124200 0.6734694
36     0.065  1.0000000 4.166667 0.049400 0.2708333
37     0.100  1.0000000 4.081633 0.075500 0.4081633
38     0.200  0.9302326 3.720930 0.146250 0.7547170
39     0.200  0.9302326 3.796868 0.147325 0.7692308
40     0.200  1.0000000 4.166667 0.152000 0.8333333
41     0.215  1.0000000 4.000000 0.161250 0.8600000
42     0.215  0.9772727 3.988868 0.161100 0.8600000
43     0.215  0.8775510 3.656463 0.156200 0.7962963
44     0.100  1.0000000 4.081633 0.075500 0.4081633
45     0.100  0.9523810 3.968254 0.074800 0.4081633
46     0.205  0.9534884 3.813953 0.151250 0.7884615
47     0.205  0.9318182 3.727273 0.150000 0.7735849
48     0.205  1.0000000 4.166667 0.155800 0.8541667
49     0.125  0.8928571 3.571429 0.090000 0.4716981
50     0.125  1.0000000 4.166667 0.095000 0.5208333
51     0.090  0.9000000 3.600000 0.065000 0.3461538
52     0.120  0.8571429 3.428571 0.085000 0.4444444
53     0.100  1.0000000 4.000000 0.075000 0.4000000
54     0.100  0.9523810 3.968254 0.074800 0.4081633
55     0.140  0.8750000 3.571429 0.100800 0.5283019
56     0.140  0.8750000 3.500000 0.100000 0.5185185
57     0.065  1.0000000 4.166667 0.049400 0.2708333
58     0.160  1.0000000 4.081633 0.120800 0.6530612
59     0.190  1.0000000 4.000000 0.142500 0.7600000
60     0.190  1.0000000 4.081633 0.143450 0.7755102
61     0.115  0.9583333 3.911565 0.085600 0.4600000
62     0.160  1.0000000 4.000000 0.120000 0.6400000
63     0.115  0.9583333 3.833333 0.085000 0.4509804
64     0.050  0.9090909 3.636364 0.036250 0.1960784
65     0.050  1.0000000 3.921569 0.037250 0.1960784
66     0.050  1.0000000 4.000000 0.037500 0.2000000
67     0.075  1.0000000 4.000000 0.056250 0.3000000
68     0.075  0.9375000 3.826531 0.055400 0.3000000
69     0.075  1.0000000 2.000000 0.037500 0.1500000
70     0.065  1.0000000 4.000000 0.048750 0.2600000
71     0.065  0.8666667 3.537415 0.046625 0.2549020
72     0.065  1.0000000 2.000000 0.032500 0.1300000
73     0.065  1.0000000 2.000000 0.032500 0.1300000
74     0.060  1.0000000 2.000000 0.030000 0.1200000
75     0.080  1.0000000 2.000000 0.040000 0.1600000
76     0.085  1.0000000 3.921569 0.063325 0.3333333
77     0.085  0.8500000 3.400000 0.060000 0.3207547
78     0.075  1.0000000 2.000000 0.037500 0.1500000
79     0.075  1.0000000 2.000000 0.037500 0.1500000
80     0.085  0.8500000 3.469388 0.060500 0.3269231
81     0.125  0.8928571 3.571429 0.090000 0.4716981
82     0.125  0.9259259 3.779289 0.091925 0.4901961
83     0.090  0.9000000 3.600000 0.065000 0.3461538
84     0.090  0.9000000 1.800000 0.040000 0.1764706
85     0.055  0.9166667 3.666667 0.040000 0.2156863
86     0.085  0.8500000 3.400000 0.060000 0.3207547
87     0.050  0.9090909 3.565062 0.035975 0.1923077
88     0.055  1.0000000 3.921569 0.040975 0.2156863
89     0.050  0.9090909 3.565062 0.035975 0.1923077
90     0.155  0.9117647 3.647059 0.112500 0.5849057
91     0.170  1.0000000 4.000000 0.127500 0.6800000
92     0.170  1.0000000 4.081633 0.128350 0.6938776
93     0.065  1.0000000 4.081633 0.049075 0.2653061
94     0.105  1.0000000 4.081633 0.079275 0.4285714
95     0.155  0.9117647 3.647059 0.112500 0.5849057
96     0.060  0.9230769 3.692308 0.043750 0.2352941
97     0.065  1.0000000 4.000000 0.048750 0.2600000
98     0.125  1.0000000 4.081633 0.094375 0.5102041
99     0.065  1.0000000 4.000000 0.048750 0.2600000
100    0.105  1.0000000 4.081633 0.079275 0.4285714
101    0.055  1.0000000 2.000000 0.027500 0.1100000
102    0.075  1.0000000 3.921569 0.055875 0.2941176
103    0.075  1.0000000 4.000000 0.056250 0.3000000
104    0.070  0.9333333 3.660131 0.050875 0.2692308
105    0.070  0.9333333 3.733333 0.051250 0.2745098
106    0.075  1.0000000 2.000000 0.037500 0.1500000
107    0.070  0.9333333 3.660131 0.050875 0.2692308
108    0.070  0.9333333 3.660131 0.050875 0.2692308
109    0.075  1.0000000 2.000000 0.037500 0.1500000
110    0.075  1.0000000 2.000000 0.037500 0.1500000
111    0.065  1.0000000 2.000000 0.032500 0.1300000
112    0.200  1.0000000 4.000000 0.150000 0.8000000
113    0.200  0.9756098 3.982081 0.149775 0.8000000
114    0.110  0.8800000 3.591837 0.079375 0.4230769
115    0.090  0.8571429 3.428571 0.063750 0.3396226
116    0.055  1.0000000 4.000000 0.041250 0.2200000
117    0.055  0.9166667 3.741497 0.040300 0.2200000
118    0.140  1.0000000 4.000000 0.105000 0.5600000
119    0.140  0.9655172 3.940887 0.104475 0.5600000
120    0.105  1.0000000 4.000000 0.078750 0.4200000
121    0.105  1.0000000 4.081633 0.079275 0.4285714
122    0.165  0.9705882 3.882353 0.122500 0.6470588
