"rules","support","confidence","lift","count"
"{CW=[42.2,54.6]} => {CL=[37.3,47.6]}",0.245,1,4,49
"{CL=[37.3,47.6]} => {CW=[42.2,54.6]}",0.245,0.98,4,49
"{CL=[32.3,37.3)} => {CW=[36.9,42.2)}",0.24,0.96,3.76470588235294,48
"{CL=[14.7,27.3)} => {CW=[17.1,31.6)}",0.24,0.96,3.76470588235294,48
"{FL=[18.2,23.1],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",0.2,1,4.16666666666667,40
"{CW=[42.2,54.6],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.215,1,4,43
"{CL=[37.3,47.6],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",0.215,0.977272727272727,3.98886827458256,43
"{FL=[18.2,23.1],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.205,0.953488372093023,3.81395348837209,41
"{FL=[18.2,23.1],CL=[37.3,47.6]} => {BD=[16.7,21.6]}",0.205,1,4.16666666666667,41
"{FL=[18.2,23.1],CW=[42.2,54.6]} => {CL=[37.3,47.6]}",0.2,1,4,40
"{FL=[18.2,23.1],CL=[37.3,47.6]} => {CW=[42.2,54.6]}",0.2,0.975609756097561,3.9820806371329,40
"{CL=[14.7,27.3),BD=[ 6.1,11.5)} => {CW=[17.1,31.6)}",0.205,0.953488372093023,3.73917008663931,41
"{CW=[17.1,31.6),BD=[ 6.1,11.5)} => {CL=[14.7,27.3)}",0.205,0.976190476190476,3.9047619047619,41
"{CL=[14.7,27.3),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",0.215,1,3.92156862745098,43
"{FL=[ 7.2,13.0),CL=[14.7,27.3)} => {CW=[17.1,31.6)}",0.225,0.957446808510638,3.75469336670839,45
"{FL=[ 7.2,13.0),CW=[17.1,31.6)} => {CL=[14.7,27.3)}",0.225,0.978260869565217,3.91304347826087,45
"{RW=[ 6.5,11.1),CL=[14.7,27.3)} => {CW=[17.1,31.6)}",0.2,0.975609756097561,3.8259206121473,40
"{CW=[17.1,31.6),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",0.21,1,3.92156862745098,42
"{RW=[ 6.5,11.1),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",0.205,0.953488372093023,3.73917008663931,41
"{FL=[ 7.2,13.0),RW=[ 6.5,11.1)} => {BD=[ 6.1,11.5)}",0.205,0.976190476190476,3.828197945845,41
"{FL=[18.2,23.1],CW=[42.2,54.6],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.2,1,4,40
"{FL=[18.2,23.1],CL=[37.3,47.6],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",0.2,0.975609756097561,3.9820806371329,40
"{FL=[18.2,23.1],CL=[37.3,47.6],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",0.2,1,4.16666666666667,40
"{CL=[14.7,27.3),CW=[17.1,31.6),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",0.205,1,3.92156862745098,41
"{FL=[ 7.2,13.0),CL=[14.7,27.3),BD=[ 6.1,11.5)} => {CW=[17.1,31.6)}",0.205,0.953488372093023,3.73917008663931,41
"{FL=[ 7.2,13.0),CW=[17.1,31.6),BD=[ 6.1,11.5)} => {CL=[14.7,27.3)}",0.205,0.976190476190476,3.9047619047619,41
