     support confidence     lift leverage    jaccard
1      0.135  0.8709677 3.554970 0.097025 0.50943396
2      0.135  0.8709677 3.349876 0.094700 0.48214286
3      0.135  0.8709677 3.110599 0.091600 0.45000000
4      0.140  0.9032258 3.169213 0.095825 0.46666667
5      0.135  0.8709677 2.561670 0.082300 0.37500000
6      0.170  0.9189189 4.836415 0.134850 0.82926829
7      0.170  0.8947368 4.836415 0.134850 0.82926829
8      0.170  0.9189189 4.594595 0.133000 0.79069767
9      0.170  0.8500000 4.594595 0.133000 0.79069767
10     0.180  0.9729730 4.230317 0.137450 0.76595745
11     0.170  0.9189189 3.467619 0.120975 0.60714286
12     0.175  0.9459459 2.782194 0.112100 0.50000000
13     0.190  1.0000000 5.000000 0.152000 0.95000000
14     0.190  0.9500000 5.000000 0.152000 0.95000000
15     0.185  0.9736842 4.233410 0.141300 0.78723404
16     0.175  0.9210526 3.475670 0.124650 0.62500000
17     0.180  0.9473684 2.786378 0.115400 0.51428571
18     0.185  0.9250000 4.021739 0.139000 0.75510204
19     0.180  0.9000000 3.396226 0.127000 0.63157895
20     0.190  0.9500000 2.794118 0.122000 0.54285714
21     0.200  0.8695652 3.281378 0.139050 0.67796610
22     0.200  0.8695652 2.557545 0.121800 0.54054054
23     0.220  0.8979592 3.453689 0.156300 0.77192982
24     0.245  1.0000000 3.571429 0.176400 0.87500000
25     0.245  0.8750000 3.571429 0.176400 0.87500000
26     0.215  0.8775510 3.079126 0.145175 0.68253968
27     0.235  0.9591837 2.821128 0.151700 0.67142857
28     0.250  0.9615385 3.434066 0.177200 0.86206897
29     0.250  0.8928571 3.434066 0.177200 0.86206897
30     0.250  0.9615385 3.373819 0.175900 0.84745763
31     0.250  0.8771930 3.373819 0.175900 0.84745763
32     0.225  0.8653846 2.545249 0.136600 0.60000000
33     0.250  0.9433962 2.774695 0.159900 0.70422535
34     0.245  0.8750000 3.070175 0.165200 0.76562500
35     0.245  0.8596491 3.070175 0.165200 0.76562500
36     0.255  0.9107143 2.678571 0.159800 0.69863014
37     0.285  0.8906250 1.680425 0.115400 0.50442478
38     0.300  0.9375000 1.689189 0.122400 0.52173913
39     0.285  0.8906250 1.535560 0.099400 0.46341463
40     0.470  0.9215686 1.738809 0.199700 0.82456140
41     0.470  0.8867925 1.738809 0.199700 0.82456140
42     0.475  0.9313725 1.757307 0.204700 0.84070796
43     0.475  0.8962264 1.757307 0.204700 0.84070796
44     0.470  0.9215686 1.660484 0.186950 0.78991597
45     0.475  0.8962264 1.690993 0.194100 0.81196581
46     0.475  0.8962264 1.690993 0.194100 0.81196581
47     0.470  0.8867925 1.597824 0.175850 0.76422764
48     0.520  0.9811321 1.767806 0.225850 0.92035398
49     0.520  0.9369369 1.767806 0.225850 0.92035398
50     0.135  1.0000000 3.846154 0.099900 0.51923077
51     0.135  1.0000000 4.081633 0.101925 0.55102041
52     0.135  1.0000000 3.571429 0.097200 0.48214286
53     0.135  1.0000000 4.081633 0.101925 0.55102041
54     0.125  0.9259259 3.248863 0.086525 0.42372881
55     0.125  0.8928571 3.644315 0.090700 0.48076923
56     0.130  0.9629630 2.832244 0.084100 0.37681159
57     0.130  0.9629630 3.930461 0.096925 0.52000000
58     0.105  1.0000000 6.451613 0.088725 0.67741935
59     0.135  1.0000000 3.571429 0.097200 0.48214286
60     0.135  1.0000000 3.846154 0.099900 0.51923077
61     0.125  0.9259259 3.248863 0.086525 0.42372881
62     0.125  0.8928571 3.434066 0.088600 0.45454545
63     0.130  0.9629630 2.832244 0.084100 0.37681159
64     0.130  0.9629630 3.703704 0.094900 0.49056604
65     0.105  0.9130435 5.890603 0.087175 0.63636364
66     0.125  0.9259259 3.248863 0.086525 0.42372881
67     0.125  0.8928571 3.188776 0.085800 0.42372881
68     0.130  0.9629630 2.832244 0.084100 0.37681159
69     0.130  0.9629630 3.439153 0.092200 0.45614035
70     0.105  0.9545455 6.158358 0.087950 0.65625000
71     0.120  0.8571429 2.521008 0.072400 0.33333333
72     0.120  0.8888889 3.118908 0.081525 0.40000000
73     0.110  0.8800000 3.087719 0.074375 0.36666667
74     0.170  1.0000000 5.000000 0.136000 0.85000000
75     0.170  1.0000000 5.263158 0.137700 0.89473684
76     0.170  0.8947368 4.836415 0.134850 0.82926829
77     0.170  1.0000000 4.347826 0.130900 0.73913043
78     0.170  0.9444444 4.970760 0.135800 0.85000000
79     0.170  0.9189189 4.967129 0.135775 0.85000000
80     0.160  0.9411765 3.551609 0.114950 0.58181818
81     0.160  0.9411765 4.953560 0.127700 0.80000000
82     0.160  0.9142857 4.942085 0.127625 0.80000000
83     0.160  0.9411765 2.768166 0.102200 0.45714286
84     0.160  0.9142857 4.812030 0.126750 0.78048780
85     0.160  0.8888889 4.804805 0.126700 0.78048780
86     0.070  0.8750000 4.605263 0.054800 0.35000000
87     0.070  0.8750000 4.729730 0.055200 0.35897436
88     0.100  0.9523810 5.012531 0.080050 0.51282051
89     0.100  0.9090909 4.914005 0.079650 0.51282051
90     0.170  1.0000000 4.347826 0.130900 0.73913043
91     0.170  0.9444444 4.722222 0.134000 0.80952381
92     0.170  0.9189189 4.967129 0.135775 0.85000000
