   support confidence     lift leverage   jaccard
1    0.310  0.9841270 2.811791 0.199750 0.8732394
2    0.200  1.0000000 2.469136 0.119000 0.4938272
3    0.200  0.9523810 2.411091 0.117050 0.4938272
4    0.285  0.9827586 2.807882 0.183500 0.8028169
5    0.285  0.9661017 3.066990 0.192075 0.8769231
6    0.280  0.9824561 2.807018 0.180250 0.7887324
7    0.275  1.0000000 2.857143 0.178750 0.7857143
8    0.270  0.9818182 2.765685 0.172375 0.7500000
9    0.300  0.9836066 2.490143 0.179525 0.7500000
10   0.300  0.9677419 2.651348 0.186850 0.8000000
11   0.215  0.9555556 2.359396 0.123875 0.5180723
12   0.290  0.9508197 2.407138 0.169525 0.7073171
13   0.310  0.9841270 2.491461 0.185575 0.7750000
14   0.265  0.9814815 2.804233 0.170500 0.7464789
15   0.265  0.9814815 3.115814 0.179950 0.8281250
16   0.270  0.9818182 2.765685 0.172375 0.7500000
17   0.270  1.0000000 2.857143 0.175500 0.7714286
18   0.270  0.9642857 3.061224 0.181800 0.8307692
19   0.260  1.0000000 2.857143 0.169000 0.7428571
20   0.260  0.9811321 3.114705 0.176525 0.8125000
21   0.255  0.9807692 2.762730 0.162700 0.7083333
22   0.280  0.9824561 2.487231 0.167425 0.7000000
23   0.280  0.9655172 2.645253 0.174150 0.7466667
24   0.200  0.9756098 2.408913 0.116975 0.4878049
25   0.260  0.9629630 2.265795 0.145250 0.5977011
26   0.260  0.9811321 2.763752 0.165925 0.7222222
27   0.205  0.9761905 2.471368 0.122050 0.5125000
28   0.255  0.9622642 2.264151 0.142375 0.5862069
29   0.255  0.9807692 2.762730 0.162700 0.7083333
30   0.255  1.0000000 2.857143 0.165750 0.7285714
31   0.255  0.9807692 3.113553 0.173100 0.7968750
