     support confidence     lift leverage   jaccard
1      0.055  0.9166667 5.555556 0.045100 0.3235294
2      0.055  0.9166667 5.392157 0.044800 0.3142857
3      0.055  0.9166667 5.238095 0.044500 0.3055556
4      0.060  1.0000000 3.846154 0.044400 0.2307692
5      0.055  0.9166667 1.833333 0.025000 0.1089109
6      0.100  0.9090909 7.905138 0.087350 0.8000000
7      0.100  0.8695652 7.905138 0.087350 0.8000000
8      0.100  0.9090909 7.905138 0.087350 0.8000000
9      0.100  0.8695652 7.905138 0.087350 0.8000000
10     0.110  1.0000000 8.000000 0.096250 0.8800000
11     0.110  0.8800000 8.000000 0.096250 0.8800000
12     0.110  1.0000000 7.142857 0.094600 0.7857143
13     0.110  1.0000000 3.846154 0.081400 0.4230769
14     0.110  0.9565217 8.317580 0.096775 0.9166667
15     0.110  0.9565217 8.317580 0.096775 0.9166667
16     0.110  0.9565217 7.652174 0.095625 0.8461538
17     0.110  0.8800000 7.652174 0.095625 0.8461538
18     0.110  0.9565217 6.832298 0.093900 0.7586207
19     0.115  1.0000000 3.846154 0.085100 0.4423077
20     0.105  0.9130435 7.304348 0.090625 0.7777778
21     0.115  1.0000000 7.142857 0.098900 0.8214286
22     0.115  1.0000000 3.846154 0.085100 0.4423077
23     0.120  0.9600000 6.857143 0.102500 0.8275862
24     0.120  0.8571429 6.857143 0.102500 0.8275862
25     0.125  1.0000000 3.846154 0.092500 0.4807692
26     0.125  0.9615385 5.827506 0.103550 0.7352941
27     0.125  0.9615385 5.656109 0.102900 0.7142857
28     0.130  1.0000000 5.714286 0.107250 0.7428571
29     0.130  1.0000000 3.846154 0.096200 0.5000000
30     0.140  1.0000000 3.846154 0.103600 0.5384615
31     0.155  0.9393939 5.525847 0.126950 0.8611111
32     0.155  0.9117647 5.525847 0.126950 0.8611111
33     0.155  0.9393939 5.367965 0.126125 0.8378378
34     0.155  0.8857143 5.367965 0.126125 0.8378378
35     0.155  0.9393939 3.613054 0.112100 0.5740741
36     0.165  0.9705882 5.546218 0.135250 0.9166667
37     0.165  0.9428571 5.546218 0.135250 0.9166667
38     0.160  0.9411765 3.619910 0.115800 0.5925926
39     0.165  0.9428571 3.626374 0.119500 0.6111111
40     0.210  0.8750000 2.160494 0.112800 0.4827586
41     0.310  0.9841270 2.811791 0.199750 0.8732394
42     0.310  0.8857143 2.811791 0.199750 0.8732394
43     0.290  0.9206349 2.593338 0.178175 0.7631579
44     0.285  0.9047619 2.478800 0.170025 0.7215190
45     0.275  0.8730159 2.054155 0.141125 0.5913978
46     0.305  0.8840580 2.422077 0.179075 0.7530864
47     0.310  0.8985507 2.274812 0.173725 0.7209302
48     0.305  0.8840580 2.182859 0.165275 0.6853933
49     0.300  0.8571429 2.016807 0.151250 0.6315789
50     0.315  0.8873239 2.431025 0.185425 0.7777778
51     0.315  0.8630137 2.431025 0.185425 0.7777778
52     0.305  0.8591549 2.021541 0.154125 0.6421053
53     0.340  0.9315068 2.358245 0.195825 0.8095238
54     0.340  0.8607595 2.358245 0.195825 0.8095238
55     0.315  0.8630137 2.130898 0.167175 0.6923077
56     0.360  0.9113924 2.250352 0.200025 0.8181818
57     0.360  0.8888889 2.250352 0.200025 0.8181818
58     0.050  1.0000000 6.060606 0.041750 0.3030303
59     0.050  0.9090909 6.993007 0.042850 0.3703704
60     0.050  1.0000000 5.882353 0.041500 0.2941176
61     0.050  0.9090909 6.993007 0.042850 0.3703704
62     0.050  1.0000000 5.714286 0.041250 0.2857143
63     0.050  0.9090909 6.993007 0.042850 0.3703704
64     0.050  1.0000000 3.846154 0.037000 0.1923077
65     0.055  1.0000000 5.882353 0.045650 0.3235294
66     0.055  1.0000000 6.060606 0.045925 0.3333333
67     0.055  1.0000000 5.714286 0.045375 0.3142857
68     0.055  1.0000000 6.060606 0.045925 0.3333333
69     0.055  1.0000000 3.846154 0.040700 0.2115385
70     0.055  0.9166667 5.555556 0.045100 0.3235294
71     0.050  0.9090909 1.818182 0.022500 0.0990099
72     0.050  0.9090909 5.509642 0.040925 0.2941176
73     0.055  1.0000000 5.714286 0.045375 0.3142857
74     0.055  1.0000000 5.882353 0.045650 0.3235294
75     0.055  1.0000000 3.846154 0.040700 0.2115385
76     0.055  0.9166667 5.392157 0.044800 0.3142857
77     0.050  0.9090909 1.818182 0.022500 0.0990099
78     0.050  0.9090909 5.347594 0.040650 0.2857143
79     0.055  1.0000000 3.846154 0.040700 0.2115385
80     0.055  0.9166667 5.238095 0.044500 0.3055556
81     0.050  0.9090909 1.818182 0.022500 0.0990099
82     0.050  0.9090909 5.194805 0.040375 0.2777778
83     0.055  0.9166667 1.833333 0.025000 0.1089109
84     0.055  1.0000000 3.846154 0.040700 0.2115385
85     0.100  1.0000000 8.695652 0.088500 0.8695652
86     0.100  1.0000000 8.695652 0.088500 0.8695652
87     0.100  0.9090909 8.264463 0.087900 0.8333333
88     0.100  1.0000000 8.000000 0.087500 0.8000000
89     0.100  0.9090909 7.905138 0.087350 0.8000000
90     0.100  0.9090909 8.264463 0.087900 0.8333333
91     0.100  1.0000000 7.142857 0.086000 0.7142857
92     0.100  0.9090909 7.905138 0.087350 0.8000000
93     0.100  0.9090909 8.264463 0.087900 0.8333333
94     0.100  1.0000000 3.846154 0.074000 0.3846154
95     0.100  0.9090909 7.905138 0.087350 0.8000000
96     0.100  0.8695652 7.905138 0.087350 0.8000000
97     0.060  1.0000000 8.695652 0.053100 0.5217391
98     0.060  0.8571429 7.792208 0.052300 0.5000000
99     0.100  1.0000000 8.000000 0.087500 0.8000000
100    0.100  0.9090909 7.905138 0.087350 0.8000000
101    0.100  0.9523810 8.658009 0.088450 0.8695652
102    0.100  1.0000000 7.142857 0.086000 0.7142857
103    0.100  0.9090909 7.905138 0.087350 0.8000000
104    0.100  0.8695652 7.905138 0.087350 0.8000000
105    0.100  1.0000000 3.846154 0.074000 0.3846154
106    0.100  0.9090909 7.905138 0.087350 0.8000000
107    0.100  0.8695652 7.905138 0.087350 0.8000000
108    0.060  1.0000000 8.695652 0.053100 0.5217391
109    0.060  0.9230769 8.391608 0.052850 0.5217391
110    0.110  1.0000000 7.142857 0.094600 0.7857143
111    0.110  1.0000000 8.000000 0.096250 0.8800000
112    0.110  0.9166667 8.333333 0.096800 0.9166667
113    0.110  1.0000000 3.846154 0.081400 0.4230769
114    0.110  1.0000000 8.000000 0.096250 0.8800000
115    0.110  0.8800000 8.000000 0.096250 0.8800000
116    0.060  1.0000000 8.000000 0.052500 0.4800000
117    0.060  0.8571429 7.792208 0.052300 0.5000000
118    0.050  1.0000000 8.000000 0.043750 0.4000000
119    0.050  0.9090909 8.264463 0.043950 0.4347826
120    0.110  1.0000000 3.846154 0.081400 0.4230769
121    0.110  1.0000000 7.142857 0.094600 0.7857143
122    0.060  1.0000000 7.142857 0.051600 0.4285714
123    0.060  0.9230769 8.391608 0.052850 0.5217391
124    0.050  1.0000000 7.142857 0.043000 0.3571429
125    0.060  1.0000000 3.846154 0.044400 0.2307692
126    0.050  1.0000000 3.846154 0.037000 0.1923077
127    0.105  0.9545455 7.636364 0.091250 0.8076923
128    0.105  0.9545455 8.300395 0.092350 0.8750000
129    0.105  1.0000000 8.695652 0.092925 0.9130435
130    0.110  1.0000000 7.142857 0.094600 0.7857143
131    0.110  1.0000000 8.695652 0.097350 0.9565217
132    0.110  0.9565217 8.317580 0.096775 0.9166667
133    0.110  1.0000000 3.846154 0.081400 0.4230769
134    0.110  0.9565217 8.317580 0.096775 0.9166667
135    0.110  0.9565217 8.317580 0.096775 0.9166667
136    0.065  0.9285714 8.074534 0.056950 0.5416667
137    0.065  1.0000000 8.695652 0.057525 0.5652174
138    0.105  0.9545455 6.818182 0.089600 0.7241379
139    0.105  0.9545455 7.636364 0.091250 0.8076923
140    0.105  0.8750000 7.608696 0.091200 0.8076923
141    0.110  1.0000000 3.846154 0.081400 0.4230769
142    0.110  0.9565217 7.652174 0.095625 0.8461538
143    0.110  0.8800000 7.652174 0.095625 0.8461538
144    0.070  1.0000000 8.000000 0.061250 0.5600000
145    0.070  1.0000000 8.695652 0.061950 0.6086957
146    0.110  1.0000000 3.846154 0.081400 0.4230769
147    0.110  0.9565217 6.832298 0.093900 0.7586207
148    0.065  0.9285714 6.632653 0.055200 0.4482759
149    0.065  1.0000000 8.695652 0.057525 0.5652174
150    0.070  1.0000000 3.846154 0.051800 0.2692308
151    0.105  1.0000000 7.142857 0.090300 0.7500000
152    0.105  0.9130435 7.304348 0.090625 0.7777778
153    0.105  0.8750000 7.608696 0.091200 0.8076923
154    0.105  1.0000000 3.846154 0.077700 0.4038462
155    0.105  0.9130435 7.304348 0.090625 0.7777778
156    0.065  1.0000000 8.000000 0.056875 0.5200000
157    0.065  0.9285714 8.074534 0.056950 0.5416667
158    0.115  1.0000000 3.846154 0.085100 0.4423077
159    0.115  1.0000000 7.142857 0.098900 0.8214286
160    0.065  1.0000000 7.142857 0.055900 0.4642857
161    0.065  1.0000000 8.695652 0.057525 0.5652174
162    0.050  1.0000000 7.142857 0.043000 0.3571429
163    0.065  1.0000000 3.846154 0.048100 0.2500000
164    0.050  1.0000000 3.846154 0.037000 0.1923077
165    0.120  1.0000000 3.846154 0.088800 0.4615385
166    0.120  0.9600000 6.857143 0.102500 0.8275862
167    0.120  0.8571429 6.857143 0.102500 0.8275862
168    0.065  0.9285714 6.632653 0.055200 0.4482759
169    0.065  1.0000000 8.000000 0.056875 0.5200000
170    0.055  1.0000000 7.142857 0.047300 0.3928571
171    0.070  1.0000000 3.846154 0.051800 0.2692308
172    0.055  1.0000000 3.846154 0.040700 0.2115385
173    0.120  0.9600000 5.647059 0.098750 0.6857143
174    0.120  0.9600000 5.818182 0.099375 0.7058824
175    0.125  1.0000000 5.714286 0.103125 0.7142857
176    0.125  0.9615385 5.827506 0.103550 0.7352941
177    0.125  1.0000000 3.846154 0.092500 0.4807692
178    0.125  0.9615385 5.827506 0.103550 0.7352941
179    0.075  0.9375000 5.681818 0.061800 0.4411765
180    0.050  1.0000000 6.060606 0.041750 0.3030303
181    0.075  0.9375000 5.681818 0.061800 0.4411765
182    0.125  1.0000000 5.714286 0.103125 0.7142857
183    0.125  0.9615385 5.656109 0.102900 0.7142857
184    0.125  1.0000000 3.846154 0.092500 0.4807692
185    0.125  0.9615385 5.656109 0.102900 0.7142857
186    0.075  0.9375000 5.514706 0.061400 0.4285714
187    0.050  1.0000000 5.882353 0.041500 0.2941176
188    0.075  0.9375000 5.514706 0.061400 0.4285714
189    0.130  1.0000000 3.846154 0.096200 0.5000000
190    0.130  1.0000000 5.714286 0.107250 0.7428571
191    0.080  1.0000000 5.714286 0.066000 0.4571429
192    0.050  1.0000000 5.714286 0.041250 0.2857143
193    0.080  1.0000000 5.714286 0.066000 0.4571429
194    0.080  1.0000000 3.846154 0.059200 0.3076923
195    0.050  1.0000000 3.846154 0.037000 0.1923077
196    0.080  1.0000000 3.846154 0.059200 0.3076923
197    0.075  0.9375000 1.875000 0.035000 0.1485149
198    0.075  0.9375000 2.500000 0.045000 0.1973684
199    0.065  1.0000000 3.846154 0.048100 0.2500000
200    0.075  1.0000000 3.846154 0.055500 0.2884615
201    0.150  0.9677419 5.529954 0.122875 0.8333333
202    0.150  0.9677419 5.692600 0.123650 0.8571429
203    0.150  0.9090909 5.509642 0.122775 0.8333333
204    0.145  0.9354839 3.598015 0.104700 0.5370370
205    0.145  0.9354839 5.502846 0.118650 0.8055556
206    0.145  0.9062500 5.492424 0.118600 0.8055556
207    0.100  0.9090909 5.347594 0.081300 0.5555556
208    0.100  0.8695652 5.270092 0.081025 0.5555556
209    0.070  1.0000000 5.882353 0.058100 0.4117647
210    0.070  0.8750000 5.303030 0.056800 0.4000000
211    0.085  0.8947368 5.263158 0.068850 0.4722222
212    0.085  0.9444444 5.723906 0.070150 0.5000000
213    0.145  0.9354839 3.598015 0.104700 0.5370370
214    0.145  0.9354839 5.345622 0.117875 0.7837838
215    0.145  0.8787879 5.325987 0.117775 0.7837838
216    0.100  0.9090909 5.194805 0.080750 0.5405405
217    0.070  1.0000000 5.714286 0.057750 0.4000000
218    0.070  0.8750000 5.303030 0.056800 0.4000000
219    0.085  0.8947368 5.112782 0.068375 0.4594595
220    0.085  0.8947368 5.422648 0.069325 0.4857143
221    0.100  0.9090909 3.496503 0.071400 0.3703704
222    0.060  0.8571429 3.296703 0.041800 0.2222222
223    0.095  1.0000000 3.846154 0.070300 0.3653846
224    0.090  0.9473684 2.526316 0.054375 0.2368421
225    0.155  0.9393939 3.613054 0.112100 0.5740741
226    0.155  0.9687500 5.535714 0.127000 0.8611111
227    0.155  0.9393939 5.525847 0.126950 0.8611111
228    0.110  0.9565217 5.465839 0.089875 0.6111111
229    0.110  0.9166667 5.392157 0.089600 0.6111111
230    0.080  1.0000000 5.714286 0.066000 0.4571429
231    0.080  1.0000000 5.882353 0.066400 0.4705882
232    0.085  0.9444444 5.396825 0.069250 0.4722222
233    0.085  0.8947368 5.263158 0.068850 0.4722222
234    0.105  0.9130435 3.511706 0.075100 0.3888889
235    0.070  0.8750000 3.365385 0.049200 0.2592593
236    0.090  1.0000000 3.846154 0.066600 0.3461538
237    0.085  0.9444444 2.518519 0.051250 0.2236842
238    0.110  0.9166667 3.525641 0.078800 0.4074074
239    0.070  0.8750000 3.365385 0.049200 0.2592593
240    0.095  1.0000000 3.846154 0.070300 0.3653846
241    0.090  0.9473684 2.526316 0.054375 0.2368421
242    0.150  1.0000000 2.857143 0.097500 0.4285714
243    0.150  0.8571429 2.721088 0.094875 0.4411765
244    0.135  0.9000000 2.535211 0.081750 0.3648649
245    0.140  0.9333333 2.557078 0.085250 0.3733333
246    0.140  0.9333333 2.196078 0.076250 0.3218391
247    0.060  0.8571429 2.348337 0.034450 0.1600000
248    0.060  0.8571429 2.169982 0.032350 0.1481481
249    0.140  0.8750000 2.500000 0.084000 0.3783784
250    0.150  0.8571429 2.348337 0.086125 0.3846154
251    0.150  0.8823529 2.521008 0.090500 0.4054054
252    0.160  0.9142857 2.151261 0.085625 0.3636364
253    0.160  0.8888889 2.539683 0.097000 0.4324324
254    0.150  0.9375000 2.568493 0.091600 0.4000000
255    0.150  0.8823529 2.485501 0.089650 0.4000000
256    0.160  1.0000000 2.352941 0.092000 0.3764706
257    0.160  0.8888889 2.503912 0.096100 0.4266667
258    0.155  0.9117647 2.145329 0.082750 0.3522727
259    0.155  0.8611111 2.359209 0.089300 0.3974359
260    0.060  1.0000000 2.739726 0.038100 0.1643836
261    0.060  1.0000000 2.000000 0.030000 0.1200000
262    0.065  1.0000000 2.531646 0.039325 0.1645570
263    0.120  1.0000000 2.352941 0.069000 0.2823529
264    0.165  0.9428571 2.583170 0.101125 0.4400000
265    0.165  0.9428571 2.732919 0.104625 0.4647887
266    0.175  1.0000000 2.531646 0.105875 0.4430380
267    0.175  0.8750000 2.536232 0.106000 0.4729730
268    0.175  1.0000000 2.469136 0.104125 0.4320988
269    0.110  0.9166667 2.657005 0.068600 0.3098592
270    0.055  1.0000000 2.000000 0.027500 0.1100000
271    0.175  1.0000000 2.531646 0.105875 0.4430380
272    0.175  0.8750000 2.397260 0.102000 0.4487179
273    0.175  1.0000000 2.469136 0.104125 0.4320988
274    0.120  1.0000000 2.739726 0.076200 0.3287671
275    0.110  0.9166667 2.320675 0.062600 0.2716049
276    0.120  1.0000000 2.469136 0.071400 0.2962963
277    0.200  1.0000000 2.469136 0.119000 0.4938272
278    0.200  0.9523810 2.411091 0.117050 0.4938272
279    0.120  1.0000000 2.531646 0.072600 0.3037975
280    0.120  1.0000000 2.469136 0.071400 0.2962963
281    0.130  0.9629630 2.751323 0.082750 0.3661972
282    0.130  0.8965517 2.846196 0.084325 0.3939394
283    0.125  0.9259259 2.608242 0.077075 0.3424658
284    0.125  0.8928571 2.834467 0.080900 0.3787879
285    0.115  0.8518519 2.333841 0.065725 0.2987013
286    0.115  0.9200000 2.920635 0.075625 0.3538462
287    0.105  0.9545455 3.030303 0.070350 0.3281250
