     support confidence      lift leverage   jaccard
1      0.070  0.9333333 12.444444 0.064375 0.8750000
2      0.070  0.9333333 12.444444 0.064375 0.8750000
3      0.070  0.9333333 10.980392 0.063625 0.7777778
4      0.075  1.0000000 11.111111 0.068250 0.8333333
5      0.075  1.0000000  5.000000 0.060000 0.3750000
6      0.075  1.0000000 11.764706 0.068625 0.8823529
7      0.070  0.9333333 10.370370 0.063250 0.7368421
8      0.070  0.9333333 10.370370 0.063250 0.7368421
9      0.075  1.0000000  5.000000 0.060000 0.3750000
10     0.085  1.0000000  5.000000 0.068000 0.4250000
11     0.090  1.0000000  5.000000 0.072000 0.4500000
12     0.085  0.9444444  4.722222 0.067000 0.4146341
13     0.095  0.9500000  8.636364 0.084000 0.8260870
14     0.100  1.0000000  5.000000 0.080000 0.5000000
15     0.090  0.9000000  8.181818 0.079000 0.7500000
16     0.095  0.9500000  8.260870 0.083500 0.7916667
17     0.095  0.9500000  4.750000 0.075000 0.4634146
18     0.110  1.0000000  5.000000 0.088000 0.5500000
19     0.105  0.9130435  4.565217 0.082000 0.5000000
20     0.195  0.9069767  4.031008 0.146625 0.7959184
21     0.195  0.9069767  4.031008 0.146625 0.7959184
22     0.210  0.9333333  4.057971 0.158250 0.8571429
23     0.210  0.9130435  4.057971 0.158250 0.8571429
24     0.225  0.9000000  3.157895 0.153750 0.7258065
25     0.250  0.9259259  3.248863 0.173050 0.8196721
26     0.070  1.0000000 11.764706 0.064050 0.8235294
27     0.070  1.0000000 13.333333 0.064750 0.9333333
28     0.070  0.9333333 12.444444 0.064375 0.8750000
29     0.065  0.9285714 10.317460 0.058700 0.6842105
30     0.065  1.0000000 13.333333 0.060125 0.8666667
31     0.065  0.9285714 12.380952 0.059750 0.8125000
32     0.070  1.0000000 11.111111 0.063700 0.7777778
33     0.070  0.9333333 12.444444 0.064375 0.8750000
34     0.070  1.0000000 13.333333 0.064750 0.9333333
35     0.070  1.0000000  5.000000 0.056000 0.3500000
36     0.070  0.9333333 12.444444 0.064375 0.8750000
37     0.070  0.9333333 12.444444 0.064375 0.8750000
38     0.065  0.9285714 10.317460 0.058700 0.6842105
39     0.065  1.0000000 11.764706 0.059475 0.7647059
40     0.070  1.0000000 11.111111 0.063700 0.7777778
41     0.070  0.9333333 10.980392 0.063625 0.7777778
42     0.070  1.0000000 13.333333 0.064750 0.9333333
43     0.070  1.0000000  5.000000 0.056000 0.3500000
44     0.070  0.9333333 10.980392 0.063625 0.7777778
45     0.065  1.0000000 11.111111 0.059150 0.7222222
46     0.065  1.0000000 13.333333 0.060125 0.8666667
47     0.065  1.0000000  5.000000 0.052000 0.3250000
48     0.075  1.0000000  5.000000 0.060000 0.3750000
49     0.075  1.0000000 11.111111 0.068250 0.8333333
50     0.070  0.9333333 10.370370 0.063250 0.7368421
51     0.070  1.0000000 11.764706 0.064050 0.8235294
52     0.070  0.9333333 12.444444 0.064375 0.8750000
53     0.070  0.9333333 10.370370 0.063250 0.7368421
54     0.070  1.0000000 11.764706 0.064050 0.8235294
55     0.070  1.0000000 13.333333 0.064750 0.9333333
56     0.075  1.0000000  5.000000 0.060000 0.3750000
57     0.075  1.0000000 11.764706 0.068625 0.8823529
58     0.065  0.9285714 10.317460 0.058700 0.6842105
59     0.065  0.9285714 10.317460 0.058700 0.6842105
60     0.065  1.0000000 13.333333 0.060125 0.8666667
61     0.070  1.0000000  5.000000 0.056000 0.3500000
62     0.070  0.9333333 10.370370 0.063250 0.7368421
63     0.070  1.0000000  5.000000 0.056000 0.3500000
64     0.070  0.9333333 10.370370 0.063250 0.7368421
65     0.065  0.9285714 10.317460 0.058700 0.6842105
66     0.065  1.0000000 11.764706 0.059475 0.7647059
67     0.075  1.0000000  5.000000 0.060000 0.3750000
68     0.070  1.0000000  5.000000 0.056000 0.3500000
69     0.065  1.0000000  5.000000 0.052000 0.3250000
70     0.055  1.0000000  5.000000 0.044000 0.2750000
71     0.050  0.9090909  4.545455 0.039000 0.2439024
72     0.075  1.0000000  9.090909 0.066750 0.6818182
73     0.070  0.9333333  8.115942 0.061375 0.5833333
74     0.070  1.0000000 10.000000 0.063000 0.7000000
75     0.060  0.9230769  9.230769 0.053500 0.5714286
76     0.075  1.0000000  5.000000 0.060000 0.3750000
77     0.050  0.9090909  9.090909 0.044500 0.4761905
78     0.070  1.0000000  9.090909 0.062300 0.6363636
79     0.070  0.9333333  8.484848 0.061750 0.6086957
80     0.070  1.0000000 10.000000 0.063000 0.7000000
81     0.095  1.0000000  5.000000 0.076000 0.4750000
82     0.095  0.9500000  8.636364 0.084000 0.8260870
83     0.070  1.0000000  9.090909 0.062300 0.6363636
84     0.070  0.9333333  9.333333 0.062500 0.6666667
85     0.070  1.0000000  5.000000 0.056000 0.3500000
86     0.075  1.0000000  5.000000 0.060000 0.3750000
87     0.055  1.0000000 10.000000 0.049500 0.5500000
88     0.070  1.0000000  5.000000 0.056000 0.3500000
89     0.085  0.9444444  8.212560 0.074650 0.7083333
90     0.085  1.0000000 10.000000 0.076500 0.8500000
91     0.060  0.9230769  8.391608 0.052850 0.5217391
92     0.090  1.0000000  5.000000 0.072000 0.4500000
93     0.090  0.9473684  8.612440 0.079550 0.7826087
94     0.055  1.0000000  9.090909 0.048950 0.5000000
95     0.065  1.0000000  8.695652 0.057525 0.5652174
96     0.090  0.9473684  4.736842 0.071000 0.4390244
97     0.090  0.9473684  8.237986 0.079075 0.7500000
98     0.050  0.9090909  7.905138 0.043675 0.4166667
99     0.050  0.9090909  9.090909 0.044500 0.4761905
100    0.060  0.9230769  4.615385 0.047000 0.2926829
101    0.055  1.0000000  5.000000 0.044000 0.2750000
102    0.085  1.0000000  5.000000 0.068000 0.4250000
