"rules","support","confidence","lift","count"
"{} => {Hipertension=0}",0.80308516801854,0.80308516801854,1,88712
"{} => {Scholarship=0}",0.901723638470452,0.901723638470452,1,99608
"{} => {Diabetes=0}",0.928175695249131,0.928175695249131,1,102530
"{} => {Alcoholism=0}",0.969582850521437,0.969582850521437,1,107104
"{} => {Handcap=0}",0.979749058516802,0.979749058516802,1,108227
"{Neighbourhood=47} => {Hipertension=0}",0.0514285196987254,0.9786391042205,1.2185994004037,5681
"{Neighbourhood=47} => {Scholarship=0}",0.0514737833140209,0.979500430663221,1.08625346932758,5686
"{Neighbourhood=47} => {Diabetes=0}",0.0520622103128621,0.990697674418605,1.06736006931607,5751
"{Neighbourhood=47} => {Alcoholism=0}",0.0524786355735805,0.998621877691645,1.02995002144952,5797
"{Neighbourhood=47} => {Handcap=0}",0.0524967410196987,0.998966408268734,1.01961456312193,5799
"{ScheduledDay=6} => {Scholarship=0}",0.0527773754345307,0.908949173682569,1.00801302627973,5830
"{ScheduledDay=6} => {Diabetes=0}",0.054026651216686,0.930464608668538,1.00246603464314,5968
"{ScheduledDay=6} => {Alcoholism=0}",0.0560363557358053,0.965076395385095,0.995352171159052,6190
"{ScheduledDay=6} => {Handcap=0}",0.0569687862108922,0.981135017149984,1.00141460573106,6293
"{ScheduledDay=3} => {Scholarship=0}",0.0556832995365006,0.898612125639153,0.996549372004291,6151
"{ScheduledDay=3} => {Diabetes=0}",0.0572403679026651,0.923739956172389,0.995221013543614,6323
"{ScheduledDay=3} => {Alcoholism=0}",0.0598837630359212,0.966398831263696,0.996716093672626,6615
"{ScheduledDay=3} => {Handcap=0}",0.060426926419467,0.975164353542732,0.995320531380749,6675
"{ScheduledDay=2} => {Hipertension=0}",0.0509758835457706,0.78645251396648,0.979289053372636,5631
"{ScheduledDay=2} => {Scholarship=0}",0.0585711181923523,0.903631284916201,1.00211555554758,6470
"{ScheduledDay=2} => {Diabetes=0}",0.0596574449594438,0.920391061452514,0.991612973883649,6590
"{ScheduledDay=2} => {Alcoholism=0}",0.0627715816917729,0.968435754189944,0.998816917676632,6934
