rules,support,confidence,lift,count
"{Scholarship=0,Diabetes=1,Alcoholism=0} => {Hipertension=1}",5%,82%,4.1745961146,5811
"{Scholarship=0,Diabetes=1} => {Hipertension=1}",5%,82%,4.1695461796,6047
"{Diabetes=1,Alcoholism=0} => {Hipertension=1}",6%,82%,4.1557929965,6221
"{Scholarship=0,Diabetes=1,Handcap=0} => {Hipertension=1}",5%,82%,4.1489211149,5705
{Diabetes=1} => {Hipertension=1},6%,82%,4.1457515492,6477
"{Diabetes=1,Alcoholism=0,Handcap=0} => {Hipertension=1}",5%,81%,4.1348559458,5877
"{Diabetes=1,Handcap=0} => {Hipertension=1}",6%,81%,4.1241276884,6120
"{Scholarship=1,Handcap=0} => {Gender=1}",8%,82%,1.2566345169,8721
"{Scholarship=1,Alcoholism=0,Handcap=0} => {Gender=1}",8%,82%,1.255719951,8287
{Scholarship=1} => {Gender=1},8%,82%,1.2543133676,8850
"{Scholarship=1,Alcoholism=0} => {Gender=1}",8%,81%,1.2533353076,8413
"{Scholarship=1,Diabetes=0,Handcap=0} => {Gender=1}",7%,81%,1.2491350665,8220
"{Scholarship=1,Diabetes=0,Alcoholism=0,Handcap=0} => {Gender=1}",7%,81%,1.2485257641,7820
"{Scholarship=1,Diabetes=0} => {Gender=1}",8%,81%,1.246365034,8333
"{Scholarship=1,Diabetes=0,Alcoholism=0} => {Gender=1}",7%,81%,1.2456652856,7930
"{Scholarship=1,Handcap=0,SMS_received=0} => {Gender=1}",5%,80%,1.236014059,5800
"{Scholarship=1,SMS_received=0} => {Gender=1}",5%,80%,1.2332421762,5896
"{Scholarship=1,Alcoholism=0,SMS_received=0} => {Gender=1}",5%,80%,1.2319174488,5567
"{Scholarship=1,Hipertension=0,Handcap=0} => {Gender=1}",6%,80%,1.2268257671,7047
"{Scholarship=1,Hipertension=0} => {Gender=1}",6%,80%,1.2248993115,7145
"{Scholarship=1,Hipertension=0,Alcoholism=0,Handcap=0} => {Gender=1}",6%,80%,1.2243982882,6780
"{Scholarship=1,Hipertension=0,Diabetes=0,Handcap=0} => {Gender=1}",6%,80%,1.224355943,6923
"{Scholarship=1,Diabetes=0,SMS_received=0} => {Gender=1}",5%,80%,1.2235643185,5538
"{Scholarship=1,Hipertension=0,Diabetes=0} => {Gender=1}",6%,79%,1.2224019094,7020
"{Scholarship=1,Hipertension=0,Diabetes=0,Alcoholism=0,Handcap=0} => {Gender=1}",6%,79%,1.2223984259,6672
"{Scholarship=1,Hipertension=0,Alcoholism=0} => {Gender=1}",6%,79%,1.2223298744,6875
"{Scholarship=1,Hipertension=0,Diabetes=0,Alcoholism=0} => {Gender=1}",6%,79%,1.2202945345,6766
