        support confidence      lift      leverage    jaccard
1    0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
2    0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
3    0.05176347  1.0000000 8.1349142  4.540035e-02 0.42109139
4    0.05176347  1.0000000 1.4723625  1.660673e-02 0.07621460
5    0.05055041  0.9765652 0.9967504 -1.648059e-04 0.05153146
6    0.05142852  0.9786391 1.2185994  9.225545e-03 0.06394930
7    0.05147378  0.9795004 1.0862535  4.087253e-03 0.05701565
8    0.05206221  0.9906977 1.0673601  3.285596e-03 0.05606137
9    0.05247864  0.9986219 1.0299500  1.526032e-03 0.05412092
10   0.05249674  0.9989664 1.0196146  1.009892e-03 0.05357885
11   0.05549319  0.9670295 0.9973665 -1.465246e-04 0.05712262
12   0.05607257  0.9771257 0.9973224 -1.505403e-04 0.05715498
13   0.06842048  0.9793961 1.0861378  5.426190e-03 0.07575651
14   0.06758763  0.9674744 1.0423397  2.745403e-03 0.07263988
15   0.06976934  0.9987042 1.0300349  2.034411e-03 0.07195138
16   0.06980555  0.9992225 1.0198759  1.360412e-03 0.07124444
17   0.06949775  0.9705436 1.0009909  6.879755e-05 0.07152240
18   0.07006808  0.9785082 0.9987335 -8.885296e-05 0.07140419
19   0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
20   0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
21   0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
22   0.11765824  0.9726837 1.0031982  3.750901e-04 0.12093720
23   0.11877173  0.9818889 1.0021841  2.588452e-04 0.12095622
24   0.11911573  0.9689962 0.9993950 -7.210971e-05 0.12237154
25   0.12053701  0.9805582 1.0008259  9.946711e-05 0.12272907
26   0.12510863  0.9644776 0.9947346 -6.622308e-04 0.12842315
27   0.12695539  0.9787145 0.9989441 -1.341999e-04 0.12921535
28   0.15034762  0.9669306 0.9972645 -4.123972e-04 0.15424623
29   0.15194090  0.9771775 0.9973752 -3.998572e-04 0.15452177
30   0.15850413  0.9686324 0.9990198 -1.555222e-04 0.16261575
31   0.16007025  0.9782031 0.9984221 -2.529691e-04 0.16278620
32   0.17111457  0.9677452 0.9981047 -3.249225e-04 0.17545065
33   0.17317859  0.9794184 0.9996625 -5.846802e-05 0.17610399
34   0.18387891  0.9698243 1.0002490  4.577762e-05 0.18853494
35   0.18562609  0.9790393 0.9992756 -1.345622e-04 0.18869748
36   0.19413565  1.0000000 1.4723625  6.228249e-02 0.28583805
37   0.18829664  0.9699231 1.0003509  6.604659e-05 0.19304123
38   0.19016150  0.9795290 0.9997754 -4.271582e-05 0.19330793
39   0.18969076  0.9683442 0.9987225 -2.426429e-04 0.19439832
40   0.19212594  0.9807755 1.0010476  2.010621e-04 0.19534623
41   0.19074993  0.9704772 1.0009224  1.757781e-04 0.19556360
42   0.19253331  0.9795505 0.9997973 -3.903135e-05 0.19570999
43   0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
44   0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
45   0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
46   0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
47   0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
48   0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
49   0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
50   0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
51   0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
52   0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
53   0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
54   0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
55   0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
56   0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
57   0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
58   0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
59   0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
60   0.05176347  1.0000000 1.4723625  1.660673e-02 0.07621460
61   0.05176347  1.0000000 8.1349142  4.540035e-02 0.42109139
62   0.05055041  0.9765652 0.9967504 -1.648059e-04 0.05153146
63   0.05055041  1.0000000 8.1349142  4.433640e-02 0.41122321
64   0.05055041  0.9765652 0.9967504 -1.648059e-04 0.05153146
65   0.05055041  1.0000000 1.4723625  1.621755e-02 0.07442852
66   0.05040556  0.9801091 1.0869285  4.031250e-03 0.05583578
67   0.05040556  0.9792473 1.2193567  9.067730e-03 0.06268153
68   0.05126557  0.9968315 1.0739686  3.530869e-03 0.05522292
69   0.05126557  0.9846983 1.2261443  9.455182e-03 0.06377252
70   0.05140136  0.9994719 1.0308267  1.537151e-03 0.05301241
71   0.05140136  0.9794721 1.2196367  9.256548e-03 0.06391913
72   0.05139231  0.9992959 1.0199509  1.005265e-03 0.05245262
73   0.05139231  0.9789619 1.2190013  9.232955e-03 0.06390571
74   0.05098494  0.9905030 1.0671503  3.208222e-03 0.05490135
75   0.05098494  0.9793079 1.0860400  4.039211e-03 0.05647417
76   0.05146473  0.9998241 1.0311900  1.556633e-03 0.05307875
77   0.05146473  0.9806797 1.0875612  4.143504e-03 0.05700963
78   0.05141947  0.9989448 1.0195925  9.880762e-04 0.05247937
79   0.05141947  0.9794792 1.0862299  4.081915e-03 0.05695549
80   0.05198979  0.9986089 1.0299367  1.511162e-03 0.05361677
81   0.05198979  0.9906848 1.0673462  3.280394e-03 0.05598339
82   0.05202600  0.9993045 1.0199596  1.018098e-03 0.05309939
83   0.05202600  0.9910329 1.0677213  3.299800e-03 0.05602347
84   0.05242432  0.9989650 1.0196131  1.008425e-03 0.05350494
85   0.05242432  0.9986205 1.0299486  1.524379e-03 0.05406490
86   0.05049609  0.9777388 0.9979482 -1.038201e-04 0.05147941
87   0.05134705  0.9669281 0.9972619 -1.409781e-04 0.05286212
88   0.05200789  0.9793727 0.9996158 -1.998821e-05 0.05302359
89   0.05421676  0.9769984 0.9971925 -1.526446e-04 0.05526539
90   0.05421676  0.9669035 0.9972365 -1.502406e-04 0.05581079
91   0.06390317  0.9793285 1.0860628  5.063876e-03 0.07076195
92   0.06473602  0.9920921 1.0688624  4.170676e-03 0.06970669
93   0.06473602  0.9578087 1.1926615  1.045740e-02 0.08032395
94   0.06520676  0.9993063 1.0306559  1.939517e-03 0.06724925
95   0.06521582  0.9994451 1.0201031  1.285204e-03 0.06656134
96   0.06618446  0.9673194 1.0421727  2.678231e-03 0.07113459
97   0.06618446  0.9792392 1.0859638  5.239094e-03 0.07328368
98   0.06832995  0.9986769 1.0300068  1.990629e-03 0.07046698
99   0.06832995  0.9793694 1.0861082  5.417294e-03 0.07565628
100  0.06836616  0.9992061 1.0198592  1.331263e-03 0.06977539
101  0.06836616  0.9793801 1.0861200  5.420852e-03 0.07569637
102  0.06750616  0.9987945 1.0301281  1.974349e-03 0.06961807
103  0.06750616  0.9675620 1.0424341  2.747953e-03 0.07255303
104  0.06754237  0.9993303 1.0199860  1.323450e-03 0.06893525
