"rules","support","confidence","lift","count"
"{ScheduledDay=23} => {AppointmentDay=23}",0.0517634704519119,1,8.13491420575889,5718
"{ScheduledDay=23} => {SMS_received=0}",0.0517634704519119,1,1.47236254581806,5718
"{ScheduledDay=19} => {SMS_received=0}",0.142489860950174,0.870767868997566,1.28208599641382,15740
"{AppointmentDay=20} => {SMS_received=0}",0.194135646002318,1,1.47236254581806,21445
"{ScheduledDay=23,AppointmentDay=23} => {SMS_received=0}",0.0517634704519119,1,1.47236254581806,5718
"{ScheduledDay=23,SMS_received=0} => {AppointmentDay=23}",0.0517634704519119,1,8.13491420575889,5718
"{ScheduledDay=23,Handcap=0} => {AppointmentDay=23}",0.050550405561993,1,8.13491420575889,5584
"{ScheduledDay=23,Handcap=0} => {SMS_received=0}",0.050550405561993,1,1.47236254581806,5584
"{ScheduledDay=22,AppointmentDay=22} => {SMS_received=0}",0.092717989571263,0.95943793911007,1.41264048658254,10242
"{ScheduledDay=22,SMS_received=0} => {AppointmentDay=22}",0.092717989571263,0.934403795274154,4.76999772822978,10242
"{ScheduledDay=20,AppointmentDay=20} => {SMS_received=0}",0.0921657734646582,1,1.47236254581806,10181
"{ScheduledDay=20,SMS_received=0} => {AppointmentDay=20}",0.0921657734646582,0.887310440997037,4.57056938933535,10181
"{ScheduledDay=19,AppointmentDay=19} => {SMS_received=0}",0.0963571842410197,0.996442613742745,1.46712478353187,10644
"{Gender=0,ScheduledDay=19} => {SMS_received=0}",0.0516910486674392,0.885545905707196,1.30384462416581,5710
"{Gender=1,ScheduledDay=19} => {SMS_received=0}",0.0907988122827346,0.862573099415205,1.27002032460915,10030
"{ScheduledDay=19,Hipertension=0} => {SMS_received=0}",0.112724507531866,0.863283416528009,1.27106616892169,12452
"{ScheduledDay=19,Scholarship=0} => {SMS_received=0}",0.128566772885284,0.87070075409233,1.28198717894109,14202
"{ScheduledDay=19,Diabetes=0} => {SMS_received=0}",0.131137746234067,0.868204974528019,1.27831248658798,14486
"{ScheduledDay=19,Alcoholism=0} => {SMS_received=0}",0.137728128621089,0.868924553086984,1.27937196710697,15214
"{ScheduledDay=19,Handcap=0} => {SMS_received=0}",0.139194669756663,0.869584888587264,1.28034422036526,15376
"{ScheduledDay=18,AppointmentDay=18} => {SMS_received=0}",0.0924101969872538,0.981538461538462,1.44518046804911,10208
"{Gender=0,AppointmentDay=20} => {SMS_received=0}",0.0681670046349942,1,1.47236254581806,7530
"{Gender=1,AppointmentDay=20} => {SMS_received=0}",0.125968641367323,1,1.47236254581806,13915
"{AppointmentDay=20,Hipertension=0} => {SMS_received=0}",0.157616961181924,1,1.47236254581806,17411
"{AppointmentDay=20,Scholarship=0} => {SMS_received=0}",0.175686196407879,1,1.47236254581806,19407
"{AppointmentDay=20,Diabetes=0} => {SMS_received=0}",0.180773826767092,1,1.47236254581806,19969
"{AppointmentDay=20,Alcoholism=0} => {SMS_received=0}",0.1882966396292,1,1.47236254581806,20800
"{AppointmentDay=20,Handcap=0} => {SMS_received=0}",0.190161500579374,1,1.47236254581806,21006
"{ScheduledDay=23,AppointmentDay=23,Handcap=0} => {SMS_received=0}",0.050550405561993,1,1.47236254581806,5584
"{ScheduledDay=23,Handcap=0,SMS_received=0} => {AppointmentDay=23}",0.050550405561993,1,8.13491420575889,5584
"{Gender=1,ScheduledDay=22,AppointmentDay=22} => {SMS_received=0}",0.0580279548088065,0.955148264044107,1.40632452968168,6410
"{Gender=1,ScheduledDay=22,SMS_received=0} => {AppointmentDay=22}",0.0580279548088065,0.933857808857809,4.76721054566611,6410
"{Gender=1,AppointmentDay=22,SMS_received=0} => {ScheduledDay=22}",0.0580279548088065,0.85752508361204,6.61076494075793,6410
"{ScheduledDay=22,AppointmentDay=22,Hipertension=0} => {SMS_received=0}",0.0738521147161066,0.958974961796168,1.41195881612598,8158
"{ScheduledDay=22,Hipertension=0,SMS_received=0} => {AppointmentDay=22}",0.0738521147161066,0.934800045834766,4.77202053066646,8158
"{ScheduledDay=22,AppointmentDay=22,Scholarship=0} => {SMS_received=0}",0.0829319959443801,0.959668971296878,1.41298064972127,9161
"{ScheduledDay=22,Scholarship=0,SMS_received=0} => {AppointmentDay=22}",0.0829319959443801,0.932227536379363,4.75888823783955,9161
"{ScheduledDay=22,AppointmentDay=22,Diabetes=0} => {SMS_received=0}",0.085376231170336,0.95960520960521,1.4128867693946,9431
"{ScheduledDay=22,Diabetes=0,SMS_received=0} => {AppointmentDay=22}",0.085376231170336,0.934409987119786,4.77002933671612,9431
"{ScheduledDay=22,AppointmentDay=22,Alcoholism=0} => {SMS_received=0}",0.0891602694090382,0.959100204498977,1.41214321879074,9849
"{ScheduledDay=22,Alcoholism=0,SMS_received=0} => {AppointmentDay=22}",0.0891602694090382,0.933820043614298,4.76701775949951,9849
"{ScheduledDay=22,AppointmentDay=22,Handcap=0} => {SMS_received=0}",0.0906358632676709,0.959371406669222,1.41254252670855,10012
