         support confidence      lift      leverage    jaccard
1     0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
2     0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
3     0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
4     0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
5     0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
6     0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
7     0.20852948  0.9692418 0.9996482 -7.338160e-05 0.21361339
8     0.21081076  0.9798452 1.0000981  2.067529e-05 0.21422001
9     0.21966433  0.9693979 0.9998093 -4.189900e-05 0.22494670
10    0.22195466  0.9795054 0.9997513 -5.520969e-05 0.22547361
11    0.22002643  0.9708796 1.0013374  2.938778e-04 0.22539482
12    0.22207235  0.9799073 1.0001615  3.586751e-05 0.22561391
13    0.23037370  0.9830037 1.0138419  3.145271e-03 0.23662873
14    0.23056380  0.9838149 1.0041499  9.528568e-04 0.23442188
15    0.23053665  0.9688047 0.9991974 -1.851717e-04 0.23596234
16    0.23340636  0.9808643 1.0011383  2.653919e-04 0.23712867
17    0.23829483  0.9788413 0.9990735 -2.209922e-04 0.24194823
18    0.23602260  0.9569111 1.1915437  3.794124e-02 0.29005629
19    0.24364499  0.9878147 1.0642540  1.471000e-02 0.26165153
20    0.24161718  0.9795933 1.0103245  2.469091e-03 0.24791009
21    0.24302035  0.9852822 1.0056476  1.364763e-03 0.24712781
22    0.24002390  0.9693624 0.9997726 -5.458907e-05 0.24563191
23    0.24132749  0.9746271 0.9947722 -1.268253e-03 0.24474619
24    0.23981569  0.9647123 1.0698536  1.565821e-02 0.26339024
25    0.23862978  0.9599417 0.9900564 -2.396664e-03 0.24361391
26    0.23953505  0.9635834 0.9835002 -4.018587e-03 0.24224780
27    0.24141802  0.9702394 1.0006771  1.633634e-04 0.24710439
28    0.24384415  0.9799898 1.0002457  5.990529e-05 0.24762588
29    0.24273972  0.9710292 1.0014917  3.615582e-04 0.24849867
30    0.24458647  0.9784167 0.9986401 -3.330542e-04 0.24827472
31    0.24242287  0.9697266 1.0001483  3.593553e-05 0.24809153
32    0.24570901  0.9828716 1.0031871  7.806140e-04 0.24969641
33    0.24147233  0.9658544 0.9961545 -9.321551e-04 0.24687405
34    0.24470416  0.9787812 0.9990121 -2.419770e-04 0.24841701
35    0.24294793  0.9717213 1.0022056  5.346614e-04 0.24875562
36    0.24474942  0.9789268 0.9991607 -2.055828e-04 0.24847209
37    0.24196118  0.9663051 0.9966195 -8.207348e-04 0.24739902
38    0.24598964  0.9823933 1.0026989  6.621256e-04 0.24994941
39    0.26095379  0.9986143 1.2434725  5.109487e-02 0.32479268
40    0.26085421  0.9982332 1.0754787  1.830714e-02 0.28089997
41    0.26106243  0.9990300 1.0303709  7.695009e-03 0.26918194
42    0.25889883  0.9907504 1.0112287  2.874816e-03 0.26359983
43    0.25722407  0.9611013 0.9912524 -2.269947e-03 0.26247529
44    0.26186812  0.9784535 0.9986777 -3.467298e-04 0.26571686
45    0.26236602  0.9689412 0.9993382 -1.737457e-04 0.26826988
46    0.26510899  0.9790712 0.9993082 -1.835357e-04 0.26903255
47    0.26815071  0.9711485 1.0016148  4.322990e-04 0.27430916
48    0.27042294  0.9793777 0.9996210 -1.025314e-04 0.27441758
49    0.28847407  0.9681889 0.9985623 -4.153422e-04 0.29464360
50    0.29187790  0.9796129 0.9998610 -4.056311e-05 0.29607523
51    0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
52    0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
53    0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
54    0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
55    0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
56    0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
57    0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
58    0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
59    0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
60    0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
61    0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
62    0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
63    0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
64    0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
65    0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
66    0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
67    0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
68    0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
69    0.06534256  0.9578025 0.9878501 -8.036678e-04 0.06719294
70    0.07616056  0.9506215 0.9804438 -1.519121e-03 0.07823063
71    0.07894880  0.9854237 1.0057920  4.546353e-04 0.08048470
72    0.06536066  0.9815117 1.0017991  1.173769e-04 0.06662791
73    0.07998986  0.9845125 1.0606963  4.577266e-03 0.08606298
74    0.07834227  0.9642340 0.9944833 -4.345858e-04 0.08055853
75    0.08000797  0.9847354 1.0050894  4.051293e-04 0.08155845
76    0.08867142  0.9521726 0.9820436 -1.621332e-03 0.09103498
77    0.09165882  0.9842520 1.0045960  4.193351e-04 0.09341354
78    0.09192135  0.9831526 1.0034739  3.182188e-04 0.09367072
79    0.09192135  0.9509271 0.9807590 -1.803354e-03 0.09434348
80    0.05658857  0.9727669 0.9928735 -4.061726e-04 0.05766499
81    0.05261443  0.9541947 0.9739175 -1.409070e-03 0.05356386
82    0.12218460  0.9564201 1.0606576  6.987580e-03 0.13466969
83    0.12186776  0.9539399 0.9838663 -1.998417e-03 0.12493272
84    0.05596393  0.9548965 0.9746338 -1.456542e-03 0.05696698
85    0.05296748  0.9526213 0.9723115 -1.508353e-03 0.05391732
86    0.05082199  0.9557371 0.9754918 -1.276850e-03 0.05174814
87    0.05642562  0.9565684 0.9763403 -1.367367e-03 0.05744171
88    0.05950355  0.9616679 0.9815451 -1.118779e-03 0.06058679
89    0.05677868  0.9727047 1.0787171  4.143304e-03 0.06285577
90    0.13427904  0.9692237 0.9996296 -4.975326e-05 0.13788520
91    0.13317461  0.9612520 0.9811206 -2.562641e-03 0.13518655
92    0.12868446  0.9529396 0.9726364 -3.620335e-03 0.13049785
93    0.17153100  0.9535504 0.9732598 -4.712789e-03 0.17359597
94    0.13278534  0.9602619 0.9801100 -2.694696e-03 0.13477406
95    0.17655526  0.9548592 0.9745957 -4.602174e-03 0.17868235
96    0.06534256  0.9701613 1.0005966  3.895923e-05 0.06725304
97    0.06585856  0.9778226 0.9980337 -1.297526e-04 0.06711750
98    0.05155526  0.9813889 1.0016738  8.614764e-05 0.05256842
99    0.05175442  0.9568201 1.1914304  8.315525e-03 0.06425761
100   0.05349254  0.9889540 1.0654814  3.287498e-03 0.05759484
101   0.05304896  0.9807531 1.0115207  6.042011e-04 0.05465449
102   0.05322096  0.9839331 1.0042705  2.263124e-04 0.05427287
103   0.05115694  0.9654878 0.9957765 -2.169795e-04 0.05266248
104   0.05150999  0.9721510 0.9922449 -4.025858e-04 0.05249562
