         support confidence      lift      leverage    jaccard
1     0.80308517  0.8030852 1.0000000  0.000000e+00 0.80308517
2     0.90172364  0.9017236 1.0000000 -1.110223e-16 0.90172364
3     0.92817570  0.9281757 1.0000000 -1.110223e-16 0.92817570
4     0.96958285  0.9695829 1.0000000  1.110223e-16 0.96958285
5     0.97974906  0.9797491 1.0000000  1.110223e-16 0.97974906
6     0.05863449  0.8163600 4.1457515  4.449122e-02 0.27907277
7     0.06667331  0.9282833 1.0294544  1.907632e-03 0.07351987
8     0.06881880  0.9581548 0.9882134 -8.208134e-04 0.07075841
9     0.06822132  0.9498361 0.9694688 -2.148474e-03 0.06937629
10    0.08011660  0.8152174 1.2543134  1.624373e-02 0.11991870
11    0.08124819  0.8267318 1.0294447  2.323901e-03 0.09906946
12    0.09312536  0.9475866 1.0209130  1.907632e-03 0.09977788
13    0.09349652  0.9513633 0.9812089 -1.790551e-03 0.09595659
14    0.09666498  0.9836035 1.0039341  3.788041e-04 0.09850099
15    0.09922690  0.8072023 1.0051266  5.061061e-04 0.12001533
16    0.11092302  0.9023492 1.0006938  7.690029e-05 0.12139616
17    0.11418200  0.9288607 1.0007381  8.421055e-05 0.12186944
18    0.11911573  0.9689962 0.9993950 -7.210971e-05 0.12237154
19    0.12053701  0.9805582 1.0008259  9.946711e-05 0.12272907
20    0.12436631  0.7998370 0.9959554 -5.050591e-04 0.14908302
21    0.14026289  0.9020727 1.0003871  5.426913e-05 0.15296673
22    0.14344945  0.9225664 0.9939566 -8.721913e-04 0.15257077
23    0.15034762  0.9669306 0.9972645 -4.123972e-04 0.15424623
24    0.15194090  0.9771775 0.9973752 -3.998572e-04 0.15452177
25    0.19413565  1.0000000 1.4723625  6.228249e-02 0.28583805
26    0.15761696  0.8118909 1.0109649  1.709503e-03 0.18772777
27    0.17568620  0.9049662 1.0035960  6.294953e-04 0.19092734
28    0.18077383  0.9311728 1.0032290  5.818386e-04 0.19199854
29    0.18829664  0.9699231 1.0003509  6.604659e-05 0.19304123
30    0.19016150  0.9795290 0.9997754 -4.271582e-05 0.19330793
31    0.17988666  0.9135252 1.0130878  2.323901e-03 0.19579462
32    0.18490187  0.9389941 0.9684517 -6.023376e-03 0.18836864
33    0.18818801  0.9556822 0.9754357 -4.739114e-03 0.19038199
34    0.18364354  0.7688168 1.1319771  2.141098e-02 0.25005855
35    0.18993518  0.7951565 0.9901273 -1.893877e-03 0.22292466
36    0.21438659  0.8975214 0.9953398 -1.003765e-03 0.23146845
37    0.22037949  0.9226105 0.9940041 -1.329337e-03 0.23279654
38    0.23035559  0.9643750 0.9946288 -1.243963e-03 0.23551516
39    0.23357836  0.9778671 0.9980791 -4.495461e-04 0.23712676
40    0.20038202  0.8283127 1.0314133  6.102939e-03 0.23724544
41    0.22362037  0.9243723 1.0251170  5.479063e-03 0.24306054
42    0.22700608  0.9383677 1.0109807  2.465608e-03 0.24070572
43    0.23797798  0.9837219 1.0145826  3.420458e-03 0.24445085
44    0.23825862  0.9848819 1.0052390  1.241725e-03 0.24227891
45    0.19590998  0.8049470 1.0023183  4.531364e-04 0.23033122
46    0.21340889  0.8768458 0.9724108 -6.054823e-03 0.22905392
47    0.22542186  0.9262042 0.9978759 -4.798266e-04 0.23825516
48    0.23272740  0.9562209 0.9862189 -3.252054e-03 0.23741931
49    0.23843967  0.9796913 0.9999410 -1.406285e-05 0.24214649
50    0.18527303  0.7610442 0.9476506 -1.023470e-02 0.21511909
51    0.21683082  0.8906738 0.9877459 -2.690036e-03 0.23356867
52    0.22519554  0.9250335 0.9966146 -7.649623e-04 0.23794311
53    0.22827346  0.9376766 0.9670928 -7.767436e-03 0.23180732
54    0.23829483  0.9788413 0.9990735 -2.209922e-04 0.24194823
55    0.23602260  0.9569111 1.1915437  3.794124e-02 0.29005629
56    0.21304678  0.8637598 0.9578986 -9.363795e-03 0.22777778
57    0.24364499  0.9878147 1.0642540  1.471000e-02 0.26165153
58    0.24161718  0.9795933 1.0103245  2.469091e-03 0.24791009
59    0.24302035  0.9852822 1.0056476  1.364763e-03 0.24712781
60    0.23981569  0.9647123 1.0698536  1.565821e-02 0.26339024
61    0.19848095  0.7984341 0.8602187 -3.225218e-02 0.20288715
62    0.23862978  0.9599417 0.9900564 -2.396664e-03 0.24361391
63    0.23953505  0.9635834 0.9835002 -4.018587e-03 0.24224780
64    0.20055403  0.8022742 0.9989902 -2.027251e-04 0.23525039
65    0.22543091  0.9017889 1.0000724  1.632611e-05 0.24337373
66    0.23266404  0.9307235 1.0027450  6.369166e-04 0.24607681
67    0.24273972  0.9710292 1.0014917  3.615582e-04 0.24849867
68    0.24458647  0.9784167 0.9986401 -3.330542e-04 0.24827472
69    0.20213825  0.8085823 1.0068450  1.374231e-03 0.23754761
70    0.22544902  0.9018287 1.0001165  2.626850e-05 0.24339565
71    0.23192171  0.9277204 0.9995095 -1.138092e-04 0.24509691
72    0.24242287  0.9697266 1.0001483  3.593553e-05 0.24809153
73    0.24570901  0.9828716 1.0031871  7.806140e-04 0.24969641
74    0.19898791  0.7959228 0.9910814 -1.790657e-03 0.23297791
75    0.22536754  0.9014375 0.9996827 -7.153212e-05 0.24328154
76    0.23105265  0.9241771 0.9956920 -9.996757e-04 0.24394976
77    0.24147233  0.9658544 0.9961545 -9.321551e-04 0.24687405
78    0.24470416  0.9787812 0.9990121 -2.419770e-04 0.24841701
79    0.20140498  0.8055616 1.0030836  6.191504e-04 0.23647456
80    0.22547617  0.9018394 1.0001284  2.893751e-05 0.24342497
81    0.23253730  0.9300818 1.0020536  4.765684e-04 0.24590038
82    0.24294793  0.9717213 1.0022056  5.346614e-04 0.24875562
83    0.24474942  0.9789268 0.9991607 -2.055828e-04 0.24847209
84    0.19844474  0.7752785 0.9653752 -7.117551e-03 0.23058717
85    0.22935074  0.8960212 0.9936761 -1.459624e-03 0.24705504
86    0.23550659  0.9200707 0.9912679 -2.074592e-03 0.24825842
87    0.24756482  0.9671795 0.9975212 -6.151787e-04 0.25313796
88    0.24941157  0.9743943 0.9945346 -1.370624e-03 0.25287515
89    0.20834842  0.8052552 1.0027022  5.614753e-04 0.24411846
90    0.23534364  0.9095903 1.0087240  2.035384e-03 0.25439369
91    0.24024116  0.9285189 1.0003698  8.881132e-05 0.25377487
92    0.25131264  0.9713096 1.0017809  4.467750e-04 0.25722731
93    0.25363919  0.9803016 1.0005640  1.429620e-04 0.25754205
94    0.26095379  0.9986143 1.2434725  5.109487e-02 0.32479268
95    0.23203034  0.8879304 0.9847035 -3.604383e-03 0.24922455
96    0.26085421  0.9982332 1.0754787  1.830714e-02 0.28089997
97    0.26106243  0.9990300 1.0303709  7.695009e-03 0.26918194
98    0.25889883  0.9907504 1.0112287  2.874816e-03 0.26359983
99    0.21729251  0.8193828 1.0202938  4.321979e-03 0.25534291
100   0.24046748  0.9067727 1.0055994  1.338968e-03 0.25955892
101   0.24941157  0.9404998 1.0132777  3.268225e-03 0.26421988
102   0.25926094  0.9776405 1.0083104  2.136805e-03 0.26576898
103   0.26098095  0.9841264 1.0044679  1.160840e-03 0.26523571
104   0.21375290  0.7990795 0.9950121 -1.071513e-03 0.24946909
105   0.24083864  0.9003350 0.9984601 -3.714495e-04 0.25941708
106   0.24789977  0.9267319 0.9984444 -3.862219e-04 0.26155977
107   0.25918851  0.9689330 0.9993297 -1.738453e-04 0.26504786
108   0.26219402  0.9801685 1.0004281  1.122091e-04 0.26617224
109   0.25894409  0.8071334 1.0050408  1.298746e-03 0.29937099
110   0.28913492  0.9012387 0.9994623 -1.555622e-04 0.30976258
111   0.29954555  0.9336889 1.0059398  1.768735e-03 0.31549390
112   0.31315180  0.9760998 1.0067214  2.090757e-03 0.32044168
113   0.31599435  0.9849601 1.0053187  1.671795e-03 0.32094520
114   0.27933082  0.8204637 1.2080201  4.810054e-02 0.37731881
115   0.27149116  0.7974367 0.9929666 -1.923043e-03 0.31132565
116   0.30660668  0.9005797 0.9987313 -3.894716e-04 0.32772117
117   0.31493518  0.9250425 0.9966244 -1.066696e-03 0.33022620
118   0.32961870  0.9681717 0.9985445 -4.804447e-04 0.33620188
119   0.33324884  0.9788343 0.9990663 -3.114371e-04 0.33765352
120   0.29169684  0.8332558 1.0375684  1.056178e-02 0.33860866
121   0.33190904  0.9481252 1.0514587  1.624373e-02 0.36081642
122   0.32893975  0.9396431 1.0123548  4.014393e-03 0.34650595
123   0.33072313  0.9447375 0.9743752 -8.697574e-03 0.33442572
124   0.34147777  0.9754590 0.9956213 -1.501811e-03 0.34550634
125   0.33248841  0.8003312 0.9965708 -1.144096e-03 0.37525415
126   0.37427578  0.9009174 0.9991059 -3.349462e-04 0.39694686
127   0.38532010  0.9275021 0.9992743 -2.798272e-04 0.40208961
128   0.40298197  0.9700159 1.0004466  1.799084e-04 0.41035214
129   0.40685653  0.9793424 0.9995849 -1.689604e-04 0.41166018
130   0.51138833  0.7868346 0.9797648 -1.056178e-02 0.54308952
131   0.56981460  0.8767306 0.9722831 -1.624373e-02 0.58035369
132   0.59923595  0.9219991 0.9933454 -4.014393e-03 0.61217054
133   0.63885972  0.9829652 1.0138021  8.697574e-03 0.65146270
134   0.63827129  0.9820598 1.0023585  1.501811e-03 0.64380222
135   0.54414108  0.8011729 0.9976189 -1.298746e-03 0.58003069
136   0.61258872  0.9019527 1.0002540  1.555622e-04 0.63263341
137   0.62863014  0.9255715 0.9971943 -1.768735e-03 0.64229424
138   0.65643105  0.9665045 0.9968251 -2.090757e-03 0.66150323
139   0.66375471  0.9772876 0.9974876 -1.671795e-03 0.66697292
140   0.72183698  0.8988299 0.9967909 -2.323901e-03 0.73434147
141   0.72183698  0.8005080 0.9967909 -2.323901e-03 0.73434147
142   0.78989535  0.9835761 1.0596874  4.449122e-02 0.83909527
143   0.78989535  0.8510192 1.0596874  4.449122e-02 0.83909527
144   0.78468098  0.9770831 1.0077356  6.023376e-03 0.79422194
145   0.78468098  0.8092975 1.0077356  6.023376e-03 0.79422194
146   0.79156105  0.9856502 1.0060231  4.739114e-03 0.79852968
147   0.79156105  0.8079222 1.0060231  4.739114e-03 0.79852968
148   0.83505033  0.9260602 0.9977208 -1.907632e-03 0.83937395
149   0.83505033  0.8996684 0.9977208 -1.907632e-03 0.83937395
150   0.87608633  0.9715685 1.0020480  1.790551e-03 0.88029399
151   0.87608633  0.9035704 1.0020480  1.790551e-03 0.88029399
152   0.88308408  0.9793290 0.9995712 -3.788041e-04 0.88450937
153   0.88308408  0.9013370 0.9995712 -3.788041e-04 0.88450937
154   0.90076405  0.9704672 1.0009121  8.208134e-04 0.90347946
155   0.90076405  0.9290223 1.0009121  8.208134e-04 0.90347946
156   0.91152774  0.9820638 1.0023626  2.148474e-03 0.91482383
157   0.91152774  0.9303686 1.0023626  2.148474e-03 0.91482383
158   0.95003802  0.9798420 1.0000949  9.013648e-05 0.95070933
159   0.95003802  0.9696749 1.0000949  9.013648e-05 0.95070933
160   0.05474182  0.9336112 1.0353629  1.869713e-03 0.06044703
161   0.05474182  0.8210455 4.1695462  4.161285e-02 0.26211530
162   0.05631699  0.9604755 0.9906070 -5.340031e-04 0.05794523
163   0.05631699  0.8183373 4.1557930  4.276555e-02 0.26892318
164   0.05540267  0.9448819 0.9644121 -2.044419e-03 0.05636189
165   0.05540267  0.8121019 4.1241277  4.196888e-02 0.26415746
166   0.06399370  0.9598099 0.9899205 -6.515941e-04 0.06581937
167   0.06399370  0.9298869 1.0312327  1.938160e-03 0.07059047
168   0.06321517  0.9481331 0.9677305 -2.107943e-03 0.06429486
169   0.06321517  0.9266189 1.0276085  1.698387e-03 0.06971775
170   0.06534256  0.9494870 0.9691124 -2.082600e-03 0.06645736
171   0.06534256  0.9578025 0.9878501 -8.036678e-04 0.06719294
172   0.05337486  0.8015226 1.2332422  1.009475e-02 0.08048707
173   0.06468171  0.8073446 1.0053039  3.412538e-04 0.07902275
174   0.06468171  0.7961003 1.2248993  1.187597e-02 0.09704716
175   0.07543634  0.9415819 1.0144436  1.074061e-03 0.08086601
176   0.07543634  0.8100515 1.2463650  1.491126e-02 0.11299289
177   0.07616056  0.9506215 0.9804438 -1.519121e-03 0.07823063
