     support confidence      lift      leverage   jaccard
1  0.9017236  0.9017236 1.0000000 -1.110223e-16 0.9017236
2  0.9281757  0.9281757 1.0000000 -1.110223e-16 0.9281757
3  0.9695829  0.9695829 1.0000000  1.110223e-16 0.9695829
4  0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
5  0.8350503  0.9260602 0.9977208 -1.907632e-03 0.8393739
6  0.8350503  0.8996684 0.9977208 -1.907632e-03 0.8393739
7  0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
8  0.8760863  0.9035704 1.0020480  1.790551e-03 0.8802940
9  0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
10 0.8830841  0.9013370 0.9995712 -3.788041e-04 0.8845094
11 0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
12 0.9007640  0.9290223 1.0009121  8.208134e-04 0.9034795
13 0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
14 0.9115277  0.9303686 1.0023626  2.148474e-03 0.9148238
15 0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
16 0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
17 0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
18 0.8120926  0.9269550 0.9986849 -1.069408e-03 0.8185020
19 0.8120926  0.9015598 0.9998183 -1.476090e-04 0.8199684
20 0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
21 0.8198689  0.9284155 1.0002583  2.117351e-04 0.8269886
22 0.8198689  0.8994448 0.9974728 -2.077191e-03 0.8253306
23 0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
24 0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
25 0.8581167  0.9032446 1.0016867  1.444930e-03 0.8636049
26 0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
27 0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
28 0.8846955  0.9312211 1.0032811  2.893265e-03 0.8904673
