"rules","support","confidence","lift","count"
"{AppointmentDay=20} => {SMS_received=0}",0.194135646002318,1,1.47236254581806,21445
"{ScheduledDay=20,AppointmentDay=20} => {SMS_received=0}",0.0921657734646582,1,1.47236254581806,10181
"{AppointmentDay=20,Age=[ 0, 19)} => {SMS_received=0}",0.052143684820394,1,1.47236254581806,5760
"{ScheduledDay=[18,20),AppointmentDay=20} => {SMS_received=0}",0.0603726100811124,1,1.47236254581806,6669
"{Gender=0,AppointmentDay=20} => {SMS_received=0}",0.0681670046349942,1,1.47236254581806,7530
"{Gender=1,AppointmentDay=20} => {SMS_received=0}",0.125968641367323,1,1.47236254581806,13915
"{AppointmentDay=20,Hipertension=0} => {SMS_received=0}",0.157616961181924,1,1.47236254581806,17411
"{AppointmentDay=20,Scholarship=0} => {SMS_received=0}",0.175686196407879,1,1.47236254581806,19407
"{AppointmentDay=20,Diabetes=0} => {SMS_received=0}",0.180773826767092,1,1.47236254581806,19969
"{AppointmentDay=20,Alcoholism=0} => {SMS_received=0}",0.1882966396292,1,1.47236254581806,20800
"{AppointmentDay=20,Handcap=0} => {SMS_received=0}",0.190161500579374,1,1.47236254581806,21006
"{Gender=1,ScheduledDay=20,AppointmentDay=20} => {SMS_received=0}",0.0575753186558517,1,1.47236254581806,6360
"{ScheduledDay=20,AppointmentDay=20,Hipertension=0} => {SMS_received=0}",0.0746849652375434,1,1.47236254581806,8250
"{ScheduledDay=20,AppointmentDay=20,Scholarship=0} => {SMS_received=0}",0.0833484212050985,1,1.47236254581806,9207
"{ScheduledDay=20,AppointmentDay=20,Diabetes=0} => {SMS_received=0}",0.085276651216686,1,1.47236254581806,9420
"{ScheduledDay=20,AppointmentDay=20,Alcoholism=0} => {SMS_received=0}",0.0888796349942063,1,1.47236254581806,9818
"{ScheduledDay=20,AppointmentDay=20,Handcap=0} => {SMS_received=0}",0.0897668018539977,1,1.47236254581806,9916
"{AppointmentDay=20,Age=[ 0, 19),Hipertension=0} => {SMS_received=0}",0.0520893684820394,1,1.47236254581806,5754
"{AppointmentDay=20,Age=[ 0, 19),Diabetes=0} => {SMS_received=0}",0.0520350521436848,1,1.47236254581806,5748
"{AppointmentDay=20,Age=[ 0, 19),Alcoholism=0} => {SMS_received=0}",0.0521074739281576,1,1.47236254581806,5756
