
Dunn Index
             comp          ave       cent
sin   0.000258088 0.0007535356 0.00100682
comp  0.336819746 0.9834074399 1.31395856
ave   0.201309719 0.5877608948 0.78532400
cent  0.201309719 0.5877608948 0.78532400
aveto 0.201309719 0.5877608948 0.78532400
haus  0.203196787 0.5932705395 0.79268559

Davies Index
            comp         ave       cent
sin   433.156381 131.7618124 98.7438338
comp    0.995320   0.3318240  0.2488864
ave     2.228631   0.6812793  0.5060317
cent    2.228631   0.6812793  0.5060317
aveto   2.228631   0.6812793  0.5060317
haus    2.068188   0.6761505  0.5065257

Silhouette Coefficient
[1] 0.663149
