
Dunn Index
             comp         ave       cent
sin   0.002776567 0.008327096 0.01124965
comp  1.589625147 4.767383607 6.44059069
ave   0.994980053 2.984006390 4.03130215
cent  0.994980053 2.984006390 4.03130215
aveto 0.994980053 2.984006390 4.03130215
haus  0.589625147 1.768322088 2.38894952

Davies Index
             comp         ave        cent
sin   594.1549057 187.3927545 139.5026114
comp    0.9983185   0.3141051   0.2338792
ave     1.8234642   0.5787815   0.4306410
cent    1.8234642   0.5787815   0.4306410
aveto   1.8234642   0.5787815   0.4306410
haus    2.4389129   0.7085839   0.5312447

Silhouette Coefficient
[1] 0.828469
