
With 2 centroids
             comp         ave        cent
sin   1725.998272 470.5267060 357.5059511
comp     0.999421   0.2724535   0.2070100
ave      1.556493   0.4243178   0.3223964
cent     1.556493   0.4243178   0.3223964
aveto    1.556493   0.4243178   0.3223964
haus     1.572994   0.4288160   0.3258142

With 3 centroids
              comp         ave        cent
sin   1654.3931693 471.3897196 360.3950562
comp     0.9948811   0.3162991   0.2380229
ave      1.8117405   0.5826530   0.4380726
cent     1.8117405   0.5826530   0.4380726
aveto    1.8117405   0.5826530   0.4380726
haus     2.4669646   0.7351834   0.5584870

With 4 centroids
              comp         ave        cent
sin   1648.3833701 458.1313609 370.3423219
comp     0.9989629   0.3044831   0.2331763
ave      2.4281065   0.7101879   0.5573336
cent     2.4281065   0.7101879   0.5573336
aveto    2.4281065   0.7101879   0.5573336
haus     1.7182361   0.5300819   0.4032756

With 5 centroids
              comp         ave        cent
sin   1432.2476118 359.2504964 262.3296251
comp     0.9953027   0.3026086   0.2256240
ave      2.2796906   0.6404026   0.4723678
cent     2.2796906   0.6404026   0.4723678
aveto    2.2796906   0.6404026   0.4723678
haus     3.0168210   0.7875054   0.5752186

With 6 centroids
             comp         ave        cent
sin   773.2074314 210.6731173 155.6774790
comp    0.9900103   0.3091461   0.2331307
ave     2.1767303   0.6367990   0.4771140
cent    2.1767303   0.6367990   0.4771140
aveto   2.1767303   0.6367990   0.4771140
haus    2.6946459   0.7491315   0.5581809

With 7 centroids
            comp        ave       cent
sin   71.5402547 21.4887893 16.6872373
comp   0.9794472  0.3235786  0.2469858
ave    2.2585501  0.7127753  0.5510511
cent   2.2585501  0.7127753  0.5510511
aveto  2.2585501  0.7127753  0.5510511
haus   2.0631279  0.6671323  0.5079425

With 8 centroids
             comp         ave       cent
sin   341.9384685 109.0314593 81.2575270
comp    0.9965144   0.3195630  0.2383709
ave     2.2423007   0.6795216  0.5042512
cent    2.2423007   0.6795216  0.5042512
aveto   2.2423007   0.6795216  0.5042512
haus    2.3773484   0.7144438  0.5297224

With 9 centroids
              comp         ave        cent
sin   1128.3887523 287.8845408 208.4795583
comp     0.9964529   0.3242052   0.2414424
ave      2.1606350   0.6646918   0.4911715
cent     2.1606350   0.6646918   0.4911715
aveto    2.1606350   0.6646918   0.4911715
haus     2.3015221   0.7104003   0.5271904

With 10 centroids
             comp         ave        cent
sin   668.1601417 205.7589590 153.7125987
comp    0.9927264   0.3236596   0.2420579
ave     2.0096104   0.6445446   0.4812372
cent    2.0096104   0.6445446   0.4812372
aveto   2.0096104   0.6445446   0.4812372
haus    2.0577940   0.6601075   0.4926212

With 11 centroids
             comp         ave        cent
sin   667.3416651 215.1239513 161.3951316
comp    0.9934247   0.3269864   0.2449522
ave     2.0593866   0.6511511   0.4867381
cent    2.0593866   0.6511511   0.4867381
aveto   2.0593866   0.6511511   0.4867381
haus    2.2670552   0.6966837   0.5199407

With 12 centroids
             comp         ave        cent
sin   578.4245131 185.1252805 138.9835390
comp    0.9884406   0.3246918   0.2442158
ave     2.0341599   0.6415115   0.4812993
cent    2.0341599   0.6415115   0.4812993
aveto   2.0341599   0.6415115   0.4812993
haus    2.2134696   0.6911126   0.5177129
