
Dunn Index
             comp          ave        cent
sin   0.000280317 0.0008037602 0.001040734
comp  0.365745428 1.0487113730 1.357904384
ave   0.219319225 0.6288597131 0.814267284
cent  0.219319225 0.6288597131 0.814267284
aveto 0.219319225 0.6288597131 0.814267284
haus  0.144431473 0.4141321174 0.536231257

Davies Index
             comp         ave        cent
sin   578.4245131 185.1252805 138.9835390
comp    0.9884406   0.3246918   0.2442158
ave     2.0341599   0.6415115   0.4812993
cent    2.0341599   0.6415115   0.4812993
aveto   2.0341599   0.6415115   0.4812993
haus    2.2134696   0.6911126   0.5177129

Silhouette Coefficient
[1] 0.6685335
