
Dunn Index
              comp        ave        cent
sin   0.0009121845 0.00271261 0.003580813
comp  1.5753410843 4.68467213 6.184057785
ave   1.0115229726 3.00801745 3.970769617
cent  1.0115229726 3.00801745 3.970769617
aveto 1.0115229726 3.00801745 3.970769617
haus  1.0009121845 2.97646361 3.929116588

Davies Index
             comp         ave        cent
sin   1725.998272 470.5267060 357.5059511
comp     0.999421   0.2724535   0.2070100
ave      1.556493   0.4243178   0.3223964
cent     1.556493   0.4243178   0.3223964
aveto    1.556493   0.4243178   0.3223964
haus     1.572994   0.4288160   0.3258142

Silhouette Coefficient
[1] 0.8537779
