
With 2 centroids
             comp         ave       cent
sin   0.002816396 0.008445879 0.01119968
comp  1.586477152 4.757567115 6.30878632
ave   1.034567480 3.102486672 4.11406187
cent  1.034567480 3.102486672 4.11406187
aveto 1.034567480 3.102486672 4.11406187
haus  0.586477152 1.758742261 2.33218551

With 3 centroids
              comp         ave        cent
sin   0.0009823968 0.002933422 0.003877094
comp  1.5469061931 4.619038898 6.104967261
ave   0.9691436375 2.893848495 3.824789250
cent  0.9691436375 2.893848495 3.824789250
aveto 0.9691436375 2.893848495 3.824789250
haus  0.5670414596 1.693177369 2.237866499

With 4 centroids
              comp          ave         cent
sin   9.458228e-05 0.0002832052 0.0003782184
comp  8.648309e-01 2.5895404774 3.4583110168
ave   3.032642e-01 0.9080561087 1.2127018180
cent  3.032642e-01 0.9080561087 1.2127018180
aveto 3.032642e-01 0.9080561087 1.2127018180
haus  6.660879e-01 1.9944495399 2.6635717328

With 5 centroids
              comp          ave         cent
sin   0.0002013613 0.0005999974 0.0007972225
comp  0.7450331673 2.2199791249 2.9497081753
ave   0.2693136947 0.8024753883 1.0662569692
cent  0.2693136947 0.8024753883 1.0662569692
aveto 0.2693136947 0.8024753883 1.0662569692
haus  0.1712258317 0.5102024831 0.6779110751

With 6 centroids
              comp          ave        cent
sin   0.0002511471 0.0007700776 0.001016998
comp  0.8724114810 2.6750238441 3.532752633
ave   0.3306787110 1.0139406185 1.339054004
cent  0.3306787110 1.0139406185 1.339054004
aveto 0.3306787110 1.0139406185 1.339054004
haus  0.2097249708 0.6430673024 0.849262600

With 7 centroids
             comp        ave       cent
sin   0.005909363 0.01660576 0.02159577
comp  0.423664399 1.19052944 1.54828194
ave   0.258718847 0.72701979 0.94548826
cent  0.258718847 0.72701979 0.94548826
aveto 0.258718847 0.72701979 0.94548826
haus  0.264988163 0.74463705 0.96839949

With 8 centroids
              comp          ave        cent
sin   0.0003215277 0.0009378093 0.001223021
comp  0.4530593397 1.3214516494 1.723338309
ave   0.2768045985 0.8073642041 1.052903951
cent  0.2768045985 0.8073642041 1.052903951
aveto 0.2768045985 0.8073642041 1.052903951
haus  0.1747425523 0.5096767988 0.664682324

With 9 centroids
              comp          ave        cent
sin   0.0002935209 0.0008259184 0.001096018
comp  0.4496218597 1.2651602614 1.678905220
ave   0.2727616526 0.7675053967 1.018502443
cent  0.2727616526 0.7675053967 1.018502443
aveto 0.2727616526 0.7675053967 1.018502443
haus  0.2775456513 0.7809667640 1.036366077

With 10 centroids
              comp         ave        cent
sin   0.0008122689 0.002341684 0.003049821
comp  0.4759624611 1.372148721 1.787093170
ave   0.2865563136 0.826111115 1.075931134
cent  0.2865563136 0.826111115 1.075931134
aveto 0.2865563136 0.826111115 1.075931134
haus  0.1812794037 0.522609076 0.680648603

With 11 centroids
             comp          ave         cent
sin   0.000209642 0.0006043755 0.0007871416
comp  0.368176401 1.0614130722 1.3823895485
ave   0.215969414 0.6226166543 0.8108989593
cent  0.215969414 0.6226166543 0.8108989593
aveto 0.215969414 0.6226166543 0.8108989593
haus  0.216110877 0.6230244784 0.8114301113

With 12 centroids
             comp          ave         cent
sin   0.000174326 0.0005025631 0.0006545407
comp  0.292880348 0.8443426262 1.0996759437
ave   0.162762320 0.4692263112 0.6111226302
cent  0.162762320 0.4692263112 0.6111226302
aveto 0.162762320 0.4692263112 0.6111226302
haus  0.166409937 0.4797419973 0.6248183110
