
Dunn Index
             comp          ave         cent
sin   0.000209642 0.0006043755 0.0007871416
comp  0.368176401 1.0614130722 1.3823895485
ave   0.215969414 0.6226166543 0.8108989593
cent  0.215969414 0.6226166543 0.8108989593
aveto 0.215969414 0.6226166543 0.8108989593
haus  0.216110877 0.6230244784 0.8114301113

Davies Index
            comp         ave        cent
sin   780.997512 223.7070854 166.5474583
comp    0.996555   0.3279444   0.2464181
ave     2.160584   0.6666644   0.4970246
cent    2.160584   0.6666644   0.4970246
aveto   2.160584   0.6666644   0.4970246
haus    2.225561   0.6783488   0.5060534

Silhouette Coefficient
[1] 0.6695093
