
Dunn Index
              comp          ave        cent
sin   0.0002935209 0.0008259184 0.001096018
comp  0.4496218597 1.2651602614 1.678905220
ave   0.2727616526 0.7675053967 1.018502443
cent  0.2727616526 0.7675053967 1.018502443
aveto 0.2727616526 0.7675053967 1.018502443
haus  0.2775456513 0.7809667640 1.036366077

Davies Index
             comp         ave        cent
sin   719.0455624 207.4130866 154.1437929
comp    0.9970069   0.3271729   0.2451668
ave     2.2007053   0.6762401   0.5025718
cent    2.2007053   0.6762401   0.5025718
aveto   2.2007053   0.6762401   0.5025718
haus    2.2278450   0.6717688   0.4987779

Silhouette Coefficient
[1] 0.6781242
