
Dunn Index
             comp        ave        cent
sin   0.001933081 0.00585135 0.007886205
comp  1.542222556 4.66823934 6.291658011
ave   0.977901789 2.96006539 3.989452496
cent  0.977901789 2.96006539 3.989452496
aveto 0.977901789 2.96006539 3.989452496
haus  0.972169813 2.94271495 3.966068299

Davies Index
             comp         ave        cent
sin   551.9168420 155.4708307 117.8547468
comp    0.9938851   0.3122811   0.2336095
ave     1.8145723   0.5776125   0.4317120
cent    1.8145723   0.5776125   0.4317120
aveto   1.8145723   0.5776125   0.4317120
haus    1.8390712   0.5856282   0.4376853

Silhouette Coefficient
[1] 0.8266614
