
With 2 centroids
             comp         ave        cent
sin   0.001913891 0.005715717 0.007588852
comp  1.586889971 4.739149361 6.292246564
ave   1.038254241 3.100682474 4.116827127
cent  1.038254241 3.100682474 4.116827127
aveto 1.038254241 3.100682474 4.116827127
haus  1.001913891 2.992154253 3.972732422

With 3 centroids
            comp        ave       cent
sin   0.00354976 0.01054007 0.01396992
comp  1.54315951 4.58200150 6.07303600
ave   0.97150733 2.88463247 3.82332411
cent  0.97150733 2.88463247 3.82332411
aveto 0.97150733 2.88463247 3.82332411
haus  0.56977885 1.69180666 2.24233945

With 4 centroids
              comp          ave         cent
sin   0.0002133812 0.0006471925 0.0008623716
comp  0.8541856541 2.5907745331 3.4521574008
ave   0.2779946306 0.8431672973 1.1235042603
cent  0.2779946306 0.8431672973 1.1235042603
aveto 0.2779946306 0.8431672973 1.1235042603
haus  0.6731492956 2.0416850175 2.7205061472

With 5 centroids
              comp          ave         cent
sin   0.0001574225 0.0004517819 0.0005892651
comp  0.7524265293 2.1593650334 2.8164884671
ave   0.2695699546 0.7736302632 1.0090562181
cent  0.2695699546 0.7736302632 1.0090562181
aveto 0.2695699546 0.7736302632 1.0090562181
haus  0.5810222624 1.6674573639 2.1748867663

With 6 centroids
             comp          ave         cent
sin   0.000186283 0.0005652636 0.0007403096
comp  0.814410751 2.4712755379 3.2365590362
ave   0.312054401 0.9469084337 1.2401389487
cent  0.312054401 0.9469084337 1.2401389487
aveto 0.312054401 0.9469084337 1.2401389487
haus  0.617678727 1.8743052274 2.4547240595

With 7 centroids
             comp        ave       cent
sin   0.006145269 0.01723683 0.02250978
comp  0.424144926 1.18968193 1.55361929
ave   0.260951870 0.73194257 0.95585219
cent  0.260951870 0.73194257 0.95585219
aveto 0.260951870 0.73194257 0.95585219
haus  0.265208281 0.74388135 0.97144319

With 8 centroids
             comp          ave         cent
sin   0.000165676 0.0004722499 0.0006140246
comp  0.405957669 1.1571590745 1.5045513212
ave   0.247255529 0.7047877192 0.9163729668
cent  0.247255529 0.7047877192 0.9163729668
aveto 0.247255529 0.7047877192 0.9163729668
haus  0.250147564 0.7130312998 0.9270913635

With 9 centroids
              comp         ave        cent
sin   0.0006122652 0.001803681 0.002392775
comp  0.4769743942 1.405125763 1.864049387
ave   0.2909558464 0.857131034 1.137075855
cent  0.2909558464 0.857131034 1.137075855
aveto 0.2909558464 0.857131034 1.137075855
haus  0.1845921129 0.543792574 0.721398924

With 10 centroids
              comp          ave        cent
sin   0.0002931824 0.0008065921 0.001058466
comp  0.4645300238 1.2779971948 1.677076509
ave   0.2786029138 0.7664816569 1.005830362
cent  0.2786029138 0.7664816569 1.005830362
aveto 0.2786029138 0.7664816569 1.005830362
haus  0.2882095577 0.7929110874 1.040512893

With 11 centroids
             comp         ave        cent
sin   0.000570578 0.001569752 0.002059938
comp  0.375847616 1.034017553 1.356909510
ave   0.205660269 0.565804647 0.742488079
cent  0.205660269 0.565804647 0.742488079
aveto 0.205660269 0.565804647 0.742488079
haus  0.158749820 0.436746421 0.573128928

With 12 centroids
              comp         ave        cent
sin   0.0004021861 0.001106479 0.001451998
comp  0.2886476576 0.794116371 1.042094550
ave   0.1662760667 0.457452341 0.600300672
cent  0.1662760667 0.457452341 0.600300672
aveto 0.1662760667 0.457452341 0.600300672
haus  0.1623929696 0.446769313 0.586281662
