
Dunn Index
             comp         ave        cent
sin   0.000570578 0.001569752 0.002059938
comp  0.375847616 1.034017553 1.356909510
ave   0.205660269 0.565804647 0.742488079
cent  0.205660269 0.565804647 0.742488079
aveto 0.205660269 0.565804647 0.742488079
haus  0.158749820 0.436746421 0.573128928

Davies Index
             comp         ave       cent
sin   408.4550797 113.9660551 84.2499699
comp    0.9933129   0.3306895  0.2495038
ave     2.1692275   0.6672714  0.4998682
cent    2.1692275   0.6672714  0.4998682
aveto   2.1692275   0.6672714  0.4998682
haus    2.2271501   0.6780382  0.5078539

Silhouette Coefficient
[1] 0.6683398
