
Dunn Index
              comp         ave        cent
sin   0.0004021861 0.001106479 0.001451998
comp  0.2886476576 0.794116371 1.042094550
ave   0.1662760667 0.457452341 0.600300672
cent  0.1662760667 0.457452341 0.600300672
aveto 0.1662760667 0.457452341 0.600300672
haus  0.1623929696 0.446769313 0.586281662

Davies Index
             comp         ave        cent
sin   457.2305556 140.2871848 104.6860803
comp    0.9974805   0.3298733   0.2484991
ave     2.2166369   0.6766087   0.5047843
cent    2.2166369   0.6766087   0.5047843
aveto   2.2166369   0.6766087   0.5047843
haus    2.2664950   0.6957092   0.5192452

Silhouette Coefficient
[1] 0.6522056
