
With 2 centroids
              comp         ave        cent
sin   1026.6742034 280.0997062 212.3044864
comp     0.9990269   0.2725569   0.2065873
ave      1.5633709   0.4265226   0.3232872
cent     1.5633709   0.4265226   0.3232872
aveto    1.5633709   0.4265226   0.3232872
haus     1.5662864   0.4273180   0.3238901

With 3 centroids
             comp        ave       cent
sin   231.3799497 65.4605229 49.5371286
comp    0.9928703  0.3124972  0.2335922
ave     1.8264278  0.5820047  0.4346659
cent    1.8264278  0.5820047  0.4346659
aveto   1.8264278  0.5820047  0.4346659
haus    2.4379849  0.7134583  0.5378136

With 4 centroids
             comp         ave        cent
sin   889.0551041 283.3044296 211.3911481
comp    0.9979484   0.2979840   0.2258550
ave     2.5191351   0.7009083   0.5402754
cent    2.5191351   0.7009083   0.5402754
aveto   2.5191351   0.7009083   0.5402754
haus    2.1440842   0.6567162   0.4967382

With 5 centroids
             comp         ave        cent
sin   976.0954223 256.3730656 187.1597566
comp    0.9989024   0.2953706   0.2202459
ave     2.3877500   0.6392488   0.4680886
cent    2.3877500   0.6392488   0.4680886
aveto   2.3877500   0.6392488   0.4680886
haus    3.0547811   0.7733607   0.5629996

With 6 centroids
             comp         ave        cent
sin   897.3576837 248.0289314 183.3203296
comp    0.9987012   0.3063544   0.2283493
ave     2.1863797   0.6310657   0.4688982
cent    2.1863797   0.6310657   0.4688982
aveto   2.1863797   0.6310657   0.4688982
haus    2.0679954   0.6239834   0.4628114

With 7 centroids
             comp         ave       cent
sin   346.4697173 114.3317461 87.3679208
comp    0.9938037   0.3190422  0.2423899
ave     2.3352649   0.7174013  0.5518542
cent    2.3352649   0.7174013  0.5518542
aveto   2.3352649   0.7174013  0.5518542
haus    2.4828724   0.7622916  0.5852743

With 8 centroids
             comp         ave        cent
sin   701.9238603 219.7279400 163.4449991
comp    0.9984278   0.3199289   0.2382375
ave     2.2890999   0.6802453   0.5029426
cent    2.2890999   0.6802453   0.5029426
aveto   2.2890999   0.6802453   0.5029426
haus    2.3583501   0.6847817   0.5043045

With 9 centroids
             comp         ave        cent
sin   788.1343793 206.4778142 150.7304747
comp    0.9949812   0.3282214   0.2463197
ave     2.1717302   0.6746833   0.5018764
cent    2.1717302   0.6746833   0.5018764
aveto   2.1717302   0.6746833   0.5018764
haus    2.2045219   0.6718021   0.5025145

With 10 centroids
             comp         ave       cent
sin   454.8631026 123.8980191 92.4216112
comp    0.9921452   0.3305776  0.2485776
ave     2.2593751   0.6994356  0.5246764
cent    2.2593751   0.6994356  0.5246764
aveto   2.2593751   0.6994356  0.5246764
haus    2.3155774   0.7083310  0.5313760

With 11 centroids
            comp         ave        cent
sin   920.164006 287.7625695 215.5140222
comp    0.996872   0.3291700   0.2485706
ave     2.156962   0.6675867   0.4996335
cent    2.156962   0.6675867   0.4996335
aveto   2.156962   0.6675867   0.4996335
haus    2.056008   0.6642243   0.4984191

With 12 centroids
             comp         ave        cent
sin   530.1857213 164.2320332 123.6382685
comp    0.9793034   0.3234179   0.2434054
ave     2.0236488   0.6420477   0.4809392
cent    2.0236488   0.6420477   0.4809392
aveto   2.0236488   0.6420477   0.4809392
haus    2.1351294   0.6861068   0.5156537
