
Dunn Index
             comp        ave       cent
sin   0.004890032 0.01442204 0.01942636
comp  1.542024437 4.54785063 6.12591597
ave   0.966473605 2.85039425 3.83945672
cent  0.966473605 2.85039425 3.83945672
aveto 0.966473605 2.85039425 3.83945672
haus  0.569409646 1.67934434 2.26206250

Davies Index
             comp        ave       cent
sin   231.3799497 65.4605229 49.5371286
comp    0.9928703  0.3124972  0.2335922
ave     1.8264278  0.5820047  0.4346659
cent    1.8264278  0.5820047  0.4346659
aveto   1.8264278  0.5820047  0.4346659
haus    2.4379849  0.7134583  0.5378136

Silhouette Coefficient
[1] 0.8234709
