
Dunn Index
             comp        ave      cent
sin   0.004517782 0.01357619 0.0180866
comp  1.544365418 4.64090657 6.1827530
ave   0.970801350 2.91731368 3.8865316
cent  0.970801350 2.91731368 3.8865316
aveto 0.970801350 2.91731368 3.8865316
haus  0.979094642 2.94223550 3.9197331

Davies Index
             comp        ave       cent
sin   249.9956992 71.7015424 54.7040888
comp    0.9932401  0.3147389  0.2370338
ave     1.8114068  0.5805816  0.4368509
cent    1.8114068  0.5805816  0.4368509
aveto   1.8114068  0.5805816  0.4368509
haus    1.8360542  0.5891190  0.4432178

Silhouette Coefficient
[1] 0.8282265
