
Dunn Index
           comp         ave       cent
sin   0.0027214 0.007943562 0.01063901
comp  0.3366891 0.982770027 1.31624826
ave   0.2032409 0.593244896 0.79454759
cent  0.2032409 0.593244896 0.79454759
aveto 0.2032409 0.593244896 0.79454759
haus  0.1422268 0.415149429 0.55601992

Davies Index
             comp        ave       cent
sin   225.2716053 73.8717147 55.4234476
comp    0.9910846  0.3297138  0.2478237
ave     2.2081065  0.6762473  0.5031101
cent    2.2081065  0.6762473  0.5031101
aveto   2.2081065  0.6762473  0.5031101
haus    2.4010567  0.7169926  0.5337719

Silhouette Coefficient
[1] 0.6650686
