
Dunn Index
            comp        ave       cent
sin   0.00432091 0.01277704 0.01697239
comp  1.53986940 4.55343392 6.04855449
ave   0.96865960 2.86435168 3.80486189
cent  0.96865960 2.86435168 3.80486189
aveto 0.96865960 2.86435168 3.80486189
haus  0.56929531 1.68342105 2.23617255

Davies Index
             comp        ave       cent
sin   257.4307936 74.9108180 57.3956268
comp    0.9927994  0.3197469  0.2417261
ave     1.8103040  0.5901038  0.4457053
cent    1.8103040  0.5901038  0.4457053
aveto   1.8103040  0.5901038  0.4457053
haus    2.4346636  0.7330986  0.5591914

Silhouette Coefficient
[1] 0.8229564
