
With 2 centroids
             comp          ave         cent
sin   6058.078251 1654.1495901 1246.1568533
comp     0.999835    0.2730035    0.2056677
ave      1.565710    0.4275148    0.3220691
cent     1.565710    0.4275148    0.3220691
aveto    1.565710    0.4275148    0.3220691
haus     2.747398    0.7501732    0.5651444

With 3 centroids
            comp         ave       cent
sin   426.019016 121.4789192 92.5475615
comp    0.993870   0.3179065  0.2399549
ave     1.824669   0.5911422  0.4459233
cent    1.824669   0.5911422  0.4459233
aveto   1.824669   0.5911422  0.4459233
haus    2.453823   0.7300753  0.5543005

With 4 centroids
              comp         ave        cent
sin   3538.7619114 876.1284386 689.8582196
comp     0.9990756   0.3018389   0.2292617
ave      2.5276488   0.7044866   0.5433345
cent     2.5276488   0.7044866   0.5433345
aveto    2.5276488   0.7044866   0.5433345
haus     3.5075968   0.9276501   0.7209613

With 5 centroids
              comp         ave        cent
sin   1351.2918876 303.2221383 219.9195875
comp     0.9982503   0.2978625   0.2222314
ave      2.3758763   0.6351127   0.4672933
cent     2.3758763   0.6351127   0.4672933
aveto    2.3758763   0.6351127   0.4672933
haus     2.0800785   0.6039145   0.4459569

With 6 centroids
              comp         ave        cent
sin   1675.9262953 362.2561111 261.0308888
comp     0.9855853   0.3063249   0.2328085
ave      2.1845427   0.6313441   0.4749163
cent     2.1845427   0.6313441   0.4749163
aveto    2.1845427   0.6313441   0.4749163
haus     1.7938414   0.5701656   0.4332540

With 7 centroids
            comp        ave       cent
sin   68.1915476 20.4715703 15.8947839
comp   0.9792447  0.3220575  0.2462355
ave    2.2558029  0.7079691  0.5481467
cent   2.2558029  0.7079691  0.5481467
aveto  2.2558029  0.7079691  0.5481467
haus   2.2034485  0.7093249  0.5428125

With 8 centroids
             comp         ave        cent
sin   728.1696856 233.9927133 173.8407135
comp    0.9979036   0.3203093   0.2384370
ave     2.2815133   0.6768874   0.5006580
cent    2.2815133   0.6768874   0.5006580
aveto   2.2815133   0.6768874   0.5006580
haus    2.2811581   0.7077946   0.5247677

With 9 centroids
             comp         ave        cent
sin   762.9363251 217.8613860 161.3393218
comp    0.9963105   0.3258085   0.2442247
ave     2.1634709   0.6643804   0.4936311
cent    2.1634709   0.6643804   0.4936311
aveto   2.1634709   0.6643804   0.4936311
haus    2.1836860   0.6717143   0.4996101

With 10 centroids
              comp         ave        cent
sin   1007.0485697 311.5395427 234.8479910
comp     0.9973331   0.3310854   0.2507454
ave      2.2066450   0.7022607   0.5388539
cent     2.2066450   0.7022607   0.5388539
aveto    2.2066450   0.7022607   0.5388539
haus     2.1877721   0.7005473   0.5370215

With 11 centroids
             comp         ave        cent
sin   623.6033129 187.6003435 140.7052674
comp    0.9932462   0.3295194   0.2477430
ave     2.0634510   0.6573751   0.4927735
cent    2.0634510   0.6573751   0.4927735
aveto   2.0634510   0.6573751   0.4927735
haus    2.2990034   0.7115350   0.5328649

With 12 centroids
             comp         ave       cent
sin   326.8319224 103.4779297 77.2964331
comp    0.9915173   0.3281936  0.2467404
ave     2.1068749   0.6646581  0.4962088
cent    2.1068749   0.6646581  0.4962088
aveto   2.1068749   0.6646581  0.4962088
haus    2.2395429   0.7026597  0.5258288
