
Dunn Index
              comp          ave         cent
sin   0.0002460365 0.0007184731 0.0009545259
comp  0.4481989593 1.3088258587 1.7388378281
ave   0.2740739642 0.8003478904 1.0633004982
cent  0.2740739642 0.8003478904 1.0633004982
aveto 0.2740739642 0.8003478904 1.0633004982
haus  0.2752204217 0.8036957635 1.0677483078

Davies Index
             comp         ave        cent
sin   762.9363251 217.8613860 161.3393218
comp    0.9963105   0.3258085   0.2442247
ave     2.1634709   0.6643804   0.4936311
cent    2.1634709   0.6643804   0.4936311
aveto   2.1634709   0.6643804   0.4936311
haus    2.1836860   0.6717143   0.4996101

Silhouette Coefficient
[1] 0.6773355
