   support confidence     lift leverage   jaccard
1    0.065  0.9285714 1.857143  0.03000 0.1287129
2    0.050  0.6666667 7.407407  0.04325 0.4347826
3    0.050  0.6250000 4.464286  0.03880 0.2941176
4    0.050  0.6250000 4.310345  0.03840 0.2857143
5    0.055  0.6875000 1.375000  0.01500 0.1047619
6    0.055  0.6111111 1.222222  0.01000 0.1028037
7    0.060  0.6666667 6.666667  0.05100 0.4615385
8    0.060  0.6000000 6.666667  0.05100 0.4615385
9    0.055  0.6111111 1.222222  0.01000 0.1028037
10   0.075  0.7894737 1.578947  0.02750 0.1442308
11   0.060  0.6315789 1.263158  0.01250 0.1121495
12   0.060  0.6000000 1.200000  0.01000 0.1111111
13   0.075  0.6250000 1.250000  0.01500 0.1376147
14   0.085  0.7083333 1.416667  0.02500 0.1588785
15   0.090  0.6206897 1.241379  0.01750 0.1621622
16   0.105  0.6363636 1.272727  0.02250 0.1875000
17   0.050  1.0000000 2.000000  0.02500 0.1000000
18   0.050  0.6250000 4.310345  0.03840 0.2857143

"rules","support","confidence","lift","count"
"{RW=16} => {sex=1}",0.065,0.928571428571429,1.85714285714286,13
"{BD=12} => {FL=14}",0.05,0.666666666666667,7.40740740740741,10
"{CL=31} => {BD=13}",0.05,0.625,4.46428571428571,10
"{CL=31} => {FL=15}",0.05,0.625,4.31034482758621,10
"{CL=31} => {sex=1}",0.055,0.6875,1.375,11
"{FL=14} => {sex=0}",0.055,0.611111111111111,1.22222222222222,11
"{FL=12} => {BD=11}",0.06,0.666666666666667,6.66666666666667,12
"{BD=11} => {FL=12}",0.06,0.6,6.66666666666667,12
"{FL=17} => {sex=0}",0.055,0.611111111111111,1.22222222222222,11
"{RW=10} => {sex=0}",0.075,0.789473684210526,1.57894736842105,15
"{BD=17} => {sex=0}",0.06,0.631578947368421,1.26315789473684,12
"{BD=11} => {sex=1}",0.06,0.6,1.2,12
"{RW=12} => {sex=0}",0.075,0.625,1.25,15
"{RW=14} => {sex=1}",0.085,0.708333333333333,1.41666666666667,17
"{FL=15} => {sex=1}",0.09,0.620689655172414,1.24137931034483,18
"{RW=11} => {sex=0}",0.105,0.636363636363636,1.27272727272727,21
"{FL=15,RW=13} => {sex=1}",0.05,1,2,10
"{sex=1,RW=13} => {FL=15}",0.05,0.625,4.31034482758621,10
