   support confidence     lift leverage    jaccard
1    0.500  0.5000000 1.000000  0.00000 0.50000000
2    0.500  0.5000000 1.000000  0.00000 0.50000000
3    0.065  0.9285714 1.857143  0.03000 0.12871287
4    0.050  0.6666667 7.407407  0.04325 0.43478261
5    0.050  0.5555556 7.407407  0.04325 0.43478261
6    0.050  0.6250000 4.464286  0.03880 0.29411765
7    0.050  0.6250000 4.310345  0.03840 0.28571429
8    0.055  0.6875000 1.375000  0.01500 0.10476190
9    0.050  0.5882353 1.176471  0.00750 0.09345794
10   0.055  0.6111111 1.222222  0.01000 0.10280374
11   0.060  0.6666667 6.666667  0.05100 0.46153846
12   0.060  0.6000000 6.666667  0.05100 0.46153846
13   0.055  0.6111111 1.222222  0.01000 0.10280374
14   0.075  0.7894737 1.578947  0.02750 0.14423077
15   0.060  0.6315789 1.263158  0.01250 0.11214953
16   0.050  0.5000000 3.030303  0.03350 0.23255814
17   0.060  0.6000000 1.200000  0.01000 0.11111111
18   0.060  0.5454545 3.761755  0.04405 0.30769231
19   0.060  0.5454545 1.090909  0.00500 0.10909091
20   0.075  0.6250000 1.250000  0.01500 0.13761468
21   0.085  0.7083333 1.416667  0.02500 0.15887850
22   0.080  0.5714286 3.940887  0.05970 0.39024390
23   0.080  0.5517241 3.940887  0.05970 0.39024390
24   0.070  0.5000000 1.000000  0.00000 0.12280702
25   0.070  0.5000000 1.000000  0.00000 0.12280702
26   0.090  0.6206897 1.241379  0.01750 0.16216216
27   0.085  0.5151515 1.030303  0.00250 0.14655172
28   0.105  0.6363636 1.272727  0.02250 0.18750000
29   0.050  1.0000000 2.000000  0.02500 0.10000000
30   0.050  0.5555556 3.367003  0.03515 0.24390244
31   0.050  0.6250000 4.310345  0.03840 0.28571429
