   support confidence     lift leverage   jaccard
1    0.065  0.9285714 1.857143  0.03000 0.1287129
2    0.050  0.6666667 7.407407  0.04325 0.4347826
3    0.050  0.6250000 4.464286  0.03880 0.2941176
4    0.050  0.6250000 4.310345  0.03840 0.2857143
5    0.055  0.6875000 1.375000  0.01500 0.1047619
6    0.055  0.6111111 1.222222  0.01000 0.1028037
7    0.060  0.6666667 6.666667  0.05100 0.4615385
8    0.060  0.6000000 6.666667  0.05100 0.4615385
9    0.055  0.6111111 1.222222  0.01000 0.1028037
10   0.075  0.7894737 1.578947  0.02750 0.1442308
11   0.060  0.6315789 1.263158  0.01250 0.1121495
12   0.060  0.6000000 1.200000  0.01000 0.1111111
13   0.075  0.6250000 1.250000  0.01500 0.1376147
14   0.085  0.7083333 1.416667  0.02500 0.1588785
15   0.090  0.6206897 1.241379  0.01750 0.1621622
16   0.105  0.6363636 1.272727  0.02250 0.1875000
17   0.050  1.0000000 2.000000  0.02500 0.1000000
18   0.050  0.6250000 4.310345  0.03840 0.2857143
