"rules","support","confidence","lift","count"
"{RW=16} => {sex=1}",0.065,0.928571428571429,1.85714285714286,13
"{BD=12} => {FL=14}",0.05,0.666666666666667,7.40740740740741,10
"{CL=31} => {BD=13}",0.05,0.625,4.46428571428571,10
"{CL=31} => {FL=15}",0.05,0.625,4.31034482758621,10
"{CL=31} => {sex=1}",0.055,0.6875,1.375,11
"{FL=14} => {sex=0}",0.055,0.611111111111111,1.22222222222222,11
"{FL=12} => {BD=11}",0.06,0.666666666666667,6.66666666666667,12
"{BD=11} => {FL=12}",0.06,0.6,6.66666666666667,12
"{FL=17} => {sex=0}",0.055,0.611111111111111,1.22222222222222,11
"{RW=10} => {sex=0}",0.075,0.789473684210526,1.57894736842105,15
"{BD=17} => {sex=0}",0.06,0.631578947368421,1.26315789473684,12
"{BD=11} => {sex=1}",0.06,0.6,1.2,12
"{RW=12} => {sex=0}",0.075,0.625,1.25,15
"{RW=14} => {sex=1}",0.085,0.708333333333333,1.41666666666667,17
"{FL=15} => {sex=1}",0.09,0.620689655172414,1.24137931034483,18
"{RW=11} => {sex=0}",0.105,0.636363636363636,1.27272727272727,21
"{FL=15,RW=13} => {sex=1}",0.05,1,2,10
"{sex=1,RW=13} => {FL=15}",0.05,0.625,4.31034482758621,10
