   support confidence     lift leverage   jaccard
1    0.220  0.9166667 3.666667 0.160000 0.8148148
2    0.245  1.0000000 4.000000 0.183750 0.9800000
3    0.245  0.9800000 4.000000 0.183750 0.9800000
4    0.225  0.9183673 3.673469 0.163750 0.8333333
5    0.225  0.9000000 3.673469 0.163750 0.8333333
6    0.240  0.9600000 3.764706 0.176250 0.9056604
7    0.240  0.9411765 3.764706 0.176250 0.9056604
8    0.240  0.9600000 3.764706 0.176250 0.9056604
9    0.240  0.9411765 3.764706 0.176250 0.9056604
10   0.235  0.9400000 3.686275 0.171250 0.8703704
11   0.235  0.9215686 3.686275 0.171250 0.8703704
12   0.230  0.9019608 3.537101 0.164975 0.8214286
13   0.230  0.9019608 3.537101 0.164975 0.8214286
14   0.230  0.9019608 3.537101 0.164975 0.8214286
15   0.230  0.9019608 3.537101 0.164975 0.8214286
16   0.200  0.9302326 3.720930 0.146250 0.7547170
17   0.200  0.9302326 3.796868 0.147325 0.7692308
18   0.200  1.0000000 4.166667 0.152000 0.8333333
19   0.215  1.0000000 4.000000 0.161250 0.8600000
20   0.215  0.9772727 3.988868 0.161100 0.8600000
21   0.205  0.9534884 3.813953 0.151250 0.7884615
22   0.205  0.9318182 3.727273 0.150000 0.7735849
23   0.205  1.0000000 4.166667 0.155800 0.8541667
24   0.200  1.0000000 4.000000 0.150000 0.8000000
25   0.200  0.9756098 3.982081 0.149775 0.8000000
26   0.205  0.9534884 3.739170 0.150175 0.7735849
27   0.205  0.9761905 3.904762 0.152500 0.8039216
28   0.215  1.0000000 3.921569 0.160175 0.8431373
29   0.215  0.9148936 3.587818 0.155075 0.7818182
30   0.215  0.9347826 3.739130 0.157500 0.8113208
31   0.225  0.9375000 3.676471 0.163800 0.8333333
32   0.225  0.9574468 3.754693 0.165075 0.8490566
33   0.225  0.9782609 3.913043 0.167500 0.8823529
34   0.200  0.9756098 3.825921 0.147725 0.7692308
35   0.200  0.9302326 3.720930 0.146250 0.7547170
36   0.210  1.0000000 3.921569 0.156450 0.8235294
37   0.210  0.9130435 3.580563 0.151350 0.7636364
38   0.210  0.9130435 3.580563 0.151350 0.7636364
39   0.205  0.9534884 3.739170 0.150175 0.7735849
40   0.205  0.9761905 3.828198 0.151450 0.7884615
41   0.200  1.0000000 4.000000 0.150000 0.8000000
42   0.200  0.9302326 3.720930 0.146250 0.7547170
43   0.200  0.9756098 3.982081 0.149775 0.8000000
44   0.200  1.0000000 4.166667 0.152000 0.8333333
45   0.205  1.0000000 3.921569 0.152725 0.8039216
46   0.205  0.9534884 3.739170 0.150175 0.7735849
47   0.205  0.9111111 3.572985 0.147625 0.7454545
48   0.205  0.9761905 3.904762 0.152500 0.8039216
