    support confidence     lift leverage   jaccard
1     0.245          1 4.000000 0.183750 0.9800000
2     0.170          1 4.081633 0.128350 0.6938776
3     0.160          1 4.166667 0.121600 0.6666667
4     0.170          1 4.000000 0.127500 0.6800000
5     0.060          1 4.166667 0.045600 0.2500000
6     0.070          1 2.000000 0.035000 0.1400000
7     0.165          1 4.081633 0.124575 0.6734694
8     0.165          1 4.000000 0.123750 0.6600000
9     0.065          1 4.166667 0.049400 0.2708333
10    0.100          1 4.081633 0.075500 0.4081633
11    0.200          1 4.166667 0.152000 0.8333333
12    0.215          1 4.000000 0.161250 0.8600000
13    0.100          1 4.081633 0.075500 0.4081633
14    0.205          1 4.166667 0.155800 0.8541667
15    0.125          1 4.166667 0.095000 0.5208333
16    0.100          1 4.000000 0.075000 0.4000000
17    0.065          1 4.166667 0.049400 0.2708333
18    0.160          1 4.081633 0.120800 0.6530612
19    0.190          1 4.000000 0.142500 0.7600000
20    0.190          1 4.081633 0.143450 0.7755102
21    0.160          1 4.000000 0.120000 0.6400000
22    0.050          1 3.921569 0.037250 0.1960784
23    0.050          1 4.000000 0.037500 0.2000000
24    0.075          1 4.000000 0.056250 0.3000000
25    0.075          1 2.000000 0.037500 0.1500000
26    0.065          1 4.000000 0.048750 0.2600000
27    0.065          1 2.000000 0.032500 0.1300000
28    0.065          1 2.000000 0.032500 0.1300000
29    0.060          1 2.000000 0.030000 0.1200000
30    0.080          1 2.000000 0.040000 0.1600000
31    0.085          1 3.921569 0.063325 0.3333333
32    0.075          1 2.000000 0.037500 0.1500000
33    0.075          1 2.000000 0.037500 0.1500000
34    0.055          1 3.921569 0.040975 0.2156863
35    0.170          1 4.000000 0.127500 0.6800000
36    0.170          1 4.081633 0.128350 0.6938776
37    0.065          1 4.081633 0.049075 0.2653061
38    0.105          1 4.081633 0.079275 0.4285714
39    0.065          1 4.000000 0.048750 0.2600000
40    0.125          1 4.081633 0.094375 0.5102041
41    0.065          1 4.000000 0.048750 0.2600000
42    0.105          1 4.081633 0.079275 0.4285714
43    0.055          1 2.000000 0.027500 0.1100000
44    0.075          1 3.921569 0.055875 0.2941176
45    0.075          1 4.000000 0.056250 0.3000000
46    0.075          1 2.000000 0.037500 0.1500000
47    0.075          1 2.000000 0.037500 0.1500000
48    0.075          1 2.000000 0.037500 0.1500000
49    0.065          1 2.000000 0.032500 0.1300000
50    0.200          1 4.000000 0.150000 0.8000000
51    0.055          1 4.000000 0.041250 0.2200000
52    0.140          1 4.000000 0.105000 0.5600000
53    0.105          1 4.000000 0.078750 0.4200000
54    0.105          1 4.081633 0.079275 0.4285714
55    0.115          1 4.081633 0.086825 0.4693878
56    0.060          1 4.000000 0.045000 0.2400000
57    0.050          1 2.000000 0.025000 0.1000000
58    0.060          1 4.081633 0.045300 0.2448980
59    0.050          1 4.081633 0.037750 0.2040816
60    0.055          1 2.000000 0.027500 0.1100000
61    0.050          1 3.846154 0.037000 0.1923077
62    0.155          1 4.000000 0.116250 0.6200000
63    0.080          1 2.000000 0.040000 0.1600000
64    0.080          1 4.000000 0.060000 0.3200000
65    0.090          1 2.000000 0.045000 0.1800000
66    0.130          1 3.921569 0.096850 0.5098039
67    0.050          1 2.000000 0.025000 0.1000000
68    0.080          1 2.000000 0.040000 0.1600000
69    0.050          1 2.000000 0.025000 0.1000000
70    0.060          1 2.000000 0.030000 0.1200000
71    0.215          1 3.921569 0.160175 0.8431373
72    0.195          1 3.921569 0.145275 0.7647059
73    0.135          1 4.000000 0.101250 0.5400000
74    0.110          1 3.773585 0.080850 0.4150943
75    0.095          1 4.000000 0.071250 0.3800000
76    0.210          1 3.921569 0.156450 0.8235294
77    0.175          1 3.921569 0.130375 0.6862745
78    0.175          1 3.773585 0.128625 0.6603774
79    0.095          1 3.921569 0.070775 0.3725490
80    0.120          1 3.773585 0.088200 0.4528302
81    0.095          1 3.921569 0.070775 0.3725490
82    0.115          1 3.773585 0.084525 0.4339623
83    0.095          1 3.921569 0.070775 0.3725490
84    0.135          1 4.081633 0.101925 0.5510204
85    0.130          1 4.166667 0.098800 0.5416667
86    0.135          1 4.000000 0.101250 0.5400000
87    0.065          1 4.166667 0.049400 0.2708333
88    0.065          1 4.166667 0.049400 0.2708333
89    0.070          1 4.081633 0.052850 0.2857143
90    0.160          1 4.081633 0.120800 0.6530612
91    0.160          1 4.166667 0.121600 0.6666667
92    0.170          1 4.000000 0.127500 0.6800000
93    0.170          1 4.081633 0.128350 0.6938776
94    0.100          1 4.081633 0.075500 0.4081633
95    0.070          1 4.081633 0.052850 0.2857143
96    0.160          1 4.000000 0.120000 0.6400000
97    0.160          1 4.166667 0.121600 0.6666667
98    0.095          1 4.166667 0.072200 0.3958333
99    0.065          1 4.166667 0.049400 0.2708333
100   0.100          1 4.000000 0.075000 0.4000000
101   0.070          1 4.000000 0.052500 0.2800000
102   0.050          1 4.000000 0.037500 0.2000000
103   0.050          1 2.000000 0.025000 0.1000000
104   0.050          1 4.166667 0.038000 0.2083333
105   0.060          1 2.000000 0.030000 0.1200000
106   0.060          1 4.166667 0.045600 0.2500000
107   0.055          1 2.000000 0.027500 0.1100000
108   0.155          1 4.081633 0.117025 0.6326531
