     support confidence     lift leverage    jaccard
1      0.215  0.8958333 3.656463 0.156200 0.79629630
2      0.215  0.8775510 3.656463 0.156200 0.79629630
3      0.215  0.8958333 3.583333 0.155000 0.78181818
4      0.215  0.8600000 3.583333 0.155000 0.78181818
5      0.220  0.9166667 3.666667 0.160000 0.81481481
6      0.220  0.8800000 3.666667 0.160000 0.81481481
7      0.190  0.7916667 3.231293 0.131200 0.64406780
8      0.190  0.7755102 3.231293 0.131200 0.64406780
9      0.190  0.7916667 3.166667 0.130000 0.63333333
10     0.190  0.7600000 3.166667 0.130000 0.63333333
11     0.190  0.7755102 3.102041 0.128750 0.62295082
12     0.190  0.7600000 3.102041 0.128750 0.62295082
13     0.200  0.8163265 3.265306 0.138750 0.67796610
14     0.200  0.8000000 3.265306 0.138750 0.67796610
15     0.245  1.0000000 4.000000 0.183750 0.98000000
16     0.245  0.9800000 4.000000 0.183750 0.98000000
17     0.225  0.9183673 3.673469 0.163750 0.83333333
18     0.225  0.9000000 3.673469 0.163750 0.83333333
19     0.190  0.7755102 3.102041 0.128750 0.62295082
20     0.190  0.7600000 3.102041 0.128750 0.62295082
21     0.185  0.7551020 3.020408 0.123750 0.59677419
22     0.205  0.8200000 3.280000 0.142500 0.69491525
23     0.205  0.8200000 3.280000 0.142500 0.69491525
24     0.190  0.7600000 2.980392 0.126250 0.60317460
25     0.240  0.9600000 3.764706 0.176250 0.90566038
26     0.240  0.9411765 3.764706 0.176250 0.90566038
27     0.190  0.7600000 2.980392 0.126250 0.60317460
28     0.215  0.8600000 3.372549 0.151250 0.74137931
29     0.215  0.8431373 3.372549 0.151250 0.74137931
30     0.240  0.9600000 3.764706 0.176250 0.90566038
31     0.240  0.9411765 3.764706 0.176250 0.90566038
32     0.235  0.9400000 3.686275 0.171250 0.87037037
33     0.235  0.9215686 3.686275 0.171250 0.87037037
34     0.195  0.7800000 3.000000 0.130000 0.61904762
35     0.195  0.7500000 3.000000 0.130000 0.61904762
36     0.205  0.8200000 3.094340 0.138750 0.66129032
37     0.205  0.7735849 3.094340 0.138750 0.66129032
38     0.210  0.8235294 3.229527 0.144975 0.70000000
39     0.210  0.8235294 3.229527 0.144975 0.70000000
40     0.230  0.9019608 3.537101 0.164975 0.82142857
