    support confidence     lift leverage   jaccard
1     0.245  1.0000000 3.571429 0.176400 0.8750000
2     0.235  0.9591837 2.821128 0.151700 0.6714286
3     0.250  0.9615385 3.434066 0.177200 0.8620690
4     0.250  0.9615385 3.373819 0.175900 0.8474576
5     0.250  0.9433962 2.774695 0.159900 0.7042254
6     0.255  0.9107143 2.678571 0.159800 0.6986301
7     0.300  0.9375000 1.689189 0.122400 0.5217391
8     0.470  0.9215686 1.738809 0.199700 0.8245614
9     0.475  0.9313725 1.757307 0.204700 0.8407080
10    0.470  0.9215686 1.660484 0.186950 0.7899160
11    0.520  0.9811321 1.767806 0.225850 0.9203540
12    0.520  0.9369369 1.767806 0.225850 0.9203540
13    0.220  1.0000000 3.571429 0.158400 0.7857143
14    0.210  0.9545455 3.349282 0.147300 0.7118644
15    0.210  0.9767442 3.756708 0.154100 0.7924528
16    0.210  0.9545455 2.807487 0.135200 0.6000000
17    0.210  0.9333333 3.809524 0.154875 0.8076923
18    0.215  1.0000000 3.571429 0.154800 0.7678571
19    0.235  0.9591837 2.821128 0.151700 0.6714286
20    0.235  1.0000000 3.571429 0.169200 0.8392857
21    0.235  0.9215686 3.761505 0.172525 0.8867925
22    0.205  0.9534884 2.804378 0.131900 0.5857143
23    0.205  0.9318182 3.803340 0.151100 0.7884615
24    0.240  0.9600000 3.368421 0.168750 0.8135593
25    0.240  0.9600000 3.428571 0.170000 0.8275862
26    0.240  0.9795918 3.767661 0.176300 0.9056604
27    0.225  0.9000000 2.647059 0.140000 0.6164384
28    0.225  1.0000000 3.571429 0.162000 0.8035714
29    0.215  0.9555556 3.352827 0.150875 0.7288136
30    0.215  0.9772727 3.758741 0.157800 0.8113208
31    0.220  1.0000000 3.571429 0.158400 0.7857143
32    0.225  0.9183673 1.800720 0.100050 0.4245283
33    0.255  1.0000000 1.886792 0.119850 0.4811321
34    0.255  1.0000000 1.801802 0.113475 0.4594595
35    0.235  0.9215686 1.588911 0.087100 0.3916667
36    0.245  1.0000000 1.886792 0.115150 0.4622642
37    0.245  1.0000000 1.801802 0.109025 0.4414414
38    0.235  0.9591837 1.653765 0.092900 0.3983051
39    0.285  1.0000000 1.801802 0.126825 0.5135135
40    0.285  0.9500000 1.792453 0.126000 0.5229358
41    0.260  0.9122807 1.572898 0.094700 0.4297521
42    0.260  0.9122807 1.721284 0.108950 0.4684685
43    0.275  0.9166667 1.580460 0.101000 0.4545455
44    0.275  0.9649123 1.738581 0.116825 0.4867257
45    0.240  0.9600000 1.811321 0.107500 0.4444444
46    0.235  0.9400000 1.773585 0.102500 0.4311927
47    0.245  0.9800000 1.765766 0.106250 0.4375000
48    0.255  0.9807692 1.850508 0.117200 0.4766355
49    0.255  0.9107143 1.785714 0.112200 0.4766355
50    0.250  0.9615385 1.732502 0.105700 0.4424779
51    0.240  0.9230769 1.591512 0.089200 0.4000000
52    0.240  0.9230769 1.741655 0.102200 0.4363636
53    0.235  0.9038462 1.628552 0.090700 0.4051724
54    0.240  0.9230769 1.591512 0.089200 0.4000000
55    0.275  0.9821429 1.769627 0.119600 0.4910714
56    0.275  0.9821429 1.853100 0.126600 0.5140187
57    0.260  0.9285714 1.600985 0.097600 0.4333333
58    0.260  0.9285714 1.752022 0.111600 0.4727273
59    0.260  0.9285714 1.600985 0.097600 0.4333333
60    0.260  0.9285714 1.673102 0.104600 0.4521739
61    0.440  0.9361702 1.766359 0.190900 0.7857143
62    0.440  0.9263158 1.747766 0.188250 0.7787611
63    0.440  0.9263158 1.816305 0.197750 0.8073394
64    0.435  0.9255319 1.667625 0.174150 0.7372881
65    0.435  0.9255319 1.746287 0.185900 0.7699115
66    0.435  0.9255319 1.814768 0.195300 0.7981651
67    0.405  0.9529412 1.798002 0.179750 0.7363636
68    0.405  0.9642857 1.890756 0.190800 0.7714286
69    0.465  0.9789474 1.763869 0.201375 0.8230088
70    0.465  0.9893617 1.866720 0.215900 0.8691589
71    0.390  0.9176471 1.731410 0.164750 0.6902655
72    0.390  0.9285714 1.820728 0.175800 0.7222222
73    0.390  0.9176471 1.653418 0.154125 0.6610169
