     support confidence      lift      leverage    jaccard
1      0.500  0.5000000 1.0000000  0.000000e+00 0.50000000
2      0.500  0.5000000 1.0000000  0.000000e+00 0.50000000
3      0.510  0.5100000 1.0000000  0.000000e+00 0.51000000
4      0.530  0.5300000 1.0000000  0.000000e+00 0.53000000
5      0.530  0.5300000 1.0000000  0.000000e+00 0.53000000
6      0.555  0.5550000 1.0000000  0.000000e+00 0.55500000
7      0.580  0.5800000 1.0000000 -1.110223e-16 0.58000000
8      0.135  0.8709677 3.5549704  9.702500e-02 0.50943396
9      0.135  0.5510204 3.5549704  9.702500e-02 0.50943396
10     0.135  0.8709677 3.3498759  9.470000e-02 0.48214286
11     0.135  0.5192308 3.3498759  9.470000e-02 0.48214286
12     0.135  0.8709677 3.1105991  9.160000e-02 0.45000000
13     0.140  0.9032258 3.1692134  9.582500e-02 0.46666667
14     0.135  0.8709677 2.5616698  8.230000e-02 0.37500000
15     0.125  0.8064516 1.6129032  4.750000e-02 0.23584906
16     0.170  0.9189189 4.8364154  1.348500e-01 0.82926829
17     0.170  0.8947368 4.8364154  1.348500e-01 0.82926829
18     0.170  0.9189189 4.5945946  1.330000e-01 0.79069767
19     0.170  0.8500000 4.5945946  1.330000e-01 0.79069767
20     0.180  0.9729730 4.2303173  1.374500e-01 0.76595745
21     0.180  0.7826087 4.2303173  1.374500e-01 0.76595745
22     0.170  0.9189189 3.4676186  1.209750e-01 0.60714286
23     0.170  0.6415094 3.4676186  1.209750e-01 0.60714286
24     0.175  0.9459459 2.7821940  1.121000e-01 0.50000000
25     0.175  0.5147059 2.7821940  1.121000e-01 0.50000000
26     0.105  0.5675676 1.1351351  1.250000e-02 0.18103448
27     0.190  1.0000000 5.0000000  1.520000e-01 0.95000000
28     0.190  0.9500000 5.0000000  1.520000e-01 0.95000000
29     0.185  0.9736842 4.2334096  1.413000e-01 0.78723404
30     0.185  0.8043478 4.2334096  1.413000e-01 0.78723404
31     0.175  0.9210526 3.4756703  1.246500e-01 0.62500000
32     0.175  0.6603774 3.4756703  1.246500e-01 0.62500000
33     0.180  0.9473684 2.7863777  1.154000e-01 0.51428571
34     0.180  0.5294118 2.7863777  1.154000e-01 0.51428571
35     0.110  0.5789474 1.1578947  1.500000e-02 0.18965517
36     0.185  0.9250000 4.0217391  1.390000e-01 0.75510204
37     0.185  0.8043478 4.0217391  1.390000e-01 0.75510204
38     0.180  0.9000000 3.3962264  1.270000e-01 0.63157895
39     0.180  0.6792453 3.3962264  1.270000e-01 0.63157895
40     0.190  0.9500000 2.7941176  1.220000e-01 0.54285714
41     0.190  0.5588235 2.7941176  1.220000e-01 0.54285714
42     0.115  0.5750000 1.1500000  1.500000e-02 0.19658120
43     0.200  0.8695652 3.2813782  1.390500e-01 0.67796610
44     0.200  0.7547170 3.2813782  1.390500e-01 0.67796610
45     0.200  0.8695652 2.5575448  1.218000e-01 0.54054054
46     0.200  0.5882353 2.5575448  1.218000e-01 0.54054054
47     0.125  0.5434783 1.0869565  1.000000e-02 0.20661157
48     0.220  0.8979592 3.4536892  1.563000e-01 0.77192982
49     0.220  0.8461538 3.4536892  1.563000e-01 0.77192982
50     0.245  1.0000000 3.5714286  1.764000e-01 0.87500000
51     0.245  0.8750000 3.5714286  1.764000e-01 0.87500000
52     0.215  0.8775510 3.0791264  1.451750e-01 0.68253968
53     0.215  0.7543860 3.0791264  1.451750e-01 0.68253968
54     0.235  0.9591837 2.8211285  1.517000e-01 0.67142857
55     0.235  0.6911765 2.8211285  1.517000e-01 0.67142857
56     0.140  0.5714286 1.1428571  1.750000e-02 0.23140496
57     0.250  0.9615385 3.4340659  1.772000e-01 0.86206897
58     0.250  0.8928571 3.4340659  1.772000e-01 0.86206897
59     0.250  0.9615385 3.3738192  1.759000e-01 0.84745763
60     0.250  0.8771930 3.3738192  1.759000e-01 0.84745763
61     0.225  0.8653846 2.5452489  1.366000e-01 0.60000000
62     0.225  0.6617647 2.5452489  1.366000e-01 0.60000000
63     0.145  0.5576923 1.1153846  1.500000e-02 0.23577236
64     0.250  0.9433962 2.7746948  1.599000e-01 0.70422535
65     0.250  0.7352941 2.7746948  1.599000e-01 0.70422535
66     0.170  0.6415094 1.2830189  3.750000e-02 0.28571429
67     0.245  0.8750000 3.0701754  1.652000e-01 0.76562500
68     0.245  0.8596491 3.0701754  1.652000e-01 0.76562500
69     0.255  0.9107143 2.6785714  1.598000e-01 0.69863014
70     0.255  0.7500000 2.6785714  1.598000e-01 0.69863014
71     0.170  0.6071429 1.2142857  3.000000e-02 0.27868852
72     0.145  0.5178571 0.8928571 -1.740000e-02 0.20279720
73     0.220  0.7719298 2.2703818  1.231000e-01 0.54320988
74     0.220  0.6470588 2.2703818  1.231000e-01 0.54320988
75     0.150  0.5263158 1.0526316  7.500000e-03 0.23622047
76     0.145  0.5087719 0.8771930 -2.030000e-02 0.20138889
77     0.160  0.5000000 1.0000000  0.000000e+00 0.24242424
78     0.160  0.5000000 1.0000000  0.000000e+00 0.24242424
79     0.255  0.7968750 1.5625000  9.180000e-02 0.44347826
80     0.255  0.5000000 1.5625000  9.180000e-02 0.44347826
81     0.245  0.7656250 1.4445755  7.540000e-02 0.40495868
82     0.285  0.8906250 1.6804245  1.154000e-01 0.50442478
83     0.285  0.5377358 1.6804245  1.154000e-01 0.50442478
84     0.300  0.9375000 1.6891892  1.224000e-01 0.52173913
85     0.300  0.5405405 1.6891892  1.224000e-01 0.52173913
86     0.285  0.8906250 1.5355603  9.940000e-02 0.46341463
87     0.170  0.5000000 1.0000000 -2.775558e-17 0.25373134
88     0.170  0.5000000 1.0000000 -2.775558e-17 0.25373134
89     0.170  0.5000000 1.0000000 -2.775558e-17 0.25373134
90     0.170  0.5000000 1.0000000 -2.775558e-17 0.25373134
91     0.205  0.6029412 1.0395538  7.800000e-03 0.28671329
92     0.250  0.5000000 0.9803922 -5.000000e-03 0.32894737
93     0.270  0.5400000 1.0188679  5.000000e-03 0.35526316
94     0.270  0.5094340 1.0188679  5.000000e-03 0.35526316
95     0.250  0.5000000 0.9433962 -1.500000e-02 0.32051282
96     0.275  0.5500000 0.9909910 -2.500000e-03 0.35256410
97     0.300  0.6000000 1.0344828  1.000000e-02 0.38461538
98     0.300  0.5172414 1.0344828  1.000000e-02 0.38461538
99     0.260  0.5200000 1.0196078  5.000000e-03 0.34666667
100    0.260  0.5098039 1.0196078  5.000000e-03 0.34666667
101    0.260  0.5200000 0.9811321 -5.000000e-03 0.33766234
102    0.280  0.5600000 1.0566038  1.500000e-02 0.37333333
103    0.280  0.5283019 1.0566038  1.500000e-02 0.37333333
104    0.280  0.5600000 1.0090090  2.500000e-03 0.36129032
105    0.280  0.5045045 1.0090090  2.500000e-03 0.36129032
106    0.280  0.5600000 0.9655172 -1.000000e-02 0.35000000
107    0.470  0.9215686 1.7388087  1.997000e-01 0.82456140
108    0.470  0.8867925 1.7388087  1.997000e-01 0.82456140
109    0.475  0.9313725 1.7573067  2.047000e-01 0.84070796
110    0.475  0.8962264 1.7573067  2.047000e-01 0.84070796
111    0.470  0.9215686 1.6604840  1.869500e-01 0.78991597
112    0.470  0.8468468 1.6604840  1.869500e-01 0.78991597
113    0.425  0.8333333 1.4367816  1.292000e-01 0.63909774
114    0.425  0.7327586 1.4367816  1.292000e-01 0.63909774
115    0.475  0.8962264 1.6909932  1.941000e-01 0.81196581
116    0.475  0.8962264 1.6909932  1.941000e-01 0.81196581
117    0.470  0.8867925 1.5978242  1.758500e-01 0.76422764
118    0.470  0.8468468 1.5978242  1.758500e-01 0.76422764
119    0.420  0.7924528 1.3662980  1.126000e-01 0.60869565
120    0.420  0.7241379 1.3662980  1.126000e-01 0.60869565
121    0.520  0.9811321 1.7678055  2.258500e-01 0.92035398
122    0.520  0.9369369 1.7678055  2.258500e-01 0.92035398
123    0.420  0.7924528 1.3662980  1.126000e-01 0.60869565
124    0.420  0.7241379 1.3662980  1.126000e-01 0.60869565
125    0.450  0.8108108 1.3979497  1.281000e-01 0.65693431
126    0.450  0.7758621 1.3979497  1.281000e-01 0.65693431
127    0.135  1.0000000 3.8461538  9.990000e-02 0.51923077
128    0.135  1.0000000 4.0816327  1.019250e-01 0.55102041
129    0.135  0.6136364 3.9589443  1.009000e-01 0.56250000
130    0.135  1.0000000 3.5714286  9.720000e-02 0.48214286
131    0.135  1.0000000 4.0816327  1.019250e-01 0.55102041
132    0.135  0.5510204 3.5549704  9.702500e-02 0.50943396
133    0.125  0.9259259 3.2488629  8.652500e-02 0.42372881
134    0.125  0.8928571 3.6443149  9.070000e-02 0.48076923
135    0.125  0.5813953 3.7509377  9.167500e-02 0.51020408
136    0.130  0.9629630 2.8322440  8.410000e-02 0.37681159
137    0.130  0.9629630 3.9304611  9.692500e-02 0.52000000
138    0.130  0.5531915 3.5689774  9.357500e-02 0.50000000
139    0.105  0.7777778 1.5555556  3.750000e-02 0.19811321
140    0.105  0.8400000 3.4285714  7.437500e-02 0.39622642
141    0.105  1.0000000 6.4516129  8.872500e-02 0.67741935
