=======================================
Rules with supp=20 and conf=50
=======================================
"rules","support","confidence","lift","count"
"{} => {sex=[0.75,1.00]}",0.5,0.5,1,100
"{} => {sex=[0.00,0.25)}",0.5,0.5,1,100
"{index=[25.5,37.8)} => {CL=[31.2,39.4)}",0.2,0.833333333333333,2.10970464135021,40
"{CL=[31.2,39.4)} => {index=[25.5,37.8)}",0.2,0.506329113924051,2.10970464135021,40
"{index=[25.5,37.8)} => {CW=[35.9,45.2)}",0.21,0.875,2.16049382716049,42
"{CW=[35.9,45.2)} => {index=[25.5,37.8)}",0.21,0.518518518518518,2.16049382716049,42
"{CL=[22.9,31.2)} => {CW=[26.5,35.9)}",0.31,0.984126984126984,2.81179138321995,62
"{CW=[26.5,35.9)} => {CL=[22.9,31.2)}",0.31,0.885714285714286,2.81179138321995,62
"{CL=[22.9,31.2)} => {FL=[11.2,15.2)}",0.29,0.920634920634921,2.59333780460541,58
"{FL=[11.2,15.2)} => {CL=[22.9,31.2)}",0.29,0.816901408450704,2.59333780460541,58
"{CL=[22.9,31.2)} => {BD=[ 9.97,13.85)}",0.285,0.904761904761905,2.47879973907371,57
"{BD=[ 9.97,13.85)} => {CL=[22.9,31.2)}",0.285,0.780821917808219,2.47879973907371,57
"{CL=[22.9,31.2)} => {RW=[ 9.93,13.35)}",0.275,0.873015873015873,2.05415499533147,55
"{RW=[ 9.93,13.35)} => {CL=[22.9,31.2)}",0.275,0.647058823529412,2.05415499533147,55
"{BD=[13.85,17.73)} => {FL=[15.2,19.1)}",0.305,0.884057971014493,2.42207663291642,61
"{FL=[15.2,19.1)} => {BD=[13.85,17.73)}",0.305,0.835616438356164,2.42207663291642,61
"{BD=[13.85,17.73)} => {RW=[13.35,16.77)}",0.225,0.652173913043478,1.73913043478261,45
"{RW=[13.35,16.77)} => {BD=[13.85,17.73)}",0.225,0.6,1.73913043478261,45
"{BD=[13.85,17.73)} => {CL=[31.2,39.4)}",0.31,0.898550724637681,2.27481196110805,62
"{CL=[31.2,39.4)} => {BD=[13.85,17.73)}",0.31,0.784810126582278,2.27481196110805,62
