   support confidence     lift leverage   jaccard
1    0.310  0.9841270 2.811791 0.199750 0.8732394
2    0.290  0.9206349 2.593338 0.178175 0.7631579
3    0.285  0.9047619 2.478800 0.170025 0.7215190
4    0.340  0.9315068 2.358245 0.195825 0.8095238
5    0.360  0.9113924 2.250352 0.200025 0.8181818
6    0.200  1.0000000 2.469136 0.119000 0.4938272
7    0.200  0.9523810 2.411091 0.117050 0.4938272
8    0.285  0.9193548 2.589732 0.174950 0.7500000
9    0.285  0.9827586 2.807882 0.183500 0.8028169
10   0.285  0.9661017 3.066990 0.192075 0.8769231
11   0.280  0.9032258 2.474591 0.166850 0.7088608
12   0.280  0.9824561 2.807018 0.180250 0.7887324
13   0.280  0.9491525 3.013183 0.187075 0.8484848
14   0.275  1.0000000 2.857143 0.178750 0.7857143
15   0.275  0.9166667 2.910053 0.180500 0.8088235
16   0.270  0.9310345 2.550779 0.164150 0.7012987
17   0.270  0.9473684 2.668643 0.168825 0.7297297
18   0.270  0.9310345 2.190669 0.146750 0.6067416
19   0.270  0.9818182 2.765685 0.172375 0.7500000
20   0.260  0.9122807 2.146543 0.138875 0.5777778
21   0.260  0.9454545 2.590286 0.159625 0.6842105
22   0.300  0.9836066 2.490143 0.179525 0.7500000
23   0.300  0.9677419 2.651348 0.186850 0.8000000
24   0.285  0.9344262 2.307225 0.161475 0.6705882
25   0.285  0.9344262 2.560072 0.173675 0.7402597
26   0.285  0.9047619 2.622498 0.176325 0.7600000
27   0.205  0.9111111 2.306610 0.116125 0.4939759
28   0.215  0.9555556 2.359396 0.123875 0.5180723
29   0.290  0.9354839 2.309837 0.164450 0.6823529
30   0.290  0.9508197 2.407138 0.169525 0.7073171
31   0.270  0.9152542 2.507546 0.162325 0.6923077
32   0.270  0.9152542 2.578181 0.165275 0.7105263
33   0.280  0.9491525 2.233300 0.154625 0.6363636
34   0.280  0.9333333 2.629108 0.173500 0.7466667
35   0.280  0.9180328 2.622951 0.173250 0.7466667
36   0.285  0.9047619 2.128852 0.151125 0.6263736
37   0.285  0.9344262 2.560072 0.173675 0.7402597
38   0.285  0.9344262 2.632187 0.176725 0.7600000
39   0.220  0.9166667 2.320675 0.125200 0.5301205
40   0.310  0.9117647 2.251271 0.172300 0.7126437
41   0.310  0.9841270 2.491461 0.185575 0.7750000
42   0.230  0.9387755 2.317964 0.130775 0.5476190
43   0.265  0.9298246 2.547465 0.160975 0.6883117
44   0.265  0.9464286 2.665996 0.165600 0.7162162
45   0.265  0.9814815 2.804233 0.170500 0.7464789
46   0.265  0.9814815 3.115814 0.179950 0.8281250
47   0.270  0.9473684 2.229102 0.148875 0.6136364
48   0.270  0.9818182 2.765685 0.172375 0.7500000
49   0.270  1.0000000 2.857143 0.175500 0.7714286
50   0.270  0.9642857 3.061224 0.181800 0.8307692
51   0.260  0.9285714 2.184874 0.141000 0.5842697
52   0.260  0.9454545 2.590286 0.159625 0.6842105
53   0.260  1.0000000 2.857143 0.169000 0.7428571
54   0.260  0.9811321 3.114705 0.176525 0.8125000
55   0.255  0.9444444 2.222222 0.140250 0.5795455
56   0.255  0.9444444 2.587519 0.156450 0.6710526
57   0.255  0.9807692 2.762730 0.162700 0.7083333
58   0.280  0.9333333 2.304527 0.158500 0.6588235
59   0.280  0.9824561 2.487231 0.167425 0.7000000
60   0.280  0.9655172 2.645253 0.174150 0.7466667
61   0.280  0.9032258 2.618046 0.173050 0.7466667
62   0.200  0.9756098 2.408913 0.116975 0.4878049
63   0.200  0.9302326 2.355019 0.115075 0.4878049
64   0.260  0.9629630 2.265795 0.145250 0.5977011
65   0.260  0.9285714 2.544031 0.157800 0.6753247
66   0.260  0.9811321 2.763752 0.165925 0.7222222
67   0.260  0.9122807 2.606516 0.160250 0.6933333
68   0.205  0.9318182 2.300786 0.115900 0.4880952
69   0.205  0.9761905 2.471368 0.122050 0.5125000
70   0.255  0.9622642 2.264151 0.142375 0.5862069
71   0.255  0.9444444 2.587519 0.156450 0.6710526
72   0.255  0.9807692 2.762730 0.162700 0.7083333
73   0.255  1.0000000 2.857143 0.165750 0.7285714
74   0.255  0.9807692 3.113553 0.173100 0.7968750
