     support confidence      lift      leverage    jaccard
1      0.500  0.5000000  1.000000  0.000000e+00 0.50000000
2      0.500  0.5000000  1.000000  0.000000e+00 0.50000000
3      0.050  0.8333333  6.410256  4.220000e-02 0.35714286
4      0.055  0.9166667  5.555556  4.510000e-02 0.32352941
5      0.055  0.9166667  5.392157  4.480000e-02 0.31428571
6      0.055  0.9166667  5.238095  4.450000e-02 0.30555556
7      0.060  1.0000000  3.846154  4.440000e-02 0.23076923
8      0.055  0.9166667  1.833333  2.500000e-02 0.10891089
9      0.100  0.9090909  7.905138  8.735000e-02 0.80000000
10     0.100  0.8695652  7.905138  8.735000e-02 0.80000000
11     0.100  0.9090909  7.905138  8.735000e-02 0.80000000
12     0.100  0.8695652  7.905138  8.735000e-02 0.80000000
13     0.110  1.0000000  8.000000  9.625000e-02 0.88000000
14     0.110  0.8800000  8.000000  9.625000e-02 0.88000000
15     0.110  1.0000000  7.142857  9.460000e-02 0.78571429
16     0.110  0.7857143  7.142857  9.460000e-02 0.78571429
17     0.110  1.0000000  3.846154  8.140000e-02 0.42307692
18     0.060  0.5454545  1.090909  5.000000e-03 0.10909091
19     0.110  0.9565217  8.317580  9.677500e-02 0.91666667
20     0.110  0.9565217  8.317580  9.677500e-02 0.91666667
21     0.110  0.9565217  7.652174  9.562500e-02 0.84615385
22     0.110  0.8800000  7.652174  9.562500e-02 0.84615385
23     0.110  0.9565217  6.832298  9.390000e-02 0.75862069
24     0.110  0.7857143  6.832298  9.390000e-02 0.75862069
25     0.115  1.0000000  3.846154  8.510000e-02 0.44230769
26     0.070  0.6086957  1.217391  1.250000e-02 0.12844037
27     0.105  0.9130435  7.304348  9.062500e-02 0.77777778
28     0.105  0.8400000  7.304348  9.062500e-02 0.77777778
29     0.115  1.0000000  7.142857  9.890000e-02 0.82142857
30     0.115  0.8214286  7.142857  9.890000e-02 0.82142857
31     0.115  1.0000000  3.846154  8.510000e-02 0.44230769
32     0.065  0.5652174  1.130435  7.500000e-03 0.11818182
33     0.120  0.9600000  6.857143  1.025000e-01 0.82758621
34     0.120  0.8571429  6.857143  1.025000e-01 0.82758621
35     0.125  1.0000000  3.846154  9.250000e-02 0.48076923
36     0.070  0.5600000  1.120000  7.500000e-03 0.12612613
37     0.125  0.9615385  5.827506  1.035500e-01 0.73529412
38     0.125  0.7575758  5.827506  1.035500e-01 0.73529412
39     0.125  0.9615385  5.656109  1.029000e-01 0.71428571
40     0.125  0.7352941  5.656109  1.029000e-01 0.71428571
41     0.130  1.0000000  5.714286  1.072500e-01 0.74285714
42     0.130  0.7428571  5.714286  1.072500e-01 0.74285714
43     0.130  1.0000000  3.846154  9.620000e-02 0.50000000
44     0.130  0.5000000  3.846154  9.620000e-02 0.50000000
45     0.080  0.6153846  1.641026  3.125000e-02 0.18823529
46     0.080  0.6153846  1.230769  1.500000e-02 0.14545455
47     0.140  1.0000000  3.846154  1.036000e-01 0.53846154
48     0.140  0.5384615  3.846154  1.036000e-01 0.53846154
49     0.075  0.5357143  1.071429  5.000000e-03 0.13274336
50     0.155  0.9393939  5.525847  1.269500e-01 0.86111111
51     0.155  0.9117647  5.525847  1.269500e-01 0.86111111
52     0.155  0.9393939  5.367965  1.261250e-01 0.83783784
53     0.155  0.8857143  5.367965  1.261250e-01 0.83783784
54     0.155  0.9393939  3.613054  1.121000e-01 0.57407407
55     0.155  0.5961538  3.613054  1.121000e-01 0.57407407
56     0.110  0.6666667  1.777778  4.812500e-02 0.25581395
57     0.095  0.5757576  1.151515  1.250000e-02 0.16666667
58     0.165  0.9705882  5.546218  1.352500e-01 0.91666667
59     0.165  0.9428571  5.546218  1.352500e-01 0.91666667
60     0.160  0.9411765  3.619910  1.158000e-01 0.59259259
61     0.160  0.6153846  3.619910  1.158000e-01 0.59259259
62     0.115  0.6764706  1.803922  5.125000e-02 0.26744186
63     0.090  0.5294118  1.058824  5.000000e-03 0.15517241
