     support confidence      lift leverage    jaccard
1      0.050  0.8333333  6.410256 0.042200 0.35714286
2      0.055  0.9166667  5.555556 0.045100 0.32352941
3      0.055  0.9166667  5.392157 0.044800 0.31428571
4      0.055  0.9166667  5.238095 0.044500 0.30555556
5      0.060  1.0000000  3.846154 0.044400 0.23076923
6      0.055  0.9166667  1.833333 0.025000 0.10891089
7      0.100  0.9090909  7.905138 0.087350 0.80000000
8      0.100  0.8695652  7.905138 0.087350 0.80000000
9      0.100  0.9090909  7.905138 0.087350 0.80000000
10     0.100  0.8695652  7.905138 0.087350 0.80000000
11     0.110  1.0000000  8.000000 0.096250 0.88000000
12     0.110  0.8800000  8.000000 0.096250 0.88000000
13     0.110  1.0000000  7.142857 0.094600 0.78571429
14     0.110  0.7857143  7.142857 0.094600 0.78571429
15     0.110  1.0000000  3.846154 0.081400 0.42307692
16     0.110  0.9565217  8.317580 0.096775 0.91666667
17     0.110  0.9565217  8.317580 0.096775 0.91666667
18     0.110  0.9565217  7.652174 0.095625 0.84615385
19     0.110  0.8800000  7.652174 0.095625 0.84615385
20     0.110  0.9565217  6.832298 0.093900 0.75862069
21     0.110  0.7857143  6.832298 0.093900 0.75862069
22     0.115  1.0000000  3.846154 0.085100 0.44230769
23     0.105  0.9130435  7.304348 0.090625 0.77777778
24     0.105  0.8400000  7.304348 0.090625 0.77777778
25     0.115  1.0000000  7.142857 0.098900 0.82142857
26     0.115  0.8214286  7.142857 0.098900 0.82142857
27     0.115  1.0000000  3.846154 0.085100 0.44230769
28     0.120  0.9600000  6.857143 0.102500 0.82758621
29     0.120  0.8571429  6.857143 0.102500 0.82758621
30     0.125  1.0000000  3.846154 0.092500 0.48076923
31     0.125  0.9615385  5.827506 0.103550 0.73529412
32     0.125  0.7575758  5.827506 0.103550 0.73529412
33     0.125  0.9615385  5.656109 0.102900 0.71428571
34     0.125  0.7352941  5.656109 0.102900 0.71428571
35     0.130  1.0000000  5.714286 0.107250 0.74285714
36     0.130  0.7428571  5.714286 0.107250 0.74285714
37     0.130  1.0000000  3.846154 0.096200 0.50000000
38     0.140  1.0000000  3.846154 0.103600 0.53846154
39     0.155  0.9393939  5.525847 0.126950 0.86111111
40     0.155  0.9117647  5.525847 0.126950 0.86111111
41     0.155  0.9393939  5.367965 0.126125 0.83783784
42     0.155  0.8857143  5.367965 0.126125 0.83783784
43     0.155  0.9393939  3.613054 0.112100 0.57407407
44     0.110  0.6666667  1.777778 0.048125 0.25581395
45     0.165  0.9705882  5.546218 0.135250 0.91666667
46     0.165  0.9428571  5.546218 0.135250 0.91666667
47     0.160  0.9411765  3.619910 0.115800 0.59259259
48     0.115  0.6764706  1.803922 0.051250 0.26744186
49     0.165  0.9428571  3.626374 0.119500 0.61111111
50     0.120  0.6857143  1.828571 0.054375 0.27906977
51     0.175  0.7291667  2.083333 0.091000 0.42168675
52     0.160  0.6666667  1.877934 0.074800 0.36781609
53     0.170  0.7083333  1.940639 0.082400 0.39080460
54     0.180  0.7500000  1.764706 0.078000 0.37113402
55     0.175  0.7291667  2.113527 0.092200 0.42682927
56     0.175  0.7291667  1.997717 0.087400 0.40697674
57     0.200  0.8333333  2.109705 0.105200 0.45977011
58     0.210  0.8750000  2.160494 0.112800 0.48275862
59     0.185  0.7115385  1.897436 0.087500 0.41111111
60     0.310  0.9841270  2.811791 0.199750 0.87323944
61     0.310  0.8857143  2.811791 0.199750 0.87323944
62     0.290  0.9206349  2.593338 0.178175 0.76315789
63     0.290  0.8169014  2.593338 0.178175 0.76315789
64     0.285  0.9047619  2.478800 0.170025 0.72151899
65     0.285  0.7808219  2.478800 0.170025 0.72151899
66     0.275  0.8730159  2.054155 0.141125 0.59139785
67     0.305  0.8840580  2.422077 0.179075 0.75308642
68     0.305  0.8356164  2.422077 0.179075 0.75308642
69     0.225  0.6521739  1.739130 0.095625 0.45454545
70     0.310  0.8985507  2.274812 0.173725 0.72093023
71     0.310  0.7848101  2.274812 0.173725 0.72093023
72     0.305  0.8840580  2.182859 0.165275 0.68539326
