    support confidence      lift leverage   jaccard
1     0.075          1 11.111111 0.068250 0.8333333
2     0.075          1  5.000000 0.060000 0.3750000
3     0.075          1 11.764706 0.068625 0.8823529
4     0.075          1  5.000000 0.060000 0.3750000
5     0.085          1  5.000000 0.068000 0.4250000
6     0.090          1  5.000000 0.072000 0.4500000
7     0.100          1  5.000000 0.080000 0.5000000
8     0.110          1  5.000000 0.088000 0.5500000
9     0.070          1 11.764706 0.064050 0.8235294
10    0.070          1 13.333333 0.064750 0.9333333
11    0.065          1 13.333333 0.060125 0.8666667
12    0.070          1 11.111111 0.063700 0.7777778
13    0.070          1 13.333333 0.064750 0.9333333
14    0.070          1  5.000000 0.056000 0.3500000
15    0.065          1 11.764706 0.059475 0.7647059
16    0.070          1 11.111111 0.063700 0.7777778
17    0.070          1 13.333333 0.064750 0.9333333
18    0.070          1  5.000000 0.056000 0.3500000
19    0.065          1 11.111111 0.059150 0.7222222
20    0.065          1 13.333333 0.060125 0.8666667
21    0.065          1  5.000000 0.052000 0.3250000
22    0.075          1  5.000000 0.060000 0.3750000
23    0.075          1 11.111111 0.068250 0.8333333
24    0.070          1 11.764706 0.064050 0.8235294
25    0.070          1 11.764706 0.064050 0.8235294
26    0.070          1 13.333333 0.064750 0.9333333
27    0.075          1  5.000000 0.060000 0.3750000
28    0.075          1 11.764706 0.068625 0.8823529
29    0.065          1 13.333333 0.060125 0.8666667
30    0.070          1  5.000000 0.056000 0.3500000
31    0.070          1  5.000000 0.056000 0.3500000
32    0.065          1 11.764706 0.059475 0.7647059
33    0.075          1  5.000000 0.060000 0.3750000
34    0.070          1  5.000000 0.056000 0.3500000
35    0.065          1  5.000000 0.052000 0.3250000
36    0.055          1  5.000000 0.044000 0.2750000
37    0.075          1  9.090909 0.066750 0.6818182
38    0.070          1 10.000000 0.063000 0.7000000
39    0.075          1  5.000000 0.060000 0.3750000
40    0.070          1  9.090909 0.062300 0.6363636
41    0.070          1 10.000000 0.063000 0.7000000
42    0.095          1  5.000000 0.076000 0.4750000
43    0.070          1  9.090909 0.062300 0.6363636
44    0.070          1  5.000000 0.056000 0.3500000
45    0.075          1  5.000000 0.060000 0.3750000
46    0.055          1 10.000000 0.049500 0.5500000
47    0.070          1  5.000000 0.056000 0.3500000
48    0.085          1 10.000000 0.076500 0.8500000
49    0.090          1  5.000000 0.072000 0.4500000
50    0.055          1  9.090909 0.048950 0.5000000
51    0.065          1  8.695652 0.057525 0.5652174
52    0.055          1  5.000000 0.044000 0.2750000
53    0.085          1  5.000000 0.068000 0.4250000
54    0.070          1  5.000000 0.056000 0.3500000
55    0.055          1  9.090909 0.048950 0.5000000
56    0.075          1  5.000000 0.060000 0.3750000
57    0.055          1  5.000000 0.044000 0.2750000
58    0.055          1  5.000000 0.044000 0.2750000
59    0.095          1  3.508772 0.067925 0.3333333
60    0.095          1  2.000000 0.047500 0.1900000
61    0.105          1  2.000000 0.052500 0.2100000
62    0.110          1  3.703704 0.080300 0.4074074
63    0.110          1  3.508772 0.078650 0.3859649
64    0.115          1  3.508772 0.082225 0.4035088
65    0.145          1  3.508772 0.103675 0.5087719
66    0.100          1  3.703704 0.073000 0.3703704
67    0.100          1  3.508772 0.071500 0.3508772
68    0.050          1  3.125000 0.034000 0.1562500
69    0.050          1  3.030303 0.033500 0.1515152
70    0.050          1  2.531646 0.030250 0.1265823
71    0.050          1  2.000000 0.025000 0.1000000
72    0.055          1  2.531646 0.033275 0.1392405
73    0.055          1  2.000000 0.027500 0.1100000
74    0.075          1  2.531646 0.045375 0.1898734
75    0.100          1  2.531646 0.060500 0.2531646
76    0.100          1  3.225806 0.069000 0.3225806
77    0.055          1  2.000000 0.027500 0.1100000
78    0.065          1  3.921569 0.048425 0.2549020
79    0.105          1  4.347826 0.080850 0.4565217
80    0.195          1  3.508772 0.139425 0.6842105
81    0.175          1  3.508772 0.125125 0.6140351
82    0.140          1  2.531646 0.084700 0.3544304
83    0.150          1  2.531646 0.090750 0.3797468
84    0.110          1  3.030303 0.073700 0.3333333
85    0.240          1  3.174603 0.164400 0.7619048
86    0.065          1 11.764706 0.059475 0.7647059
87    0.065          1 13.333333 0.060125 0.8666667
88    0.070          1 11.111111 0.063700 0.7777778
89    0.070          1 11.764706 0.064050 0.8235294
90    0.070          1 13.333333 0.064750 0.9333333
91    0.070          1 13.333333 0.064750 0.9333333
92    0.070          1  5.000000 0.056000 0.3500000
93    0.070          1 11.764706 0.064050 0.8235294
94    0.070          1 13.333333 0.064750 0.9333333
95    0.065          1 11.111111 0.059150 0.7222222
96    0.065          1 13.333333 0.060125 0.8666667
97    0.065          1 13.333333 0.060125 0.8666667
98    0.065          1  5.000000 0.052000 0.3250000
99    0.065          1 13.333333 0.060125 0.8666667
100   0.070          1  5.000000 0.056000 0.3500000
101   0.070          1 11.111111 0.063700 0.7777778
102   0.070          1 13.333333 0.064750 0.9333333
103   0.065          1 11.111111 0.059150 0.7222222
104   0.065          1 11.764706 0.059475 0.7647059
105   0.065          1 13.333333 0.060125 0.8666667
106   0.065          1  5.000000 0.052000 0.3250000
107   0.065          1 11.764706 0.059475 0.7647059
108   0.070          1  5.000000 0.056000 0.3500000
109   0.070          1 11.111111 0.063700 0.7777778
110   0.070          1 13.333333 0.064750 0.9333333
111   0.065          1  5.000000 0.052000 0.3250000
112   0.065          1 11.111111 0.059150 0.7222222
113   0.065          1 13.333333 0.060125 0.8666667
114   0.065          1 11.764706 0.059475 0.7647059
115   0.065          1 13.333333 0.060125 0.8666667
116   0.070          1  5.000000 0.056000 0.3500000
117   0.070          1 11.764706 0.064050 0.8235294
118   0.070          1  5.000000 0.056000 0.3500000
119   0.070          1 11.764706 0.064050 0.8235294
120   0.070          1 13.333333 0.064750 0.9333333
121   0.065          1  5.000000 0.052000 0.3250000
122   0.065          1 13.333333 0.060125 0.8666667
123   0.065          1  5.000000 0.052000 0.3250000
124   0.065          1 11.764706 0.059475 0.7647059
125   0.070          1  9.090909 0.062300 0.6363636
126   0.070          1 10.000000 0.063000 0.7000000
127   0.060          1  9.090909 0.053400 0.5454545
128   0.060          1 10.000000 0.054000 0.6000000
129   0.075          1  5.000000 0.060000 0.3750000
130   0.075          1  9.090909 0.066750 0.6818182
131   0.050          1  9.090909 0.044500 0.4545455
132   0.060          1  8.695652 0.053100 0.5217391
133   0.060          1 10.000000 0.054000 0.6000000
134   0.070          1  5.000000 0.056000 0.3500000
135   0.070          1 10.000000 0.063000 0.7000000
136   0.060          1  5.000000 0.048000 0.3000000
137   0.060          1 10.000000 0.054000 0.6000000
138   0.050          1  5.000000 0.040000 0.2500000
139   0.060          1  9.090909 0.053400 0.5454545
140   0.060          1 10.000000 0.054000 0.6000000
141   0.070          1  5.000000 0.056000 0.3500000
142   0.070          1  9.090909 0.062300 0.6363636
143   0.070          1  5.000000 0.056000 0.3500000
144   0.070          1 10.000000 0.063000 0.7000000
145   0.055          1  9.090909 0.048950 0.5000000
146   0.055          1 10.000000 0.049500 0.5500000
147   0.070          1  5.000000 0.056000 0.3500000
148   0.070          1  9.090909 0.062300 0.6363636
149   0.060          1  5.000000 0.048000 0.3000000
150   0.055          1  5.000000 0.044000 0.2750000
151   0.055          1 10.000000 0.049500 0.5500000
152   0.060          1  8.695652 0.053100 0.5217391
153   0.060          1 10.000000 0.054000 0.6000000
154   0.085          1  5.000000 0.068000 0.4250000
155   0.085          1 10.000000 0.076500 0.8500000
156   0.050          1  9.090909 0.044500 0.4545455
157   0.050          1 10.000000 0.045000 0.5000000
158   0.060          1  5.000000 0.048000 0.3000000
159   0.060          1  9.090909 0.053400 0.5454545
160   0.055          1  5.000000 0.044000 0.2750000
161   0.055          1  9.090909 0.048950 0.5000000
162   0.060          1  8.695652 0.053100 0.5217391
163   0.050          1  5.000000 0.040000 0.2500000
164   0.060          1  5.000000 0.048000 0.3000000
165   0.050          1  5.000000 0.040000 0.2500000
166   0.055          1  5.000000 0.044000 0.2750000
167   0.055          1  9.090909 0.048950 0.5000000
168   0.075          1  3.508772 0.053625 0.2631579
169   0.075          1  2.000000 0.037500 0.1500000
170   0.085          1  2.000000 0.042500 0.1700000
171   0.085          1  3.508772 0.060775 0.2982456
172   0.060          1  3.508772 0.042900 0.2105263
173   0.060          1  2.000000 0.030000 0.1200000
174   0.070          1  2.000000 0.035000 0.1400000
175   0.070          1  3.508772 0.050050 0.2456140
176   0.095          1  2.000000 0.047500 0.1900000
177   0.095          1  3.508772 0.067925 0.3333333
178   0.050          1  3.508772 0.035750 0.1754386
179   0.095          1  3.703704 0.069350 0.3518519
180   0.095          1  3.508772 0.067925 0.3333333
181   0.110          1  3.508772 0.078650 0.3859649
182   0.110          1  3.703704 0.080300 0.4074074
183   0.075          1  3.703704 0.054750 0.2777778
184   0.075          1  3.703704 0.054750 0.2777778
185   0.075          1  3.508772 0.053625 0.2631579
186   0.075          1  3.508772 0.053625 0.2631579
187   0.075          1  2.000000 0.037500 0.1500000
188   0.075          1  2.531646 0.045375 0.1898734
189   0.110          1  3.508772 0.078650 0.3859649
190   0.075          1  3.703704 0.054750 0.2777778
191   0.080          1  3.508772 0.057200 0.2807018
192   0.075          1  3.508772 0.053625 0.2631579
193   0.075          1  2.531646 0.045375 0.1898734
194   0.100          1  3.508772 0.071500 0.3508772
195   0.100          1  3.508772 0.071500 0.3508772
196   0.100          1  3.703704 0.073000 0.3703704
197   0.100          1  2.000000 0.050000 0.2000000
198   0.100          1  2.531646 0.060500 0.2531646
199   0.100          1  3.703704 0.073000 0.3703704
200   0.100          1  2.531646 0.060500 0.2531646
201   0.100          1  3.508772 0.071500 0.3508772
202   0.050          1  3.030303 0.033500 0.1515152
203   0.050          1  3.125000 0.034000 0.1562500
204   0.050          1  3.174603 0.034250 0.1587302
205   0.050          1  2.531646 0.030250 0.1265823
206   0.050          1  3.125000 0.034000 0.1562500
207   0.050          1  2.000000 0.025000 0.1000000
208   0.050          1  3.125000 0.034000 0.1562500
209   0.050          1  2.531646 0.030250 0.1265823
210   0.050          1  3.030303 0.033500 0.1515152
211   0.050          1  2.000000 0.025000 0.1000000
212   0.050          1  3.030303 0.033500 0.1515152
213   0.050          1  3.174603 0.034250 0.1587302
214   0.050          1  2.000000 0.025000 0.1000000
215   0.050          1  2.531646 0.030250 0.1265823
216   0.050          1  2.531646 0.030250 0.1265823
217   0.050          1  2.000000 0.025000 0.1000000
218   0.050          1  2.531646 0.030250 0.1265823
219   0.050          1  2.000000 0.025000 0.1000000
220   0.050          1  3.125000 0.034000 0.1562500
221   0.055          1  2.000000 0.027500 0.1100000
222   0.055          1  2.531646 0.033275 0.1392405
223   0.055          1  3.125000 0.037400 0.1718750
224   0.060          1  2.531646 0.036300 0.1518987
225   0.050          1  2.531646 0.030250 0.1265823
226   0.080          1  4.651163 0.062800 0.3720930
227   0.080          1  4.444444 0.062000 0.3555556
228   0.050          1  4.444444 0.038750 0.2222222
229   0.050          1  4.651163 0.039250 0.2325581
230   0.075          1  4.651163 0.058875 0.3488372
231   0.050          1  4.444444 0.038750 0.2222222
232   0.050          1  4.651163 0.039250 0.2325581
233   0.075          1  4.444444 0.058125 0.3333333
234   0.050          1  4.444444 0.038750 0.2222222
235   0.050          1  4.444444 0.038750 0.2222222
236   0.055          1  3.225806 0.037950 0.1774194
237   0.050          1  3.225806 0.034500 0.1612903
238   0.060          1  2.000000 0.030000 0.1200000
239   0.060          1  3.225806 0.041400 0.1935484
240   0.050          1  3.030303 0.033500 0.1515152
241   0.050          1  2.000000 0.025000 0.1000000
242   0.050          1  3.225806 0.034500 0.1612903
243   0.055          1  2.000000 0.027500 0.1100000
244   0.055          1  3.225806 0.037950 0.1774194
245   0.075          1  3.174603 0.051375 0.2380952
246   0.075          1  3.174603 0.051375 0.2380952
247   0.050          1  3.125000 0.034000 0.1562500
248   0.050          1  3.174603 0.034250 0.1587302
249   0.050          1  3.125000 0.034000 0.1562500
250   0.050          1  3.174603 0.034250 0.1587302
251   0.050          1  3.030303 0.033500 0.1515152
252   0.050          1  3.174603 0.034250 0.1587302
253   0.050          1  3.030303 0.033500 0.1515152
254   0.050          1  3.174603 0.034250 0.1587302
255   0.050          1  2.000000 0.025000 0.1000000
256   0.050          1  2.531646 0.030250 0.1265823
257   0.050          1  3.030303 0.033500 0.1515152
258   0.050          1  3.125000 0.034000 0.1562500
259   0.050          1  3.030303 0.033500 0.1515152
260   0.050          1  3.125000 0.034000 0.1562500
261   0.050          1  2.000000 0.025000 0.1000000
262   0.050          1  2.531646 0.030250 0.1265823
263   0.050          1  3.030303 0.033500 0.1515152
264   0.050          1  2.000000 0.025000 0.1000000
265   0.050          1  2.531646 0.030250 0.1265823
266   0.080          1  4.651163 0.062800 0.3720930
267   0.070          1  4.651163 0.054950 0.3255814
268   0.075          1  4.651163 0.058875 0.3488372
269   0.080          1  4.651163 0.062800 0.3720930
270   0.060          1  4.444444 0.046500 0.2666667
271   0.060          1  4.651163 0.047100 0.2790698
272   0.065          1  4.651163 0.051025 0.3023256
273   0.060          1  4.347826 0.046200 0.2608696
274   0.060          1  4.347826 0.046200 0.2608696
275   0.060          1  4.347826 0.046200 0.2608696
276   0.060          1  3.921569 0.044700 0.2352941
277   0.060          1  4.000000 0.045000 0.2400000
278   0.060          1  3.125000 0.040800 0.1875000
279   0.055          1  3.174603 0.037675 0.1746032
280   0.055          1  3.174603 0.037675 0.1746032
281   0.055          1  3.174603 0.037675 0.1746032
282   0.055          1  3.125000 0.037400 0.1718750
283   0.055          1  3.125000 0.037400 0.1718750
284   0.055          1  3.125000 0.037400 0.1718750
285   0.055          1  3.030303 0.036850 0.1666667
286   0.055          1  3.030303 0.036850 0.1666667
287   0.055          1  2.000000 0.027500 0.1100000
288   0.055          1  3.030303 0.036850 0.1666667
289   0.055          1  2.000000 0.027500 0.1100000
290   0.055          1  3.030303 0.036850 0.1666667
291   0.090          1  3.125000 0.061200 0.2812500
292   0.090          1  3.174603 0.061650 0.2857143
293   0.085          1  3.125000 0.057800 0.2656250
294   0.085          1  3.174603 0.058225 0.2698413
295   0.075          1  3.125000 0.051000 0.2343750
296   0.075          1  3.030303 0.050250 0.2272727
297   0.075          1  3.030303 0.050250 0.2272727
298   0.150          1  4.651163 0.117750 0.6976744
299   0.085          1  4.651163 0.066725 0.3953488
300   0.090          1  4.347826 0.069300 0.3913043
301   0.090          1  4.444444 0.069750 0.4000000
302   0.140          1  4.651163 0.109900 0.6511628
303   0.090          1  4.651163 0.070650 0.4186047
304   0.090          1  4.651163 0.070650 0.4186047
305   0.085          1  4.347826 0.065450 0.3695652
306   0.080          1  4.444444 0.062000 0.3555556
307   0.085          1  4.347826 0.065450 0.3695652
308   0.080          1  4.444444 0.062000 0.3555556
309   0.160          1  3.508772 0.114400 0.5614035
310   0.115          1  3.508772 0.082225 0.4035088
311   0.105          1  3.508772 0.075075 0.3684211
312   0.090          1  3.508772 0.064350 0.3157895
313   0.105          1  2.531646 0.063525 0.2658228
314   0.120          1  2.531646 0.072600 0.3037975
315   0.110          1  3.508772 0.078650 0.3859649
316   0.100          1  3.508772 0.071500 0.3508772
317   0.075          1  3.508772 0.053625 0.2631579
318   0.100          1  2.531646 0.060500 0.2531646
319   0.115          1  2.531646 0.069575 0.2911392
320   0.135          1  2.531646 0.081675 0.3417722
321   0.080          1  3.174603 0.054800 0.2539683
322   0.085          1  3.174603 0.058225 0.2698413
323   0.100          1  3.030303 0.067000 0.3030303
324   0.100          1  2.000000 0.050000 0.2000000
325   0.105          1  2.000000 0.052500 0.2100000
326   0.080          1  3.030303 0.053600 0.2424242
327   0.080          1  2.000000 0.040000 0.1600000
328   0.085          1  2.000000 0.042500 0.1700000
329   0.105          1  3.030303 0.070350 0.3181818
330   0.225          1  3.174603 0.154125 0.7142857
331   0.100          1  3.174603 0.068500 0.3174603
332   0.155          1  3.174603 0.106175 0.4920635
333   0.100          1  3.174603 0.068500 0.3174603
334   0.140          1  3.174603 0.095900 0.4444444
335   0.150          1  2.531646 0.090750 0.3797468
336   0.150          1  2.531646 0.090750 0.3797468
337   0.150          1  3.174603 0.102750 0.4761905
338   0.145          1  2.531646 0.087725 0.3670886
339   0.140          1  2.531646 0.084700 0.3544304
340   0.065          1 11.111111 0.059150 0.7222222
341   0.065          1 11.764706 0.059475 0.7647059
342   0.065          1 13.333333 0.060125 0.8666667
343   0.065          1 13.333333 0.060125 0.8666667
344   0.065          1  5.000000 0.052000 0.3250000
345   0.065          1 11.764706 0.059475 0.7647059
346   0.065          1 13.333333 0.060125 0.8666667
347   0.070          1  5.000000 0.056000 0.3500000
348   0.070          1 11.111111 0.063700 0.7777778
349   0.070          1 11.764706 0.064050 0.8235294
350   0.070          1 13.333333 0.064750 0.9333333
351   0.070          1 13.333333 0.064750 0.9333333
352   0.065          1  5.000000 0.052000 0.3250000
353   0.065          1 11.111111 0.059150 0.7222222
354   0.065          1 13.333333 0.060125 0.8666667
355   0.065          1 13.333333 0.060125 0.8666667
356   0.065          1  5.000000 0.052000 0.3250000
357   0.065          1 11.111111 0.059150 0.7222222
358   0.065          1 11.764706 0.059475 0.7647059
359   0.065          1 13.333333 0.060125 0.8666667
360   0.065          1  5.000000 0.052000 0.3250000
361   0.065          1 11.764706 0.059475 0.7647059
362   0.065          1 13.333333 0.060125 0.8666667
363   0.060          1  8.695652 0.053100 0.5217391
364   0.060          1  9.090909 0.053400 0.5454545
365   0.060          1 10.000000 0.054000 0.6000000
366   0.060          1 10.000000 0.054000 0.6000000
367   0.070          1  5.000000 0.056000 0.3500000
368   0.070          1  9.090909 0.062300 0.6363636
369   0.070          1 10.000000 0.063000 0.7000000
370   0.060          1  5.000000 0.048000 0.3000000
371   0.060          1  9.090909 0.053400 0.5454545
372   0.060          1 10.000000 0.054000 0.6000000
373   0.050          1  5.000000 0.040000 0.2500000
374   0.050          1  9.090909 0.044500 0.4545455
375   0.060          1  5.000000 0.048000 0.3000000
376   0.060          1  8.695652 0.053100 0.5217391
377   0.060          1 10.000000 0.054000 0.6000000
