     support confidence     lift leverage    jaccard
1      0.500  0.5000000 1.000000 0.000000 0.50000000
2      0.500  0.5000000 1.000000 0.000000 0.50000000
3      0.170  0.7083333 2.951389 0.112400 0.54838710
4      0.170  0.7083333 2.951389 0.112400 0.54838710
5      0.165  0.6875000 2.806122 0.106200 0.51562500
6      0.165  0.6734694 2.806122 0.106200 0.51562500
7      0.215  0.8958333 3.656463 0.156200 0.79629630
8      0.215  0.8775510 3.656463 0.156200 0.79629630
9      0.215  0.8958333 3.583333 0.155000 0.78181818
10     0.215  0.8600000 3.583333 0.155000 0.78181818
11     0.220  0.9166667 3.666667 0.160000 0.81481481
12     0.220  0.8800000 3.666667 0.160000 0.81481481
13     0.140  0.5833333 1.166667 0.020000 0.23333333
14     0.160  0.6666667 2.721088 0.101200 0.49230769
15     0.160  0.6530612 2.721088 0.101200 0.49230769
16     0.190  0.7916667 3.231293 0.131200 0.64406780
17     0.190  0.7755102 3.231293 0.131200 0.64406780
18     0.160  0.6666667 2.666667 0.100000 0.48484848
19     0.160  0.6400000 2.666667 0.100000 0.48484848
20     0.190  0.7916667 3.166667 0.130000 0.63333333
21     0.190  0.7600000 3.166667 0.130000 0.63333333
22     0.120  0.5000000 1.000000 0.000000 0.19354839
23     0.120  0.5000000 1.000000 0.000000 0.19354839
24     0.130  0.5416667 1.083333 0.010000 0.21311475
25     0.140  0.5833333 2.380952 0.081200 0.40579710
26     0.140  0.5714286 2.380952 0.081200 0.40579710
27     0.120  0.5000000 2.000000 0.060000 0.32432432
28     0.135  0.5625000 2.250000 0.075000 0.38028169
29     0.135  0.5400000 2.250000 0.075000 0.38028169
30     0.120  0.5000000 1.000000 0.000000 0.19354839
31     0.120  0.5000000 1.000000 0.000000 0.19354839
32     0.170  0.6938776 2.832153 0.109975 0.53125000
33     0.170  0.6938776 2.832153 0.109975 0.53125000
34     0.190  0.7755102 3.102041 0.128750 0.62295082
35     0.190  0.7600000 3.102041 0.128750 0.62295082
36     0.170  0.6938776 2.775510 0.108750 0.52307692
37     0.170  0.6800000 2.775510 0.108750 0.52307692
38     0.180  0.7346939 1.469388 0.057500 0.31858407
39     0.200  0.8163265 3.265306 0.138750 0.67796610
40     0.200  0.8000000 3.265306 0.138750 0.67796610
41     0.245  1.0000000 4.000000 0.183750 0.98000000
42     0.245  0.9800000 4.000000 0.183750 0.98000000
43     0.140  0.5714286 1.142857 0.017500 0.23140496
44     0.170  0.6938776 2.832153 0.109975 0.53125000
45     0.170  0.6938776 2.832153 0.109975 0.53125000
46     0.165  0.6734694 2.693878 0.103750 0.50000000
47     0.165  0.6600000 2.693878 0.103750 0.50000000
48     0.130  0.5306122 2.122449 0.068750 0.35616438
49     0.130  0.5200000 2.122449 0.068750 0.35616438
50     0.225  0.9183673 3.673469 0.163750 0.83333333
51     0.225  0.9000000 3.673469 0.163750 0.83333333
52     0.125  0.5102041 1.020408 0.002500 0.20161290
53     0.190  0.7755102 3.102041 0.128750 0.62295082
54     0.190  0.7600000 3.102041 0.128750 0.62295082
55     0.125  0.5102041 2.040816 0.063750 0.33783784
56     0.125  0.5000000 2.040816 0.063750 0.33783784
57     0.185  0.7551020 3.020408 0.123750 0.59677419
58     0.185  0.7400000 3.020408 0.123750 0.59677419
59     0.130  0.5306122 1.061224 0.007500 0.21138211
60     0.205  0.8200000 3.280000 0.142500 0.69491525
61     0.205  0.8200000 3.280000 0.142500 0.69491525
62     0.125  0.5000000 1.000000 0.000000 0.20000000
63     0.125  0.5000000 1.000000 0.000000 0.20000000
64     0.145  0.5800000 1.160000 0.020000 0.23966942
65     0.160  0.6400000 2.560000 0.097500 0.47058824
66     0.160  0.6400000 2.560000 0.097500 0.47058824
67     0.155  0.6200000 2.431373 0.091250 0.44285714
68     0.155  0.6078431 2.431373 0.091250 0.44285714
69     0.190  0.7600000 2.980392 0.126250 0.60317460
70     0.190  0.7450980 2.980392 0.126250 0.60317460
71     0.130  0.5200000 1.040000 0.005000 0.20967742
72     0.240  0.9600000 3.764706 0.176250 0.90566038
73     0.240  0.9411765 3.764706 0.176250 0.90566038
74     0.190  0.7600000 2.980392 0.126250 0.60317460
75     0.190  0.7450980 2.980392 0.126250 0.60317460
76     0.150  0.6000000 2.307692 0.085000 0.41666667
77     0.150  0.5769231 2.307692 0.085000 0.41666667
78     0.130  0.5200000 1.040000 0.005000 0.20967742
79     0.175  0.7000000 2.800000 0.112500 0.53846154
80     0.175  0.7000000 2.800000 0.112500 0.53846154
81     0.135  0.5400000 1.080000 0.010000 0.21951220
82     0.155  0.6200000 1.240000 0.030000 0.26050420
83     0.125  0.5000000 1.000000 0.000000 0.20000000
84     0.125  0.5000000 1.000000 0.000000 0.20000000
85     0.215  0.8600000 3.372549 0.151250 0.74137931
86     0.215  0.8431373 3.372549 0.151250 0.74137931
87     0.240  0.9600000 3.764706 0.176250 0.90566038
88     0.240  0.9411765 3.764706 0.176250 0.90566038
89     0.235  0.9400000 3.686275 0.171250 0.87037037
90     0.235  0.9215686 3.686275 0.171250 0.87037037
91     0.195  0.7800000 3.000000 0.130000 0.61904762
92     0.195  0.7500000 3.000000 0.130000 0.61904762
93     0.205  0.8200000 3.094340 0.138750 0.66129032
94     0.205  0.7735849 3.094340 0.138750 0.66129032
95     0.140  0.5600000 1.120000 0.015000 0.22950820
96     0.190  0.7450980 2.921953 0.124975 0.59375000
97     0.190  0.7450980 2.921953 0.124975 0.59375000
98     0.160  0.6274510 2.413273 0.093700 0.45070423
99     0.160  0.6153846 2.413273 0.093700 0.45070423
100    0.140  0.5490196 1.098039 0.012500 0.22764228
101    0.130  0.5098039 1.960784 0.063700 0.33766234
102    0.130  0.5000000 1.960784 0.063700 0.33766234
103    0.135  0.5294118 1.058824 0.007500 0.21774194
104    0.210  0.8235294 3.229527 0.144975 0.70000000
105    0.210  0.8235294 3.229527 0.144975 0.70000000
