     support confidence     lift leverage   jaccard
1      0.220  0.9166667 3.666667 0.160000 0.8148148
2      0.245  1.0000000 4.000000 0.183750 0.9800000
3      0.245  0.9800000 4.000000 0.183750 0.9800000
4      0.225  0.9183673 3.673469 0.163750 0.8333333
5      0.225  0.9000000 3.673469 0.163750 0.8333333
6      0.240  0.9600000 3.764706 0.176250 0.9056604
7      0.240  0.9411765 3.764706 0.176250 0.9056604
8      0.240  0.9600000 3.764706 0.176250 0.9056604
9      0.240  0.9411765 3.764706 0.176250 0.9056604
10     0.235  0.9400000 3.686275 0.171250 0.8703704
11     0.235  0.9215686 3.686275 0.171250 0.8703704
12     0.230  0.9019608 3.537101 0.164975 0.8214286
13     0.230  0.9019608 3.537101 0.164975 0.8214286
14     0.230  0.9019608 3.537101 0.164975 0.8214286
15     0.230  0.9019608 3.537101 0.164975 0.8214286
16     0.170  1.0000000 4.081633 0.128350 0.6938776
17     0.160  0.9411765 3.764706 0.117500 0.6153846
18     0.160  1.0000000 4.166667 0.121600 0.6666667
19     0.170  1.0000000 4.000000 0.127500 0.6800000
20     0.060  1.0000000 4.166667 0.045600 0.2500000
21     0.070  1.0000000 2.000000 0.035000 0.1400000
22     0.165  1.0000000 4.081633 0.124575 0.6734694
23     0.165  0.9705882 4.044118 0.124200 0.6734694
24     0.155  0.9393939 3.757576 0.113750 0.5961538
25     0.165  1.0000000 4.000000 0.123750 0.6600000
26     0.165  0.9705882 4.044118 0.124200 0.6734694
27     0.065  1.0000000 4.166667 0.049400 0.2708333
28     0.100  1.0000000 4.081633 0.075500 0.4081633
29     0.200  0.9302326 3.720930 0.146250 0.7547170
30     0.200  0.9302326 3.796868 0.147325 0.7692308
31     0.200  1.0000000 4.166667 0.152000 0.8333333
32     0.215  1.0000000 4.000000 0.161250 0.8600000
33     0.215  0.9772727 3.988868 0.161100 0.8600000
34     0.100  1.0000000 4.081633 0.075500 0.4081633
35     0.100  0.9523810 3.968254 0.074800 0.4081633
36     0.205  0.9534884 3.813953 0.151250 0.7884615
37     0.205  0.9318182 3.727273 0.150000 0.7735849
38     0.205  1.0000000 4.166667 0.155800 0.8541667
39     0.125  1.0000000 4.166667 0.095000 0.5208333
40     0.090  0.9000000 3.600000 0.065000 0.3461538
41     0.100  1.0000000 4.000000 0.075000 0.4000000
42     0.100  0.9523810 3.968254 0.074800 0.4081633
43     0.065  1.0000000 4.166667 0.049400 0.2708333
44     0.160  1.0000000 4.081633 0.120800 0.6530612
45     0.190  1.0000000 4.000000 0.142500 0.7600000
46     0.190  1.0000000 4.081633 0.143450 0.7755102
47     0.115  0.9583333 3.911565 0.085600 0.4600000
48     0.160  1.0000000 4.000000 0.120000 0.6400000
49     0.115  0.9583333 3.833333 0.085000 0.4509804
50     0.050  0.9090909 3.636364 0.036250 0.1960784
51     0.050  1.0000000 3.921569 0.037250 0.1960784
52     0.050  1.0000000 4.000000 0.037500 0.2000000
53     0.075  1.0000000 4.000000 0.056250 0.3000000
54     0.075  0.9375000 3.826531 0.055400 0.3000000
55     0.075  1.0000000 2.000000 0.037500 0.1500000
56     0.065  1.0000000 4.000000 0.048750 0.2600000
57     0.065  1.0000000 2.000000 0.032500 0.1300000
58     0.065  1.0000000 2.000000 0.032500 0.1300000
59     0.060  1.0000000 2.000000 0.030000 0.1200000
60     0.080  1.0000000 2.000000 0.040000 0.1600000
61     0.085  1.0000000 3.921569 0.063325 0.3333333
62     0.075  1.0000000 2.000000 0.037500 0.1500000
63     0.075  1.0000000 2.000000 0.037500 0.1500000
64     0.125  0.9259259 3.779289 0.091925 0.4901961
65     0.090  0.9000000 3.600000 0.065000 0.3461538
66     0.090  0.9000000 1.800000 0.040000 0.1764706
67     0.055  0.9166667 3.666667 0.040000 0.2156863
68     0.050  0.9090909 3.565062 0.035975 0.1923077
69     0.055  1.0000000 3.921569 0.040975 0.2156863
70     0.050  0.9090909 3.565062 0.035975 0.1923077
71     0.155  0.9117647 3.647059 0.112500 0.5849057
72     0.170  1.0000000 4.000000 0.127500 0.6800000
73     0.170  1.0000000 4.081633 0.128350 0.6938776
74     0.065  1.0000000 4.081633 0.049075 0.2653061
75     0.105  1.0000000 4.081633 0.079275 0.4285714
76     0.155  0.9117647 3.647059 0.112500 0.5849057
77     0.060  0.9230769 3.692308 0.043750 0.2352941
78     0.065  1.0000000 4.000000 0.048750 0.2600000
79     0.125  1.0000000 4.081633 0.094375 0.5102041
80     0.065  1.0000000 4.000000 0.048750 0.2600000
81     0.105  1.0000000 4.081633 0.079275 0.4285714
82     0.055  1.0000000 2.000000 0.027500 0.1100000
83     0.075  1.0000000 3.921569 0.055875 0.2941176
84     0.075  1.0000000 4.000000 0.056250 0.3000000
85     0.070  0.9333333 3.660131 0.050875 0.2692308
86     0.070  0.9333333 3.733333 0.051250 0.2745098
87     0.075  1.0000000 2.000000 0.037500 0.1500000
88     0.070  0.9333333 3.660131 0.050875 0.2692308
89     0.070  0.9333333 3.660131 0.050875 0.2692308
