    support confidence     lift leverage   jaccard
1     0.245  1.0000000 4.000000 0.183750 0.9800000
2     0.245  0.9800000 4.000000 0.183750 0.9800000
3     0.240  0.9600000 3.764706 0.176250 0.9056604
4     0.240  0.9600000 3.764706 0.176250 0.9056604
5     0.170  1.0000000 4.081633 0.128350 0.6938776
6     0.160  1.0000000 4.166667 0.121600 0.6666667
7     0.170  1.0000000 4.000000 0.127500 0.6800000
8     0.060  1.0000000 4.166667 0.045600 0.2500000
9     0.070  1.0000000 2.000000 0.035000 0.1400000
10    0.165  1.0000000 4.081633 0.124575 0.6734694
11    0.165  0.9705882 4.044118 0.124200 0.6734694
12    0.165  1.0000000 4.000000 0.123750 0.6600000
13    0.165  0.9705882 4.044118 0.124200 0.6734694
14    0.065  1.0000000 4.166667 0.049400 0.2708333
15    0.100  1.0000000 4.081633 0.075500 0.4081633
16    0.200  1.0000000 4.166667 0.152000 0.8333333
17    0.215  1.0000000 4.000000 0.161250 0.8600000
18    0.215  0.9772727 3.988868 0.161100 0.8600000
19    0.100  1.0000000 4.081633 0.075500 0.4081633
20    0.100  0.9523810 3.968254 0.074800 0.4081633
21    0.205  0.9534884 3.813953 0.151250 0.7884615
22    0.205  1.0000000 4.166667 0.155800 0.8541667
23    0.125  1.0000000 4.166667 0.095000 0.5208333
24    0.100  1.0000000 4.000000 0.075000 0.4000000
25    0.100  0.9523810 3.968254 0.074800 0.4081633
26    0.065  1.0000000 4.166667 0.049400 0.2708333
27    0.160  1.0000000 4.081633 0.120800 0.6530612
28    0.190  1.0000000 4.000000 0.142500 0.7600000
29    0.190  1.0000000 4.081633 0.143450 0.7755102
30    0.115  0.9583333 3.911565 0.085600 0.4600000
31    0.160  1.0000000 4.000000 0.120000 0.6400000
32    0.115  0.9583333 3.833333 0.085000 0.4509804
33    0.050  1.0000000 3.921569 0.037250 0.1960784
34    0.050  1.0000000 4.000000 0.037500 0.2000000
35    0.075  1.0000000 4.000000 0.056250 0.3000000
36    0.075  1.0000000 2.000000 0.037500 0.1500000
37    0.065  1.0000000 4.000000 0.048750 0.2600000
38    0.065  1.0000000 2.000000 0.032500 0.1300000
39    0.065  1.0000000 2.000000 0.032500 0.1300000
40    0.060  1.0000000 2.000000 0.030000 0.1200000
41    0.080  1.0000000 2.000000 0.040000 0.1600000
42    0.085  1.0000000 3.921569 0.063325 0.3333333
43    0.075  1.0000000 2.000000 0.037500 0.1500000
44    0.075  1.0000000 2.000000 0.037500 0.1500000
45    0.055  1.0000000 3.921569 0.040975 0.2156863
46    0.170  1.0000000 4.000000 0.127500 0.6800000
47    0.170  1.0000000 4.081633 0.128350 0.6938776
48    0.065  1.0000000 4.081633 0.049075 0.2653061
49    0.105  1.0000000 4.081633 0.079275 0.4285714
50    0.065  1.0000000 4.000000 0.048750 0.2600000
51    0.125  1.0000000 4.081633 0.094375 0.5102041
52    0.065  1.0000000 4.000000 0.048750 0.2600000
53    0.105  1.0000000 4.081633 0.079275 0.4285714
54    0.055  1.0000000 2.000000 0.027500 0.1100000
55    0.075  1.0000000 3.921569 0.055875 0.2941176
56    0.075  1.0000000 4.000000 0.056250 0.3000000
57    0.075  1.0000000 2.000000 0.037500 0.1500000
58    0.075  1.0000000 2.000000 0.037500 0.1500000
59    0.075  1.0000000 2.000000 0.037500 0.1500000
60    0.065  1.0000000 2.000000 0.032500 0.1300000
61    0.200  1.0000000 4.000000 0.150000 0.8000000
62    0.200  0.9756098 3.982081 0.149775 0.8000000
63    0.055  1.0000000 4.000000 0.041250 0.2200000
64    0.140  1.0000000 4.000000 0.105000 0.5600000
65    0.140  0.9655172 3.940887 0.104475 0.5600000
66    0.105  1.0000000 4.000000 0.078750 0.4200000
67    0.105  1.0000000 4.081633 0.079275 0.4285714
68    0.165  0.9705882 3.882353 0.122500 0.6470588
69    0.160  0.9696970 3.878788 0.118750 0.6274510
70    0.115  1.0000000 4.081633 0.086825 0.4693878
71    0.060  1.0000000 4.000000 0.045000 0.2400000
72    0.115  0.9583333 3.833333 0.085000 0.4509804
73    0.050  1.0000000 2.000000 0.025000 0.1000000
74    0.060  1.0000000 4.081633 0.045300 0.2448980
75    0.110  0.9565217 3.904170 0.081825 0.4400000
76    0.050  1.0000000 4.081633 0.037750 0.2040816
77    0.055  1.0000000 2.000000 0.027500 0.1100000
78    0.050  1.0000000 3.846154 0.037000 0.1923077
79    0.155  0.9687500 3.799020 0.114200 0.5961538
80    0.155  1.0000000 4.000000 0.116250 0.6200000
81    0.080  1.0000000 2.000000 0.040000 0.1600000
82    0.115  0.9583333 3.833333 0.085000 0.4509804
83    0.080  1.0000000 4.000000 0.060000 0.3200000
84    0.090  1.0000000 2.000000 0.045000 0.1800000
85    0.185  0.9736842 3.818369 0.136550 0.7115385
86    0.185  0.9736842 3.894737 0.137500 0.7254902
87    0.145  0.9666667 3.790850 0.106750 0.5576923
88    0.110  0.9565217 3.826087 0.081250 0.4313725
89    0.130  1.0000000 3.921569 0.096850 0.5098039
90    0.050  1.0000000 2.000000 0.025000 0.1000000
91    0.080  1.0000000 2.000000 0.040000 0.1600000
92    0.050  1.0000000 2.000000 0.025000 0.1000000
93    0.060  1.0000000 2.000000 0.030000 0.1200000
94    0.205  0.9534884 3.739170 0.150175 0.7735849
95    0.205  0.9761905 3.904762 0.152500 0.8039216
96    0.215  1.0000000 3.921569 0.160175 0.8431373
97    0.225  0.9574468 3.754693 0.165075 0.8490566
98    0.225  0.9782609 3.913043 0.167500 0.8823529
99    0.195  1.0000000 3.921569 0.145275 0.7647059
