rules,support,confidence,lift,count,leverage,jaccard,,
"{FL=[18.2,23.1],CL=[37.3,47.6]} => {BD=[16.7,21.6]}",20.50%,100.00%,4.1666666667,41,0.152,0.8333333,,
"{FL=[18.2,23.1],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",20.00%,100.00%,4.1666666667,40,0.1558,0.8541667,,
"{FL=[18.2,23.1],CL=[37.3,47.6],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",20.00%,100.00%,4.1666666667,40,0.152,0.8333333,,
"{CW=[42.2,54.6]} => {CL=[37.3,47.6]}",24.50%,100.00%,4,49,0.18375,0.98,,average
"{CL=[37.3,47.6]} => {CW=[42.2,54.6]}",24.50%,98.00%,4,49,0.18375,0.98,,3.6
"{CW=[42.2,54.6],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",21.50%,100.00%,4,43,0.16125,0.86,,
"{FL=[18.2,23.1],CW=[42.2,54.6]} => {CL=[37.3,47.6]}",20.00%,100.00%,4,40,0.15,0.8,,
"{FL=[18.2,23.1],CW=[42.2,54.6],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",20.00%,100.00%,4,40,0.15,0.8,,
"{CL=[37.3,47.6],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",21.50%,97.73%,3.9888682746,43,0.1611,0.86,,
"{FL=[18.2,23.1],CL=[37.3,47.6]} => {CW=[42.2,54.6]}",20.00%,97.56%,3.9820806371,40,0.149775,0.8,,
"{FL=[18.2,23.1],CL=[37.3,47.6],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",20.00%,97.56%,3.9820806371,40,0.149775,0.8,,
"{CL=[14.7,27.3),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",21.50%,100.00%,3.9215686275,43,0.160175,0.8431373,,
"{CW=[17.1,31.6),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",21.00%,100.00%,3.9215686275,42,0.15645,0.8235294,,
"{CL=[14.7,27.3),CW=[17.1,31.6),BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",20.50%,100.00%,3.9215686275,41,0.152725,0.8039216,,
"{FL=[ 7.2,13.0),CW=[17.1,31.6)} => {CL=[14.7,27.3)}",22.50%,97.83%,3.9130434783,45,0.1675,0.8823529,,
"{CW=[17.1,31.6),BD=[ 6.1,11.5)} => {CL=[14.7,27.3)}",20.50%,97.62%,3.9047619048,41,0.1525,0.8039216,,
"{FL=[ 7.2,13.0),CW=[17.1,31.6),BD=[ 6.1,11.5)} => {CL=[14.7,27.3)}",20.50%,97.62%,3.9047619048,41,0.1525,0.8039216,,
"{FL=[ 7.2,13.0),RW=[ 6.5,11.1)} => {BD=[ 6.1,11.5)}",20.50%,97.62%,3.8281979458,41,0.15145,0.7884615,,
"{RW=[ 6.5,11.1),CL=[14.7,27.3)} => {CW=[17.1,31.6)}",20.00%,97.56%,3.8259206121,40,0.147725,0.7692308,,
"{FL=[18.2,23.1],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",20.50%,95.35%,3.8139534884,41,0.15125,0.7884615,,
"{FL=[18.2,23.1],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",20.00%,93.02%,3.7968675842,40,0.147325,0.7692308,,
"{CL=[32.3,37.3)} => {CW=[36.9,42.2)}",24.00%,96.00%,3.7647058824,48,0.17625,0.9056604,,
"{CW=[36.9,42.2)} => {CL=[32.3,37.3)}",24.00%,94.12%,3.7647058824,48,0.17625,0.9056604,,
"{CL=[14.7,27.3)} => {CW=[17.1,31.6)}",24.00%,96.00%,3.7647058824,48,0.17625,0.9056604,,
"{CW=[17.1,31.6)} => {CL=[14.7,27.3)}",24.00%,94.12%,3.7647058824,48,0.17625,0.9056604,,
"{FL=[ 7.2,13.0),CL=[14.7,27.3)} => {CW=[17.1,31.6)}",22.50%,95.74%,3.7546933667,45,0.165075,0.8490566,,
