"rules","support","confidence","lift","count"
"{BD=[16.7,21.6]} => {CW=[42.2,54.6]}",0.215,0.895833333333333,3.65646258503401,43
"{CW=[42.2,54.6]} => {BD=[16.7,21.6]}",0.215,0.877551020408163,3.65646258503401,43
"{BD=[16.7,21.6]} => {FL=[18.2,23.1]}",0.215,0.895833333333333,3.58333333333333,43
"{FL=[18.2,23.1]} => {BD=[16.7,21.6]}",0.215,0.86,3.58333333333333,43
"{BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.22,0.916666666666667,3.66666666666667,44
"{CL=[37.3,47.6]} => {BD=[16.7,21.6]}",0.22,0.88,3.66666666666667,44
"{CW=[42.2,54.6]} => {CL=[37.3,47.6]}",0.245,1,4,49
"{CL=[37.3,47.6]} => {CW=[42.2,54.6]}",0.245,0.98,4,49
"{CW=[31.6,36.9)} => {CL=[27.3,32.3)}",0.225,0.918367346938776,3.6734693877551,45
"{CL=[27.3,32.3)} => {CW=[31.6,36.9)}",0.225,0.9,3.6734693877551,45
"{CL=[32.3,37.3)} => {CW=[36.9,42.2)}",0.24,0.96,3.76470588235294,48
"{CW=[36.9,42.2)} => {CL=[32.3,37.3)}",0.24,0.941176470588235,3.76470588235294,48
"{CL=[14.7,27.3)} => {BD=[ 6.1,11.5)}",0.215,0.86,3.37254901960784,43
"{CL=[14.7,27.3)} => {CW=[17.1,31.6)}",0.24,0.96,3.76470588235294,48
"{CW=[17.1,31.6)} => {CL=[14.7,27.3)}",0.24,0.941176470588235,3.76470588235294,48
"{CL=[14.7,27.3)} => {FL=[ 7.2,13.0)}",0.235,0.94,3.68627450980392,47
"{FL=[ 7.2,13.0)} => {CL=[14.7,27.3)}",0.235,0.92156862745098,3.68627450980392,47
"{BD=[ 6.1,11.5)} => {FL=[ 7.2,13.0)}",0.23,0.901960784313726,3.53710111495579,46
"{FL=[ 7.2,13.0)} => {BD=[ 6.1,11.5)}",0.23,0.901960784313726,3.53710111495579,46
"{CW=[17.1,31.6)} => {FL=[ 7.2,13.0)}",0.23,0.901960784313726,3.53710111495579,46
"{FL=[ 7.2,13.0)} => {CW=[17.1,31.6)}",0.23,0.901960784313726,3.53710111495579,46
"{CW=[42.2,54.6],BD=[16.7,21.6]} => {FL=[18.2,23.1]}",0.2,0.930232558139535,3.72093023255814,40
"{FL=[18.2,23.1],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",0.2,0.930232558139535,3.796867584243,40
"{FL=[18.2,23.1],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",0.2,1,4.16666666666667,40
"{CW=[42.2,54.6],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.215,1,4,43
"{CL=[37.3,47.6],BD=[16.7,21.6]} => {CW=[42.2,54.6]}",0.215,0.977272727272727,3.98886827458256,43
"{CL=[37.3,47.6],CW=[42.2,54.6]} => {BD=[16.7,21.6]}",0.215,0.877551020408163,3.65646258503401,43
"{FL=[18.2,23.1],BD=[16.7,21.6]} => {CL=[37.3,47.6]}",0.205,0.953488372093023,3.81395348837209,41
