    support confidence      lift      leverage   jaccard
1     0.500  0.5000000 1.0000000  0.000000e+00 0.5000000
2     0.500  0.5000000 1.0000000  0.000000e+00 0.5000000
3     0.510  0.5100000 1.0000000  0.000000e+00 0.5100000
4     0.530  0.5300000 1.0000000  0.000000e+00 0.5300000
5     0.530  0.5300000 1.0000000  0.000000e+00 0.5300000
6     0.555  0.5550000 1.0000000  0.000000e+00 0.5550000
7     0.580  0.5800000 1.0000000 -1.110223e-16 0.5800000
8     0.200  0.8695652 3.2813782  1.390500e-01 0.6779661
9     0.200  0.7547170 3.2813782  1.390500e-01 0.6779661
10    0.200  0.8695652 2.5575448  1.218000e-01 0.5405405
11    0.200  0.5882353 2.5575448  1.218000e-01 0.5405405
12    0.220  0.8979592 3.4536892  1.563000e-01 0.7719298
13    0.220  0.8461538 3.4536892  1.563000e-01 0.7719298
14    0.245  1.0000000 3.5714286  1.764000e-01 0.8750000
15    0.245  0.8750000 3.5714286  1.764000e-01 0.8750000
16    0.215  0.8775510 3.0791264  1.451750e-01 0.6825397
17    0.215  0.7543860 3.0791264  1.451750e-01 0.6825397
18    0.235  0.9591837 2.8211285  1.517000e-01 0.6714286
19    0.235  0.6911765 2.8211285  1.517000e-01 0.6714286
20    0.250  0.9615385 3.4340659  1.772000e-01 0.8620690
21    0.250  0.8928571 3.4340659  1.772000e-01 0.8620690
22    0.250  0.9615385 3.3738192  1.759000e-01 0.8474576
23    0.250  0.8771930 3.3738192  1.759000e-01 0.8474576
24    0.225  0.8653846 2.5452489  1.366000e-01 0.6000000
25    0.225  0.6617647 2.5452489  1.366000e-01 0.6000000
26    0.250  0.9433962 2.7746948  1.599000e-01 0.7042254
27    0.250  0.7352941 2.7746948  1.599000e-01 0.7042254
28    0.245  0.8750000 3.0701754  1.652000e-01 0.7656250
29    0.245  0.8596491 3.0701754  1.652000e-01 0.7656250
30    0.255  0.9107143 2.6785714  1.598000e-01 0.6986301
31    0.255  0.7500000 2.6785714  1.598000e-01 0.6986301
32    0.220  0.7719298 2.2703818  1.231000e-01 0.5432099
33    0.220  0.6470588 2.2703818  1.231000e-01 0.5432099
34    0.255  0.7968750 1.5625000  9.180000e-02 0.4434783
35    0.255  0.5000000 1.5625000  9.180000e-02 0.4434783
36    0.245  0.7656250 1.4445755  7.540000e-02 0.4049587
37    0.285  0.8906250 1.6804245  1.154000e-01 0.5044248
38    0.285  0.5377358 1.6804245  1.154000e-01 0.5044248
39    0.300  0.9375000 1.6891892  1.224000e-01 0.5217391
40    0.300  0.5405405 1.6891892  1.224000e-01 0.5217391
41    0.285  0.8906250 1.5355603  9.940000e-02 0.4634146
42    0.205  0.6029412 1.0395538  7.800000e-03 0.2867133
43    0.250  0.5000000 0.9803922 -5.000000e-03 0.3289474
44    0.270  0.5400000 1.0188679  5.000000e-03 0.3552632
45    0.270  0.5094340 1.0188679  5.000000e-03 0.3552632
46    0.250  0.5000000 0.9433962 -1.500000e-02 0.3205128
47    0.275  0.5500000 0.9909910 -2.500000e-03 0.3525641
48    0.300  0.6000000 1.0344828  1.000000e-02 0.3846154
49    0.300  0.5172414 1.0344828  1.000000e-02 0.3846154
50    0.260  0.5200000 1.0196078  5.000000e-03 0.3466667
51    0.260  0.5098039 1.0196078  5.000000e-03 0.3466667
52    0.260  0.5200000 0.9811321 -5.000000e-03 0.3376623
53    0.280  0.5600000 1.0566038  1.500000e-02 0.3733333
54    0.280  0.5283019 1.0566038  1.500000e-02 0.3733333
