    support confidence     lift leverage   jaccard
1     0.200  0.8695652 3.281378 0.139050 0.6779661
2     0.200  0.7547170 3.281378 0.139050 0.6779661
3     0.200  0.8695652 2.557545 0.121800 0.5405405
4     0.220  0.8979592 3.453689 0.156300 0.7719298
5     0.220  0.8461538 3.453689 0.156300 0.7719298
6     0.245  1.0000000 3.571429 0.176400 0.8750000
7     0.245  0.8750000 3.571429 0.176400 0.8750000
8     0.215  0.8775510 3.079126 0.145175 0.6825397
9     0.215  0.7543860 3.079126 0.145175 0.6825397
10    0.235  0.9591837 2.821128 0.151700 0.6714286
11    0.250  0.9615385 3.434066 0.177200 0.8620690
12    0.250  0.8928571 3.434066 0.177200 0.8620690
13    0.250  0.9615385 3.373819 0.175900 0.8474576
14    0.250  0.8771930 3.373819 0.175900 0.8474576
15    0.225  0.8653846 2.545249 0.136600 0.6000000
16    0.250  0.9433962 2.774695 0.159900 0.7042254
17    0.245  0.8750000 3.070175 0.165200 0.7656250
18    0.245  0.8596491 3.070175 0.165200 0.7656250
19    0.255  0.9107143 2.678571 0.159800 0.6986301
20    0.255  0.7500000 2.678571 0.159800 0.6986301
21    0.220  0.7719298 2.270382 0.123100 0.5432099
22    0.255  0.7968750 1.562500 0.091800 0.4434783
23    0.245  0.7656250 1.444575 0.075400 0.4049587
24    0.285  0.8906250 1.680425 0.115400 0.5044248
25    0.300  0.9375000 1.689189 0.122400 0.5217391
26    0.285  0.8906250 1.535560 0.099400 0.4634146
27    0.470  0.9215686 1.738809 0.199700 0.8245614
28    0.470  0.8867925 1.738809 0.199700 0.8245614
29    0.475  0.9313725 1.757307 0.204700 0.8407080
30    0.475  0.8962264 1.757307 0.204700 0.8407080
31    0.470  0.9215686 1.660484 0.186950 0.7899160
32    0.470  0.8468468 1.660484 0.186950 0.7899160
33    0.425  0.8333333 1.436782 0.129200 0.6390977
34    0.475  0.8962264 1.690993 0.194100 0.8119658
35    0.475  0.8962264 1.690993 0.194100 0.8119658
36    0.470  0.8867925 1.597824 0.175850 0.7642276
37    0.470  0.8468468 1.597824 0.175850 0.7642276
38    0.420  0.7924528 1.366298 0.112600 0.6086957
39    0.520  0.9811321 1.767806 0.225850 0.9203540
40    0.520  0.9369369 1.767806 0.225850 0.9203540
41    0.420  0.7924528 1.366298 0.112600 0.6086957
42    0.450  0.8108108 1.397950 0.128100 0.6569343
43    0.450  0.7758621 1.397950 0.128100 0.6569343
44    0.220  1.0000000 3.571429 0.158400 0.7857143
45    0.220  0.8979592 3.453689 0.156300 0.7719298
46    0.220  0.8800000 3.591837 0.158750 0.8000000
47    0.210  0.9545455 3.349282 0.147300 0.7118644
48    0.210  0.9767442 3.756708 0.154100 0.7924528
49    0.210  0.8400000 3.428571 0.148750 0.7368421
50    0.210  0.9545455 2.807487 0.135200 0.6000000
51    0.210  0.8936170 3.436989 0.148900 0.7368421
52    0.210  0.9333333 3.809524 0.154875 0.8076923
53    0.215  0.8775510 3.079126 0.145175 0.6825397
54    0.215  1.0000000 3.571429 0.154800 0.7678571
55    0.215  0.8775510 3.581841 0.154975 0.7818182
56    0.235  0.9591837 2.821128 0.151700 0.6714286
57    0.235  1.0000000 3.571429 0.169200 0.8392857
58    0.235  0.9215686 3.761505 0.172525 0.8867925
59    0.205  0.9534884 2.804378 0.131900 0.5857143
60    0.205  0.8723404 3.060844 0.138025 0.6507937
61    0.205  0.9318182 3.803340 0.151100 0.7884615
62    0.240  0.9600000 3.368421 0.168750 0.8135593
63    0.240  0.9600000 3.428571 0.170000 0.8275862
64    0.240  0.9795918 3.767661 0.176300 0.9056604
65    0.225  0.9000000 2.647059 0.140000 0.6164384
66    0.225  1.0000000 3.571429 0.162000 0.8035714
67    0.225  0.8823529 3.393665 0.158700 0.7758621
68    0.215  0.8600000 2.529412 0.130000 0.5733333
69    0.215  0.9555556 3.352827 0.150875 0.7288136
70    0.215  0.9772727 3.758741 0.157800 0.8113208
71    0.220  0.8979592 2.641056 0.136700 0.6027397
72    0.220  0.8627451 3.027176 0.147325 0.6875000
73    0.220  1.0000000 3.571429 0.158400 0.7857143
74    0.225  0.8823529 1.664817 0.089850 0.4017857
75    0.225  0.9183673 1.800720 0.100050 0.4245283
76    0.255  1.0000000 1.886792 0.119850 0.4811321
77    0.255  0.8947368 1.754386 0.109650 0.4722222
78    0.255  1.0000000 1.801802 0.113475 0.4594595
79    0.255  0.8500000 1.666667 0.102000 0.4594595
80    0.235  0.9215686 1.588911 0.087100 0.3916667
81    0.235  0.8245614 1.616787 0.089650 0.4196429
82    0.245  1.0000000 1.886792 0.115150 0.4622642
83    0.245  0.8596491 1.621979 0.093950 0.4298246
84    0.245  1.0000000 1.801802 0.109025 0.4414414
85    0.245  0.8166667 1.540881 0.086000 0.4188034
86    0.235  0.9591837 1.653765 0.092900 0.3983051
87    0.235  0.8245614 1.555776 0.083950 0.4051724
88    0.285  1.0000000 1.801802 0.126825 0.5135135
89    0.285  0.9500000 1.792453 0.126000 0.5229358
90    0.260  0.9122807 1.572898 0.094700 0.4297521
91    0.260  0.9122807 1.721284 0.108950 0.4684685
92    0.275  0.9166667 1.580460 0.101000 0.4545455
93    0.275  0.9649123 1.738581 0.116825 0.4867257
94    0.240  0.9600000 1.811321 0.107500 0.4444444
95    0.240  0.8888889 1.742919 0.102300 0.4444444
96    0.220  0.8800000 1.660377 0.087500 0.3928571
97    0.220  0.8800000 1.725490 0.092500 0.4074074
98    0.220  0.8800000 1.585586 0.081250 0.3760684
99    0.220  0.8000000 1.568627 0.079750 0.3893805
100   0.235  0.8703704 1.642208 0.091900 0.4159292
101   0.235  0.9400000 1.773585 0.102500 0.4311927
102   0.235  0.8703704 1.568235 0.085150 0.3983051
103   0.235  0.8545455 1.612350 0.089250 0.4122807
104   0.245  0.9800000 1.765766 0.106250 0.4375000
105   0.245  0.8909091 1.680961 0.099250 0.4375000
106   0.230  0.8846154 1.669086 0.092200 0.4107143
107   0.230  0.8846154 1.734540 0.097400 0.4259259
108   0.255  0.9807692 1.850508 0.117200 0.4766355
109   0.255  0.9107143 1.785714 0.112200 0.4766355
110   0.250  0.9615385 1.732502 0.105700 0.4424779
111   0.250  0.8928571 1.750700 0.107200 0.4629630
112   0.240  0.9230769 1.591512 0.089200 0.4000000
113   0.240  0.8571429 1.680672 0.097200 0.4363636
114   0.240  0.9230769 1.741655 0.102200 0.4363636
115   0.240  0.8571429 1.617251 0.091600 0.4210526
116   0.235  0.9038462 1.628552 0.090700 0.4051724
117   0.235  0.8392857 1.583558 0.086600 0.4086957
118   0.240  0.9230769 1.591512 0.089200 0.4000000
119   0.240  0.8571429 1.617251 0.091600 0.4210526
120   0.275  0.9821429 1.769627 0.119600 0.4910714
121   0.275  0.9821429 1.853100 0.126600 0.5140187
122   0.260  0.9285714 1.600985 0.097600 0.4333333
123   0.260  0.9285714 1.752022 0.111600 0.4727273
124   0.260  0.9285714 1.600985 0.097600 0.4333333
125   0.260  0.9285714 1.673102 0.104600 0.4521739
126   0.440  0.9361702 1.766359 0.190900 0.7857143
127   0.440  0.9263158 1.747766 0.188250 0.7787611
128   0.440  0.9263158 1.816305 0.197750 0.8073394
129   0.435  0.9255319 1.667625 0.174150 0.7372881
130   0.435  0.9255319 1.746287 0.185900 0.7699115
131   0.435  0.9255319 1.814768 0.195300 0.7981651
132   0.405  0.8617021 1.485693 0.132400 0.6279070
133   0.405  0.9529412 1.798002 0.179750 0.7363636
134   0.405  0.9642857 1.890756 0.190800 0.7714286
135   0.465  0.9789474 1.763869 0.201375 0.8230088
136   0.465  0.9893617 1.866720 0.215900 0.8691589
137   0.465  0.8942308 1.753394 0.199800 0.8230088
138   0.390  0.8210526 1.415608 0.114500 0.5864662
139   0.390  0.9176471 1.731410 0.164750 0.6902655
140   0.390  0.9285714 1.820728 0.175800 0.7222222
141   0.390  0.8297872 1.430668 0.117400 0.5909091
142   0.390  0.9176471 1.653418 0.154125 0.6610169
143   0.390  0.8666667 1.699346 0.160500 0.6842105
144   0.465  0.9789474 1.763869 0.201375 0.8230088
145   0.465  0.9893617 1.866720 0.215900 0.8691589
146   0.465  0.8942308 1.687228 0.189400 0.7948718
147   0.390  0.8210526 1.415608 0.114500 0.5864662
148   0.390  0.9285714 1.752022 0.167400 0.6964286
149   0.390  0.9285714 1.752022 0.167400 0.6964286
150   0.390  0.8297872 1.430668 0.117400 0.5909091
151   0.390  0.9285714 1.673102 0.156900 0.6666667
152   0.390  0.8666667 1.635220 0.151500 0.6610169
153   0.415  0.7980769 1.375995 0.113400 0.6058394
154   0.415  0.9880952 1.780352 0.181900 0.7410714
155   0.415  0.9222222 1.740042 0.176500 0.7345133
156   0.210  0.9545455 3.349282 0.147300 0.7118644
157   0.210  1.0000000 3.571429 0.151200 0.7500000
158   0.210  0.9767442 3.756708 0.154100 0.7924528
159   0.210  0.8750000 3.571429 0.151200 0.7636364
160   0.210  0.9545455 2.807487 0.135200 0.6000000
161   0.210  1.0000000 3.571429 0.151200 0.7500000
162   0.210  0.8936170 3.436989 0.148900 0.7368421
163   0.210  0.9333333 3.809524 0.154875 0.8076923
164   0.200  0.9523810 2.801120 0.128600 0.5714286
165   0.200  0.9523810 3.341688 0.140150 0.6779661
166   0.200  0.9756098 3.752345 0.146700 0.7547170
167   0.200  0.9302326 3.796868 0.147325 0.7692308
168   0.205  0.9534884 2.804378 0.131900 0.5857143
169   0.205  0.8723404 3.060844 0.138025 0.6507937
170   0.205  1.0000000 3.571429 0.147600 0.7321429
171   0.205  0.9318182 3.803340 0.151100 0.7884615
172   0.215  0.8958333 2.634804 0.133400 0.5890411
173   0.215  0.9555556 3.352827 0.150875 0.7288136
174   0.215  1.0000000 3.571429 0.154800 0.7678571
175   0.215  0.9772727 3.758741 0.157800 0.8113208
176   0.225  1.0000000 1.886792 0.105750 0.4245283
177   0.225  0.8823529 1.664817 0.089850 0.4017857
178   0.225  0.9183673 1.800720 0.100050 0.4245283
179   0.225  1.0000000 1.801802 0.100125 0.4054054
180   0.225  0.8823529 1.664817 0.089850 0.4017857
181   0.225  0.9183673 1.800720 0.100050 0.4245283
182   0.220  0.9777778 1.685824 0.089500 0.3760684
183   0.220  0.9361702 1.766359 0.095450 0.4036697
184   0.220  0.9361702 1.835628 0.100150 0.4190476
185   0.255  1.0000000 1.801802 0.113475 0.4594595
186   0.255  1.0000000 1.886792 0.119850 0.4811321
187   0.255  0.8947368 1.754386 0.109650 0.4722222
188   0.235  0.9215686 1.588911 0.087100 0.3916667
189   0.235  1.0000000 1.886792 0.110450 0.4433962
190   0.235  0.9038462 1.772247 0.102400 0.4392523
191   0.235  0.9215686 1.588911 0.087100 0.3916667
192   0.235  1.0000000 1.801802 0.104575 0.4234234
193   0.235  0.8545455 1.675579 0.094750 0.4272727
194   0.245  1.0000000 1.801802 0.109025 0.4414414
195   0.245  1.0000000 1.886792 0.115150 0.4622642
196   0.245  0.8596491 1.621979 0.093950 0.4298246
197   0.235  0.9591837 1.653765 0.092900 0.3983051
198   0.235  1.0000000 1.886792 0.110450 0.4433962
199   0.235  0.9038462 1.705370 0.097200 0.4234234
200   0.235  0.9591837 1.653765 0.092900 0.3983051
201   0.235  1.0000000 1.801802 0.104575 0.4234234
202   0.235  0.8545455 1.612350 0.089250 0.4122807
203   0.260  0.9122807 1.572898 0.094700 0.4297521
204   0.260  1.0000000 1.801802 0.115700 0.4684685
205   0.260  0.9454545 1.783877 0.114250 0.4770642
206   0.215  0.8958333 1.690252 0.087800 0.3873874
207   0.215  0.9772727 1.843911 0.098400 0.4018692
208   0.215  0.9148936 1.793909 0.095150 0.4056604
209   0.215  0.8958333 1.614114 0.081800 0.3706897
210   0.215  0.9772727 1.843911 0.098400 0.4018692
211   0.215  0.9148936 1.793909 0.095150 0.4056604
212   0.215  0.9772727 1.760852 0.092900 0.3839286
213   0.215  0.9772727 1.843911 0.098400 0.4018692
214   0.215  0.8775510 1.720688 0.090050 0.3981481
215   0.230  0.9787234 1.763466 0.099575 0.4107143
216   0.230  0.9787234 1.846648 0.105450 0.4299065
217   0.230  0.9387755 1.771275 0.100150 0.4220183
218   0.225  0.9782609 1.845775 0.103100 0.4205607
219   0.225  0.8823529 1.664817 0.089850 0.4017857
220   0.225  0.9375000 1.838235 0.102600 0.4285714
221   0.220  0.9565217 1.723463 0.092350 0.3893805
222   0.220  0.8800000 1.660377 0.087500 0.3928571
223   0.220  0.9361702 1.835628 0.100150 0.4190476
224   0.225  0.9782609 1.686657 0.091600 0.3846154
225   0.225  0.9375000 1.768868 0.097800 0.4128440
226   0.225  0.9375000 1.838235 0.102600 0.4285714
227   0.250  0.9803922 1.766472 0.108475 0.4464286
228   0.250  1.0000000 1.886792 0.117500 0.4716981
229   0.250  0.9090909 1.782531 0.109750 0.4672897
230   0.235  0.9215686 1.588911 0.087100 0.3916667
231   0.235  0.9791667 1.847484 0.107800 0.4392523
232   0.235  0.9038462 1.772247 0.102400 0.4392523
233   0.230  0.9200000 1.586207 0.085000 0.3833333
234   0.230  0.9583333 1.726727 0.096800 0.4070796
235   0.230  0.8846154 1.734540 0.097400 0.4259259
236   0.235  0.9791667 1.764264 0.101800 0.4196429
237   0.235  1.0000000 1.886792 0.110450 0.4433962
238   0.235  0.8545455 1.612350 0.089250 0.4122807
239   0.235  0.9791667 1.688218 0.095800 0.4017094
240   0.235  0.9791667 1.847484 0.107800 0.4392523
