   support confidence     lift      leverage   jaccard
1    0.500  0.5000000 1.000000  0.000000e+00 0.5000000
2    0.500  0.5000000 1.000000  0.000000e+00 0.5000000
3    0.510  0.5100000 1.000000  0.000000e+00 0.5100000
4    0.530  0.5300000 1.000000  0.000000e+00 0.5300000
5    0.530  0.5300000 1.000000  0.000000e+00 0.5300000
6    0.555  0.5550000 1.000000  0.000000e+00 0.5550000
7    0.580  0.5800000 1.000000 -1.110223e-16 0.5800000
8    0.470  0.9215686 1.738809  1.997000e-01 0.8245614
9    0.470  0.8867925 1.738809  1.997000e-01 0.8245614
10   0.475  0.9313725 1.757307  2.047000e-01 0.8407080
11   0.475  0.8962264 1.757307  2.047000e-01 0.8407080
12   0.470  0.9215686 1.660484  1.869500e-01 0.7899160
13   0.470  0.8468468 1.660484  1.869500e-01 0.7899160
14   0.425  0.8333333 1.436782  1.292000e-01 0.6390977
15   0.425  0.7327586 1.436782  1.292000e-01 0.6390977
16   0.475  0.8962264 1.690993  1.941000e-01 0.8119658
17   0.475  0.8962264 1.690993  1.941000e-01 0.8119658
18   0.470  0.8867925 1.597824  1.758500e-01 0.7642276
19   0.470  0.8468468 1.597824  1.758500e-01 0.7642276
20   0.420  0.7924528 1.366298  1.126000e-01 0.6086957
21   0.420  0.7241379 1.366298  1.126000e-01 0.6086957
22   0.520  0.9811321 1.767806  2.258500e-01 0.9203540
23   0.520  0.9369369 1.767806  2.258500e-01 0.9203540
24   0.420  0.7924528 1.366298  1.126000e-01 0.6086957
25   0.420  0.7241379 1.366298  1.126000e-01 0.6086957
26   0.450  0.8108108 1.397950  1.281000e-01 0.6569343
27   0.450  0.7758621 1.397950  1.281000e-01 0.6569343
28   0.440  0.9361702 1.766359  1.909000e-01 0.7857143
29   0.440  0.9263158 1.747766  1.882500e-01 0.7787611
30   0.440  0.9263158 1.816305  1.977500e-01 0.8073394
31   0.435  0.9255319 1.667625  1.741500e-01 0.7372881
32   0.435  0.9255319 1.746287  1.859000e-01 0.7699115
33   0.435  0.9255319 1.814768  1.953000e-01 0.7981651
34   0.405  0.8617021 1.485693  1.324000e-01 0.6279070
35   0.405  0.9529412 1.798002  1.797500e-01 0.7363636
36   0.405  0.9642857 1.890756  1.908000e-01 0.7714286
37   0.465  0.9789474 1.763869  2.013750e-01 0.8230088
38   0.465  0.9893617 1.866720  2.159000e-01 0.8691589
39   0.465  0.8942308 1.753394  1.998000e-01 0.8230088
40   0.390  0.8210526 1.415608  1.145000e-01 0.5864662
41   0.390  0.9176471 1.731410  1.647500e-01 0.6902655
42   0.390  0.9285714 1.820728  1.758000e-01 0.7222222
43   0.390  0.8297872 1.430668  1.174000e-01 0.5909091
44   0.390  0.9176471 1.653418  1.541250e-01 0.6610169
45   0.390  0.8666667 1.699346  1.605000e-01 0.6842105
46   0.465  0.9789474 1.763869  2.013750e-01 0.8230088
47   0.465  0.9893617 1.866720  2.159000e-01 0.8691589
48   0.465  0.8942308 1.687228  1.894000e-01 0.7948718
49   0.390  0.8210526 1.415608  1.145000e-01 0.5864662
50   0.390  0.9285714 1.752022  1.674000e-01 0.6964286
51   0.390  0.9285714 1.752022  1.674000e-01 0.6964286
52   0.390  0.8297872 1.430668  1.174000e-01 0.5909091
53   0.390  0.9285714 1.673102  1.569000e-01 0.6666667
54   0.390  0.8666667 1.635220  1.515000e-01 0.6610169
55   0.415  0.7980769 1.375995  1.134000e-01 0.6058394
56   0.415  0.9880952 1.780352  1.819000e-01 0.7410714
57   0.415  0.9222222 1.740042  1.765000e-01 0.7345133
58   0.430  0.9772727 1.760852  1.858000e-01 0.7610619
59   0.430  0.9885057 1.865105  1.994500e-01 0.8037383
60   0.430  0.9247312 1.744776  1.835500e-01 0.7610619
61   0.430  0.9247312 1.813198  1.928500e-01 0.7889908
62   0.375  0.8522727 1.469436  1.198000e-01 0.5813953
63   0.375  0.9259259 1.747030  1.603500e-01 0.6696429
64   0.375  0.9615385 1.814224  1.683000e-01 0.6880734
65   0.375  0.9615385 1.885370  1.761000e-01 0.7142857
66   0.375  0.8620690 1.486326  1.227000e-01 0.5859375
67   0.375  0.9259259 1.668335  1.502250e-01 0.6410256
68   0.375  0.9615385 1.814224  1.683000e-01 0.6880734
69   0.375  0.9615385 1.885370  1.761000e-01 0.7142857
70   0.385  0.8279570 1.427512  1.153000e-01 0.5833333
71   0.385  0.9871795 1.778702  1.685500e-01 0.6875000
72   0.385  0.9871795 1.862603  1.783000e-01 0.7196262
73   0.385  0.9277108 1.819041  1.733500e-01 0.7129630
74   0.385  0.8279570 1.427512  1.153000e-01 0.5833333
75   0.385  0.9871795 1.778702  1.685500e-01 0.6875000
76   0.385  0.9871795 1.862603  1.783000e-01 0.7196262
77   0.385  0.9277108 1.750398  1.650500e-01 0.6875000
78   0.370  0.8604651 1.483561  1.206000e-01 0.5781250
79   0.370  0.9866667 1.777778  1.618750e-01 0.6607143
80   0.370  0.9866667 1.861635  1.712500e-01 0.6915888
81   0.370  0.9610390 1.813281  1.659500e-01 0.6788991
82   0.370  0.9610390 1.884390  1.736500e-01 0.7047619
