    support confidence     lift leverage    jaccard
1     0.190          1 5.000000 0.152000 0.95000000
2     0.245          1 3.571429 0.176400 0.87500000
3     0.135          1 3.846154 0.099900 0.51923077
4     0.135          1 4.081633 0.101925 0.55102041
5     0.135          1 3.571429 0.097200 0.48214286
6     0.135          1 4.081633 0.101925 0.55102041
7     0.105          1 6.451613 0.088725 0.67741935
8     0.135          1 3.571429 0.097200 0.48214286
9     0.135          1 3.846154 0.099900 0.51923077
10    0.170          1 5.000000 0.136000 0.85000000
11    0.170          1 5.263158 0.137700 0.89473684
12    0.170          1 4.347826 0.130900 0.73913043
13    0.170          1 4.347826 0.130900 0.73913043
14    0.105          1 4.347826 0.080850 0.45652174
15    0.080          1 3.773585 0.058800 0.30188679
16    0.080          1 2.941176 0.052800 0.23529412
17    0.185          1 5.000000 0.148000 0.92500000
18    0.185          1 5.263158 0.149850 0.97368421
19    0.175          1 5.000000 0.140000 0.87500000
20    0.180          1 5.000000 0.144000 0.90000000
21    0.080          1 5.000000 0.064000 0.40000000
22    0.110          1 5.000000 0.088000 0.55000000
23    0.175          1 4.347826 0.134750 0.76086957
24    0.080          1 4.347826 0.061600 0.34782609
25    0.080          1 3.773585 0.058800 0.30188679
26    0.095          1 5.263158 0.076950 0.50000000
27    0.080          1 2.941176 0.052800 0.23529412
28    0.085          1 3.773585 0.062475 0.32075472
29    0.095          1 5.000000 0.076000 0.47500000
30    0.085          1 2.941176 0.056100 0.25000000
31    0.105          1 3.773585 0.077175 0.39622642
32    0.095          1 4.347826 0.073150 0.41304348
33    0.220          1 3.571429 0.158400 0.78571429
34    0.105          1 3.846154 0.077700 0.40384615
35    0.215          1 3.571429 0.154800 0.76785714
36    0.235          1 3.571429 0.169200 0.83928571
37    0.140          1 3.571429 0.100800 0.50000000
38    0.105          1 3.571429 0.075600 0.37500000
39    0.110          1 3.571429 0.079200 0.39285714
40    0.110          1 2.000000 0.055000 0.22000000
41    0.225          1 3.571429 0.162000 0.80357143
42    0.110          1 3.846154 0.081400 0.42307692
43    0.145          1 3.508772 0.103675 0.50877193
44    0.125          1 3.508772 0.089375 0.43859649
45    0.065          1 2.000000 0.032500 0.13000000
46    0.090          1 2.000000 0.045000 0.18000000
47    0.085          1 2.000000 0.042500 0.17000000
48    0.065          1 1.886792 0.030550 0.12264151
49    0.085          1 1.886792 0.039950 0.16037736
50    0.220          1 3.571429 0.158400 0.78571429
51    0.255          1 1.886792 0.119850 0.48113208
52    0.255          1 1.801802 0.113475 0.45945946
53    0.245          1 1.886792 0.115150 0.46226415
54    0.245          1 1.801802 0.109025 0.44144144
55    0.285          1 1.801802 0.126825 0.51351351
56    0.150          1 1.886792 0.070500 0.28301887
57    0.085          1 1.960784 0.041650 0.16666667
58    0.085          1 1.886792 0.039950 0.16037736
59    0.085          1 1.801802 0.037825 0.15315315
60    0.135          1 3.571429 0.097200 0.48214286
61    0.135          1 3.846154 0.099900 0.51923077
62    0.135          1 4.081633 0.101925 0.55102041
63    0.125          1 3.846154 0.092500 0.48076923
64    0.125          1 4.081633 0.094375 0.51020408
65    0.130          1 3.846154 0.096200 0.50000000
66    0.130          1 4.081633 0.098150 0.53061224
67    0.105          1 3.846154 0.077700 0.40384615
68    0.105          1 4.081633 0.079275 0.42857143
69    0.105          1 6.451613 0.088725 0.67741935
70    0.125          1 3.571429 0.090000 0.44642857
71    0.125          1 4.081633 0.094375 0.51020408
72    0.130          1 3.571429 0.093600 0.46428571
73    0.130          1 4.081633 0.098150 0.53061224
74    0.105          1 3.571429 0.075600 0.37500000
75    0.105          1 4.081633 0.079275 0.42857143
76    0.105          1 6.451613 0.088725 0.67741935
77    0.120          1 4.081633 0.090600 0.48979592
78    0.095          1 6.451613 0.080275 0.61290323
79    0.100          1 6.451613 0.084500 0.64516129
80    0.125          1 3.571429 0.090000 0.44642857
81    0.125          1 3.846154 0.092500 0.48076923
82    0.130          1 3.571429 0.093600 0.46428571
83    0.130          1 3.846154 0.096200 0.50000000
84    0.105          1 3.571429 0.075600 0.37500000
85    0.105          1 3.846154 0.077700 0.40384615
86    0.120          1 3.846154 0.088800 0.46153846
87    0.100          1 6.451613 0.084500 0.64516129
88    0.120          1 3.571429 0.086400 0.42857143
89    0.100          1 6.451613 0.084500 0.64516129
90    0.090          1 6.451613 0.076050 0.58064516
91    0.170          1 4.347826 0.130900 0.73913043
92    0.170          1 5.000000 0.136000 0.85000000
93    0.170          1 5.263158 0.137700 0.89473684
94    0.160          1 5.000000 0.128000 0.80000000
95    0.160          1 5.263158 0.129600 0.84210526
96    0.160          1 5.000000 0.128000 0.80000000
97    0.160          1 5.263158 0.129600 0.84210526
98    0.070          1 5.000000 0.056000 0.35000000
99    0.070          1 5.263158 0.056700 0.36842105
100   0.100          1 5.000000 0.080000 0.50000000
101   0.100          1 5.263158 0.081000 0.52631579
102   0.160          1 4.347826 0.123200 0.69565217
103   0.160          1 4.347826 0.123200 0.69565217
104   0.070          1 4.347826 0.053900 0.30434783
105   0.100          1 4.347826 0.077000 0.43478261
106   0.070          1 3.773585 0.051450 0.26415094
107   0.090          1 5.263158 0.072900 0.47368421
108   0.070          1 2.941176 0.046200 0.20588235
109   0.160          1 4.347826 0.123200 0.69565217
110   0.160          1 4.347826 0.123200 0.69565217
111   0.070          1 4.347826 0.053900 0.30434783
112   0.100          1 4.347826 0.077000 0.43478261
113   0.070          1 3.773585 0.051450 0.26415094
114   0.090          1 5.000000 0.072000 0.45000000
115   0.070          1 2.941176 0.046200 0.20588235
116   0.075          1 3.773585 0.055125 0.28301887
117   0.090          1 4.347826 0.069300 0.39130435
118   0.075          1 2.941176 0.049500 0.22058824
119   0.095          1 4.347826 0.073150 0.41304348
120   0.080          1 2.941176 0.052800 0.23529412
121   0.080          1 3.773585 0.058800 0.30188679
122   0.175          1 4.347826 0.134750 0.76086957
123   0.175          1 5.000000 0.140000 0.87500000
124   0.175          1 5.263158 0.141750 0.92105263
125   0.175          1 5.000000 0.140000 0.87500000
126   0.175          1 5.263158 0.141750 0.92105263
127   0.080          1 4.347826 0.061600 0.34782609
128   0.080          1 5.000000 0.064000 0.40000000
129   0.080          1 5.263158 0.064800 0.42105263
130   0.105          1 5.000000 0.084000 0.52500000
131   0.105          1 5.263158 0.085050 0.55263158
132   0.170          1 5.000000 0.136000 0.85000000
133   0.080          1 3.773585 0.058800 0.30188679
134   0.080          1 5.000000 0.064000 0.40000000
135   0.095          1 5.000000 0.076000 0.47500000
136   0.095          1 5.263158 0.076950 0.50000000
137   0.080          1 2.941176 0.052800 0.23529412
138   0.080          1 5.000000 0.064000 0.40000000
139   0.100          1 5.000000 0.080000 0.50000000
140   0.170          1 4.347826 0.130900 0.73913043
141   0.080          1 3.773585 0.058800 0.30188679
142   0.080          1 4.347826 0.061600 0.34782609
143   0.095          1 4.347826 0.073150 0.41304348
144   0.095          1 5.263158 0.076950 0.50000000
145   0.080          1 2.941176 0.052800 0.23529412
146   0.080          1 4.347826 0.061600 0.34782609
147   0.080          1 2.941176 0.052800 0.23529412
148   0.080          1 3.773585 0.058800 0.30188679
149   0.090          1 5.263158 0.072900 0.47368421
150   0.080          1 3.773585 0.058800 0.30188679
151   0.095          1 4.347826 0.073150 0.41304348
152   0.095          1 5.000000 0.076000 0.47500000
153   0.080          1 2.941176 0.052800 0.23529412
154   0.085          1 2.941176 0.056100 0.25000000
155   0.085          1 3.773585 0.062475 0.32075472
156   0.090          1 5.000000 0.072000 0.45000000
157   0.100          1 3.773585 0.073500 0.37735849
158   0.090          1 4.347826 0.069300 0.39130435
159   0.210          1 3.571429 0.151200 0.75000000
160   0.210          1 3.571429 0.151200 0.75000000
161   0.115          1 3.571429 0.082800 0.41071429
162   0.105          1 3.571429 0.075600 0.37500000
163   0.105          1 3.846154 0.077700 0.40384615
164   0.085          1 3.571429 0.061200 0.30357143
165   0.115          1 3.508772 0.082225 0.40350877
166   0.095          1 3.846154 0.070300 0.36538462
167   0.085          1 3.508772 0.060775 0.29824561
168   0.100          1 3.846154 0.074000 0.38461538
169   0.100          1 4.081633 0.075500 0.40816327
170   0.085          1 2.000000 0.042500 0.17000000
171   0.205          1 3.571429 0.147600 0.73214286
172   0.120          1 3.571429 0.086400 0.42857143
173   0.095          1 3.571429 0.068400 0.33928571
174   0.090          1 3.571429 0.064800 0.32142857
175   0.135          1 3.571429 0.097200 0.48214286
176   0.100          1 3.571429 0.072000 0.35714286
177   0.100          1 4.081633 0.075500 0.40816327
178   0.105          1 3.571429 0.075600 0.37500000
179   0.110          1 2.000000 0.055000 0.22000000
180   0.110          1 3.571429 0.079200 0.39285714
181   0.090          1 4.081633 0.067950 0.36734694
182   0.090          1 2.000000 0.045000 0.18000000
183   0.105          1 2.000000 0.052500 0.21000000
184   0.215          1 3.571429 0.154800 0.76785714
185   0.140          1 3.508772 0.100100 0.49122807
186   0.100          1 3.846154 0.074000 0.38461538
187   0.115          1 3.508772 0.082225 0.40350877
188   0.125          1 3.571429 0.090000 0.44642857
189   0.100          1 3.571429 0.072000 0.35714286
190   0.100          1 3.846154 0.074000 0.38461538
191   0.095          1 3.571429 0.068400 0.33928571
192   0.125          1 3.508772 0.089375 0.43859649
193   0.090          1 3.846154 0.066600 0.34615385
194   0.095          1 3.508772 0.067925 0.33333333
195   0.115          1 3.508772 0.082225 0.40350877
196   0.095          1 2.000000 0.047500 0.19000000
197   0.060          1 2.000000 0.030000 0.12000000
198   0.080          1 2.000000 0.040000 0.16000000
199   0.075          1 2.000000 0.037500 0.15000000
200   0.060          1 1.886792 0.028200 0.11320755
201   0.075          1 1.886792 0.035250 0.14150943
202   0.060          1 2.000000 0.030000 0.12000000
203   0.065          1 1.886792 0.030550 0.12264151
204   0.065          1 2.000000 0.032500 0.13000000
205   0.060          1 2.000000 0.030000 0.12000000
206   0.080          1 2.000000 0.040000 0.16000000
207   0.075          1 2.000000 0.037500 0.15000000
208   0.085          1 1.886792 0.039950 0.16037736
209   0.085          1 2.000000 0.042500 0.17000000
210   0.060          1 1.886792 0.028200 0.11320755
211   0.060          1 1.886792 0.028200 0.11320755
212   0.075          1 1.886792 0.035250 0.14150943
213   0.130          1 3.571429 0.093600 0.46428571
214   0.090          1 3.571429 0.064800 0.32142857
215   0.100          1 3.571429 0.072000 0.35714286
216   0.125          1 2.000000 0.062500 0.25000000
217   0.100          1 2.000000 0.050000 0.20000000
218   0.135          1 1.886792 0.063450 0.25471698
219   0.135          1 1.886792 0.063450 0.25471698
220   0.135          1 1.801802 0.060075 0.24324324
221   0.140          1 1.886792 0.065800 0.26415094
222   0.140          1 1.801802 0.062300 0.25225225
223   0.145          1 1.801802 0.064525 0.26126126
