     support confidence     lift leverage    jaccard
1      0.135  0.8709677 3.554970 0.097025 0.50943396
2      0.135  0.8709677 3.349876 0.094700 0.48214286
3      0.135  0.8709677 3.110599 0.091600 0.45000000
4      0.140  0.9032258 3.169213 0.095825 0.46666667
5      0.135  0.8709677 2.561670 0.082300 0.37500000
6      0.125  0.8064516 1.612903 0.047500 0.23584906
7      0.170  0.9189189 4.836415 0.134850 0.82926829
8      0.170  0.8947368 4.836415 0.134850 0.82926829
9      0.170  0.9189189 4.594595 0.133000 0.79069767
10     0.170  0.8500000 4.594595 0.133000 0.79069767
11     0.180  0.9729730 4.230317 0.137450 0.76595745
12     0.180  0.7826087 4.230317 0.137450 0.76595745
13     0.170  0.9189189 3.467619 0.120975 0.60714286
14     0.175  0.9459459 2.782194 0.112100 0.50000000
15     0.190  1.0000000 5.000000 0.152000 0.95000000
16     0.190  0.9500000 5.000000 0.152000 0.95000000
17     0.185  0.9736842 4.233410 0.141300 0.78723404
18     0.185  0.8043478 4.233410 0.141300 0.78723404
19     0.175  0.9210526 3.475670 0.124650 0.62500000
20     0.180  0.9473684 2.786378 0.115400 0.51428571
21     0.185  0.9250000 4.021739 0.139000 0.75510204
22     0.185  0.8043478 4.021739 0.139000 0.75510204
23     0.180  0.9000000 3.396226 0.127000 0.63157895
24     0.190  0.9500000 2.794118 0.122000 0.54285714
25     0.200  0.8695652 3.281378 0.139050 0.67796610
26     0.200  0.7547170 3.281378 0.139050 0.67796610
27     0.200  0.8695652 2.557545 0.121800 0.54054054
28     0.220  0.8979592 3.453689 0.156300 0.77192982
29     0.220  0.8461538 3.453689 0.156300 0.77192982
30     0.245  1.0000000 3.571429 0.176400 0.87500000
31     0.245  0.8750000 3.571429 0.176400 0.87500000
32     0.215  0.8775510 3.079126 0.145175 0.68253968
33     0.215  0.7543860 3.079126 0.145175 0.68253968
34     0.235  0.9591837 2.821128 0.151700 0.67142857
35     0.250  0.9615385 3.434066 0.177200 0.86206897
36     0.250  0.8928571 3.434066 0.177200 0.86206897
37     0.250  0.9615385 3.373819 0.175900 0.84745763
38     0.250  0.8771930 3.373819 0.175900 0.84745763
39     0.225  0.8653846 2.545249 0.136600 0.60000000
40     0.250  0.9433962 2.774695 0.159900 0.70422535
41     0.245  0.8750000 3.070175 0.165200 0.76562500
42     0.245  0.8596491 3.070175 0.165200 0.76562500
43     0.255  0.9107143 2.678571 0.159800 0.69863014
44     0.255  0.7500000 2.678571 0.159800 0.69863014
45     0.220  0.7719298 2.270382 0.123100 0.54320988
46     0.255  0.7968750 1.562500 0.091800 0.44347826
47     0.245  0.7656250 1.444575 0.075400 0.40495868
48     0.285  0.8906250 1.680425 0.115400 0.50442478
49     0.300  0.9375000 1.689189 0.122400 0.52173913
50     0.285  0.8906250 1.535560 0.099400 0.46341463
51     0.470  0.9215686 1.738809 0.199700 0.82456140
52     0.470  0.8867925 1.738809 0.199700 0.82456140
53     0.475  0.9313725 1.757307 0.204700 0.84070796
54     0.475  0.8962264 1.757307 0.204700 0.84070796
55     0.470  0.9215686 1.660484 0.186950 0.78991597
56     0.470  0.8468468 1.660484 0.186950 0.78991597
57     0.425  0.8333333 1.436782 0.129200 0.63909774
58     0.475  0.8962264 1.690993 0.194100 0.81196581
59     0.475  0.8962264 1.690993 0.194100 0.81196581
60     0.470  0.8867925 1.597824 0.175850 0.76422764
61     0.470  0.8468468 1.597824 0.175850 0.76422764
62     0.420  0.7924528 1.366298 0.112600 0.60869565
63     0.520  0.9811321 1.767806 0.225850 0.92035398
64     0.520  0.9369369 1.767806 0.225850 0.92035398
65     0.420  0.7924528 1.366298 0.112600 0.60869565
66     0.450  0.8108108 1.397950 0.128100 0.65693431
67     0.450  0.7758621 1.397950 0.128100 0.65693431
68     0.135  1.0000000 3.846154 0.099900 0.51923077
69     0.135  1.0000000 4.081633 0.101925 0.55102041
70     0.135  1.0000000 3.571429 0.097200 0.48214286
71     0.135  1.0000000 4.081633 0.101925 0.55102041
72     0.125  0.9259259 3.248863 0.086525 0.42372881
73     0.125  0.8928571 3.644315 0.090700 0.48076923
74     0.130  0.9629630 2.832244 0.084100 0.37681159
75     0.130  0.9629630 3.930461 0.096925 0.52000000
76     0.105  0.7777778 1.555556 0.037500 0.19811321
77     0.105  0.8400000 3.428571 0.074375 0.39622642
78     0.105  1.0000000 6.451613 0.088725 0.67741935
79     0.135  1.0000000 3.571429 0.097200 0.48214286
80     0.135  1.0000000 3.846154 0.099900 0.51923077
81     0.125  0.9259259 3.248863 0.086525 0.42372881
82     0.125  0.8928571 3.434066 0.088600 0.45454545
83     0.130  0.9629630 2.832244 0.084100 0.37681159
84     0.130  0.9629630 3.703704 0.094900 0.49056604
85     0.105  0.7777778 1.555556 0.037500 0.19811321
86     0.105  0.8400000 3.230769 0.072500 0.37500000
87     0.105  0.9130435 5.890603 0.087175 0.63636364
88     0.125  0.9259259 3.248863 0.086525 0.42372881
89     0.125  0.8928571 3.188776 0.085800 0.42372881
90     0.130  0.9629630 2.832244 0.084100 0.37681159
91     0.130  0.9629630 3.439153 0.092200 0.45614035
92     0.105  0.7777778 1.555556 0.037500 0.19811321
