     support confidence      lift leverage   jaccard
1      0.050  0.8333333  6.410256 0.042200 0.3571429
2      0.055  0.9166667  5.555556 0.045100 0.3235294
3      0.055  0.9166667  5.392157 0.044800 0.3142857
4      0.055  0.9166667  5.238095 0.044500 0.3055556
5      0.060  1.0000000  3.846154 0.044400 0.2307692
6      0.055  0.9166667  1.833333 0.025000 0.1089109
7      0.100  0.9090909  7.905138 0.087350 0.8000000
8      0.100  0.8695652  7.905138 0.087350 0.8000000
9      0.100  0.9090909  7.905138 0.087350 0.8000000
10     0.100  0.8695652  7.905138 0.087350 0.8000000
11     0.110  1.0000000  8.000000 0.096250 0.8800000
12     0.110  0.8800000  8.000000 0.096250 0.8800000
13     0.110  1.0000000  7.142857 0.094600 0.7857143
14     0.110  1.0000000  3.846154 0.081400 0.4230769
15     0.110  0.9565217  8.317580 0.096775 0.9166667
16     0.110  0.9565217  8.317580 0.096775 0.9166667
17     0.110  0.9565217  7.652174 0.095625 0.8461538
18     0.110  0.8800000  7.652174 0.095625 0.8461538
19     0.110  0.9565217  6.832298 0.093900 0.7586207
20     0.115  1.0000000  3.846154 0.085100 0.4423077
21     0.105  0.9130435  7.304348 0.090625 0.7777778
22     0.105  0.8400000  7.304348 0.090625 0.7777778
23     0.115  1.0000000  7.142857 0.098900 0.8214286
24     0.115  0.8214286  7.142857 0.098900 0.8214286
25     0.115  1.0000000  3.846154 0.085100 0.4423077
26     0.120  0.9600000  6.857143 0.102500 0.8275862
27     0.120  0.8571429  6.857143 0.102500 0.8275862
28     0.125  1.0000000  3.846154 0.092500 0.4807692
29     0.125  0.9615385  5.827506 0.103550 0.7352941
30     0.125  0.9615385  5.656109 0.102900 0.7142857
31     0.130  1.0000000  5.714286 0.107250 0.7428571
32     0.130  1.0000000  3.846154 0.096200 0.5000000
33     0.140  1.0000000  3.846154 0.103600 0.5384615
34     0.155  0.9393939  5.525847 0.126950 0.8611111
35     0.155  0.9117647  5.525847 0.126950 0.8611111
36     0.155  0.9393939  5.367965 0.126125 0.8378378
37     0.155  0.8857143  5.367965 0.126125 0.8378378
38     0.155  0.9393939  3.613054 0.112100 0.5740741
39     0.165  0.9705882  5.546218 0.135250 0.9166667
40     0.165  0.9428571  5.546218 0.135250 0.9166667
41     0.160  0.9411765  3.619910 0.115800 0.5925926
42     0.165  0.9428571  3.626374 0.119500 0.6111111
43     0.200  0.8333333  2.109705 0.105200 0.4597701
44     0.210  0.8750000  2.160494 0.112800 0.4827586
45     0.310  0.9841270  2.811791 0.199750 0.8732394
46     0.310  0.8857143  2.811791 0.199750 0.8732394
47     0.290  0.9206349  2.593338 0.178175 0.7631579
48     0.290  0.8169014  2.593338 0.178175 0.7631579
49     0.285  0.9047619  2.478800 0.170025 0.7215190
50     0.275  0.8730159  2.054155 0.141125 0.5913978
51     0.305  0.8840580  2.422077 0.179075 0.7530864
52     0.305  0.8356164  2.422077 0.179075 0.7530864
53     0.310  0.8985507  2.274812 0.173725 0.7209302
54     0.305  0.8840580  2.182859 0.165275 0.6853933
55     0.295  0.8428571  2.374245 0.170750 0.7195122
56     0.295  0.8309859  2.374245 0.170750 0.7195122
57     0.295  0.8428571  2.309198 0.167250 0.7023810
58     0.295  0.8082192  2.309198 0.167250 0.7023810
59     0.300  0.8571429  2.016807 0.151250 0.6315789
60     0.315  0.8873239  2.431025 0.185425 0.7777778
61     0.315  0.8630137  2.431025 0.185425 0.7777778
62     0.305  0.8591549  2.021541 0.154125 0.6421053
63     0.305  0.8356164  1.966156 0.149875 0.6288660
64     0.340  0.9315068  2.358245 0.195825 0.8095238
65     0.340  0.8607595  2.358245 0.195825 0.8095238
66     0.315  0.8630137  2.130898 0.167175 0.6923077
67     0.360  0.9113924  2.250352 0.200025 0.8181818
68     0.360  0.8888889  2.250352 0.200025 0.8181818
69     0.050  1.0000000  6.060606 0.041750 0.3030303
70     0.050  0.9090909  6.993007 0.042850 0.3703704
71     0.050  1.0000000  5.882353 0.041500 0.2941176
72     0.050  0.9090909  6.993007 0.042850 0.3703704
73     0.050  1.0000000  5.714286 0.041250 0.2857143
74     0.050  0.9090909  6.993007 0.042850 0.3703704
