     support confidence     lift leverage   jaccard
1      0.055  0.9166667 5.555556 0.045100 0.3235294
2      0.055  0.9166667 5.392157 0.044800 0.3142857
3      0.055  0.9166667 5.238095 0.044500 0.3055556
4      0.060  1.0000000 3.846154 0.044400 0.2307692
5      0.055  0.9166667 1.833333 0.025000 0.1089109
6      0.100  0.9090909 7.905138 0.087350 0.8000000
7      0.100  0.9090909 7.905138 0.087350 0.8000000
8      0.110  1.0000000 8.000000 0.096250 0.8800000
9      0.110  1.0000000 7.142857 0.094600 0.7857143
10     0.110  1.0000000 3.846154 0.081400 0.4230769
11     0.110  0.9565217 8.317580 0.096775 0.9166667
12     0.110  0.9565217 8.317580 0.096775 0.9166667
13     0.110  0.9565217 7.652174 0.095625 0.8461538
14     0.110  0.9565217 6.832298 0.093900 0.7586207
15     0.115  1.0000000 3.846154 0.085100 0.4423077
16     0.105  0.9130435 7.304348 0.090625 0.7777778
17     0.115  1.0000000 7.142857 0.098900 0.8214286
18     0.115  1.0000000 3.846154 0.085100 0.4423077
19     0.120  0.9600000 6.857143 0.102500 0.8275862
20     0.125  1.0000000 3.846154 0.092500 0.4807692
21     0.125  0.9615385 5.827506 0.103550 0.7352941
22     0.125  0.9615385 5.656109 0.102900 0.7142857
23     0.130  1.0000000 5.714286 0.107250 0.7428571
24     0.130  1.0000000 3.846154 0.096200 0.5000000
25     0.140  1.0000000 3.846154 0.103600 0.5384615
26     0.155  0.9393939 5.525847 0.126950 0.8611111
27     0.155  0.9117647 5.525847 0.126950 0.8611111
28     0.155  0.9393939 5.367965 0.126125 0.8378378
29     0.155  0.9393939 3.613054 0.112100 0.5740741
30     0.165  0.9705882 5.546218 0.135250 0.9166667
31     0.165  0.9428571 5.546218 0.135250 0.9166667
32     0.160  0.9411765 3.619910 0.115800 0.5925926
33     0.165  0.9428571 3.626374 0.119500 0.6111111
34     0.310  0.9841270 2.811791 0.199750 0.8732394
35     0.290  0.9206349 2.593338 0.178175 0.7631579
36     0.285  0.9047619 2.478800 0.170025 0.7215190
37     0.340  0.9315068 2.358245 0.195825 0.8095238
38     0.360  0.9113924 2.250352 0.200025 0.8181818
39     0.050  1.0000000 6.060606 0.041750 0.3030303
40     0.050  0.9090909 6.993007 0.042850 0.3703704
41     0.050  1.0000000 5.882353 0.041500 0.2941176
42     0.050  0.9090909 6.993007 0.042850 0.3703704
43     0.050  1.0000000 5.714286 0.041250 0.2857143
44     0.050  0.9090909 6.993007 0.042850 0.3703704
45     0.050  1.0000000 3.846154 0.037000 0.1923077
46     0.055  1.0000000 5.882353 0.045650 0.3235294
47     0.055  1.0000000 6.060606 0.045925 0.3333333
48     0.055  1.0000000 5.714286 0.045375 0.3142857
49     0.055  1.0000000 6.060606 0.045925 0.3333333
50     0.055  1.0000000 3.846154 0.040700 0.2115385
51     0.055  0.9166667 5.555556 0.045100 0.3235294
52     0.050  0.9090909 1.818182 0.022500 0.0990099
53     0.050  0.9090909 5.509642 0.040925 0.2941176
54     0.055  1.0000000 5.714286 0.045375 0.3142857
55     0.055  1.0000000 5.882353 0.045650 0.3235294
56     0.055  1.0000000 3.846154 0.040700 0.2115385
57     0.055  0.9166667 5.392157 0.044800 0.3142857
58     0.050  0.9090909 1.818182 0.022500 0.0990099
59     0.050  0.9090909 5.347594 0.040650 0.2857143
60     0.055  1.0000000 3.846154 0.040700 0.2115385
61     0.055  0.9166667 5.238095 0.044500 0.3055556
62     0.050  0.9090909 1.818182 0.022500 0.0990099
63     0.050  0.9090909 5.194805 0.040375 0.2777778
64     0.055  0.9166667 1.833333 0.025000 0.1089109
65     0.055  1.0000000 3.846154 0.040700 0.2115385
66     0.100  1.0000000 8.695652 0.088500 0.8695652
67     0.100  1.0000000 8.695652 0.088500 0.8695652
68     0.100  0.9090909 8.264463 0.087900 0.8333333
69     0.100  1.0000000 8.000000 0.087500 0.8000000
70     0.100  0.9090909 7.905138 0.087350 0.8000000
71     0.100  0.9090909 8.264463 0.087900 0.8333333
72     0.100  1.0000000 7.142857 0.086000 0.7142857
73     0.100  0.9090909 7.905138 0.087350 0.8000000
74     0.100  0.9090909 8.264463 0.087900 0.8333333
75     0.100  1.0000000 3.846154 0.074000 0.3846154
76     0.100  0.9090909 7.905138 0.087350 0.8000000
77     0.060  1.0000000 8.695652 0.053100 0.5217391
78     0.100  1.0000000 8.000000 0.087500 0.8000000
79     0.100  0.9090909 7.905138 0.087350 0.8000000
80     0.100  0.9523810 8.658009 0.088450 0.8695652
81     0.100  1.0000000 7.142857 0.086000 0.7142857
82     0.100  0.9090909 7.905138 0.087350 0.8000000
83     0.100  1.0000000 3.846154 0.074000 0.3846154
84     0.100  0.9090909 7.905138 0.087350 0.8000000
85     0.060  1.0000000 8.695652 0.053100 0.5217391
86     0.060  0.9230769 8.391608 0.052850 0.5217391
87     0.110  1.0000000 7.142857 0.094600 0.7857143
88     0.110  1.0000000 8.000000 0.096250 0.8800000
89     0.110  0.9166667 8.333333 0.096800 0.9166667
90     0.110  1.0000000 3.846154 0.081400 0.4230769
91     0.110  1.0000000 8.000000 0.096250 0.8800000
92     0.060  1.0000000 8.000000 0.052500 0.4800000
93     0.050  1.0000000 8.000000 0.043750 0.4000000
94     0.050  0.9090909 8.264463 0.043950 0.4347826
95     0.110  1.0000000 3.846154 0.081400 0.4230769
96     0.110  1.0000000 7.142857 0.094600 0.7857143
97     0.060  1.0000000 7.142857 0.051600 0.4285714
98     0.060  0.9230769 8.391608 0.052850 0.5217391
99     0.050  1.0000000 7.142857 0.043000 0.3571429
100    0.060  1.0000000 3.846154 0.044400 0.2307692
101    0.050  1.0000000 3.846154 0.037000 0.1923077
102    0.105  0.9545455 7.636364 0.091250 0.8076923
103    0.105  0.9545455 8.300395 0.092350 0.8750000
104    0.105  1.0000000 8.695652 0.092925 0.9130435
105    0.110  1.0000000 7.142857 0.094600 0.7857143
106    0.110  1.0000000 8.695652 0.097350 0.9565217
107    0.110  0.9565217 8.317580 0.096775 0.9166667
108    0.110  1.0000000 3.846154 0.081400 0.4230769
109    0.110  0.9565217 8.317580 0.096775 0.9166667
110    0.110  0.9565217 8.317580 0.096775 0.9166667
111    0.065  0.9285714 8.074534 0.056950 0.5416667
112    0.065  1.0000000 8.695652 0.057525 0.5652174
113    0.105  0.9545455 6.818182 0.089600 0.7241379
114    0.105  0.9545455 7.636364 0.091250 0.8076923
115    0.110  1.0000000 3.846154 0.081400 0.4230769
116    0.110  0.9565217 7.652174 0.095625 0.8461538
117    0.070  1.0000000 8.000000 0.061250 0.5600000
118    0.070  1.0000000 8.695652 0.061950 0.6086957
119    0.110  1.0000000 3.846154 0.081400 0.4230769
120    0.110  0.9565217 6.832298 0.093900 0.7586207
121    0.065  0.9285714 6.632653 0.055200 0.4482759
122    0.065  1.0000000 8.695652 0.057525 0.5652174
123    0.070  1.0000000 3.846154 0.051800 0.2692308
124    0.105  1.0000000 7.142857 0.090300 0.7500000
125    0.105  0.9130435 7.304348 0.090625 0.7777778
126    0.105  1.0000000 3.846154 0.077700 0.4038462
127    0.105  0.9130435 7.304348 0.090625 0.7777778
128    0.065  1.0000000 8.000000 0.056875 0.5200000
129    0.065  0.9285714 8.074534 0.056950 0.5416667
130    0.115  1.0000000 3.846154 0.085100 0.4423077
131    0.115  1.0000000 7.142857 0.098900 0.8214286
132    0.065  1.0000000 7.142857 0.055900 0.4642857
133    0.065  1.0000000 8.695652 0.057525 0.5652174
134    0.050  1.0000000 7.142857 0.043000 0.3571429
135    0.065  1.0000000 3.846154 0.048100 0.2500000
136    0.050  1.0000000 3.846154 0.037000 0.1923077
137    0.120  1.0000000 3.846154 0.088800 0.4615385
138    0.120  0.9600000 6.857143 0.102500 0.8275862
139    0.065  0.9285714 6.632653 0.055200 0.4482759
140    0.065  1.0000000 8.000000 0.056875 0.5200000
141    0.055  1.0000000 7.142857 0.047300 0.3928571
142    0.070  1.0000000 3.846154 0.051800 0.2692308
143    0.055  1.0000000 3.846154 0.040700 0.2115385
144    0.120  0.9600000 5.647059 0.098750 0.6857143
145    0.120  0.9600000 5.818182 0.099375 0.7058824
146    0.125  1.0000000 5.714286 0.103125 0.7142857
147    0.125  0.9615385 5.827506 0.103550 0.7352941
148    0.125  1.0000000 3.846154 0.092500 0.4807692
149    0.125  0.9615385 5.827506 0.103550 0.7352941
150    0.075  0.9375000 5.681818 0.061800 0.4411765
151    0.050  1.0000000 6.060606 0.041750 0.3030303
152    0.075  0.9375000 5.681818 0.061800 0.4411765
153    0.125  1.0000000 5.714286 0.103125 0.7142857
154    0.125  0.9615385 5.656109 0.102900 0.7142857
155    0.125  1.0000000 3.846154 0.092500 0.4807692
156    0.125  0.9615385 5.656109 0.102900 0.7142857
157    0.075  0.9375000 5.514706 0.061400 0.4285714
158    0.050  1.0000000 5.882353 0.041500 0.2941176
159    0.075  0.9375000 5.514706 0.061400 0.4285714
160    0.130  1.0000000 3.846154 0.096200 0.5000000
161    0.130  1.0000000 5.714286 0.107250 0.7428571
162    0.080  1.0000000 5.714286 0.066000 0.4571429
163    0.050  1.0000000 5.714286 0.041250 0.2857143
164    0.080  1.0000000 5.714286 0.066000 0.4571429
165    0.080  1.0000000 3.846154 0.059200 0.3076923
166    0.050  1.0000000 3.846154 0.037000 0.1923077
167    0.080  1.0000000 3.846154 0.059200 0.3076923
168    0.075  0.9375000 1.875000 0.035000 0.1485149
169    0.075  0.9375000 2.500000 0.045000 0.1973684
170    0.065  1.0000000 3.846154 0.048100 0.2500000
171    0.075  1.0000000 3.846154 0.055500 0.2884615
172    0.150  0.9677419 5.529954 0.122875 0.8333333
173    0.150  0.9677419 5.692600 0.123650 0.8571429
174    0.150  0.9090909 5.509642 0.122775 0.8333333
175    0.145  0.9354839 3.598015 0.104700 0.5370370
176    0.145  0.9354839 5.502846 0.118650 0.8055556
177    0.145  0.9062500 5.492424 0.118600 0.8055556
178    0.100  0.9090909 5.347594 0.081300 0.5555556
179    0.070  1.0000000 5.882353 0.058100 0.4117647
180    0.085  0.9444444 5.723906 0.070150 0.5000000
181    0.145  0.9354839 3.598015 0.104700 0.5370370
182    0.145  0.9354839 5.345622 0.117875 0.7837838
183    0.100  0.9090909 5.194805 0.080750 0.5405405
184    0.070  1.0000000 5.714286 0.057750 0.4000000
185    0.100  0.9090909 3.496503 0.071400 0.3703704
186    0.095  1.0000000 3.846154 0.070300 0.3653846
187    0.090  0.9473684 2.526316 0.054375 0.2368421
188    0.155  0.9393939 3.613054 0.112100 0.5740741
189    0.155  0.9687500 5.535714 0.127000 0.8611111
190    0.155  0.9393939 5.525847 0.126950 0.8611111
191    0.110  0.9565217 5.465839 0.089875 0.6111111
192    0.110  0.9166667 5.392157 0.089600 0.6111111
193    0.080  1.0000000 5.714286 0.066000 0.4571429
194    0.080  1.0000000 5.882353 0.066400 0.4705882
195    0.085  0.9444444 5.396825 0.069250 0.4722222
196    0.105  0.9130435 3.511706 0.075100 0.3888889
197    0.090  1.0000000 3.846154 0.066600 0.3461538
198    0.085  0.9444444 2.518519 0.051250 0.2236842
199    0.110  0.9166667 3.525641 0.078800 0.4074074
200    0.095  1.0000000 3.846154 0.070300 0.3653846
201    0.090  0.9473684 2.526316 0.054375 0.2368421
202    0.150  1.0000000 2.857143 0.097500 0.4285714
203    0.135  0.9000000 2.535211 0.081750 0.3648649
204    0.140  0.9333333 2.557078 0.085250 0.3733333
205    0.140  0.9333333 2.196078 0.076250 0.3218391
206    0.160  0.9142857 2.151261 0.085625 0.3636364
207    0.150  0.9375000 2.568493 0.091600 0.4000000
208    0.160  1.0000000 2.352941 0.092000 0.3764706
209    0.155  0.9117647 2.145329 0.082750 0.3522727
210    0.060  1.0000000 2.739726 0.038100 0.1643836
211    0.060  1.0000000 2.000000 0.030000 0.1200000
212    0.065  1.0000000 2.531646 0.039325 0.1645570
213    0.120  1.0000000 2.352941 0.069000 0.2823529
214    0.165  0.9428571 2.583170 0.101125 0.4400000
215    0.165  0.9428571 2.732919 0.104625 0.4647887
216    0.175  1.0000000 2.531646 0.105875 0.4430380
217    0.175  1.0000000 2.469136 0.104125 0.4320988
218    0.110  0.9166667 2.657005 0.068600 0.3098592
219    0.055  1.0000000 2.000000 0.027500 0.1100000
220    0.175  1.0000000 2.531646 0.105875 0.4430380
221    0.175  1.0000000 2.469136 0.104125 0.4320988
222    0.120  1.0000000 2.739726 0.076200 0.3287671
223    0.110  0.9166667 2.320675 0.062600 0.2716049
224    0.120  1.0000000 2.469136 0.071400 0.2962963
225    0.200  1.0000000 2.469136 0.119000 0.4938272
226    0.200  0.9523810 2.411091 0.117050 0.4938272
227    0.120  1.0000000 2.531646 0.072600 0.3037975
228    0.120  1.0000000 2.469136 0.071400 0.2962963
229    0.130  0.9629630 2.751323 0.082750 0.3661972
230    0.125  0.9259259 2.608242 0.077075 0.3424658
231    0.115  0.9200000 2.920635 0.075625 0.3538462
232    0.105  0.9545455 3.030303 0.070350 0.3281250
233    0.115  0.9200000 2.628571 0.071250 0.3194444
234    0.110  1.0000000 2.857143 0.071500 0.3142857
235    0.120  0.9600000 2.704225 0.075625 0.3333333
236    0.110  1.0000000 2.816901 0.070950 0.3098592
237    0.100  0.9090909 2.490660 0.059850 0.2666667
238    0.085  0.9444444 2.331962 0.048550 0.2073171
239    0.090  0.9000000 2.278481 0.050500 0.2222222
240    0.090  0.9473684 2.595530 0.055325 0.2432432
241    0.095  0.9500000 2.345679 0.054500 0.2317073
242    0.095  1.0000000 2.469136 0.056525 0.2345679
243    0.285  0.9193548 2.589732 0.174950 0.7500000
244    0.285  0.9827586 2.807882 0.183500 0.8028169
245    0.285  0.9661017 3.066990 0.192075 0.8769231
246    0.280  0.9032258 2.474591 0.166850 0.7088608
247    0.280  0.9824561 2.807018 0.180250 0.7887324
248    0.280  0.9491525 3.013183 0.187075 0.8484848
249    0.275  1.0000000 2.857143 0.178750 0.7857143
250    0.275  0.9166667 2.910053 0.180500 0.8088235
251    0.150  1.0000000 2.857143 0.097500 0.4285714
252    0.160  0.9696970 2.770563 0.102250 0.4507042
253    0.270  0.9310345 2.550779 0.164150 0.7012987
254    0.270  0.9473684 2.668643 0.168825 0.7297297
255    0.270  0.9310345 2.190669 0.146750 0.6067416
256    0.270  0.9818182 2.765685 0.172375 0.7500000
257    0.140  0.9333333 2.629108 0.086750 0.3835616
258    0.150  0.9090909 2.560819 0.091425 0.4054054
259    0.260  0.9122807 2.146543 0.138875 0.5777778
260    0.260  0.9454545 2.590286 0.159625 0.6842105
261    0.145  0.9666667 2.648402 0.090250 0.3918919
262    0.140  0.9333333 2.196078 0.076250 0.3218391
263    0.140  0.9032258 2.867384 0.091175 0.4242424
264    0.300  0.9836066 2.490143 0.179525 0.7500000
265    0.300  0.9677419 2.651348 0.186850 0.8000000
266    0.285  0.9344262 2.307225 0.161475 0.6705882
267    0.285  0.9344262 2.560072 0.173675 0.7402597
268    0.285  0.9047619 2.622498 0.176325 0.7600000
269    0.155  0.9117647 2.497985 0.092950 0.4078947
270    0.205  0.9111111 2.306610 0.116125 0.4939759
271    0.215  0.9555556 2.359396 0.123875 0.5180723
272    0.165  0.9428571 2.514286 0.099375 0.4285714
273    0.290  0.9354839 2.309837 0.164450 0.6823529
274    0.290  0.9508197 2.407138 0.169525 0.7073171
275    0.160  0.9142857 2.314647 0.090875 0.3902439
276    0.165  0.9428571 2.328042 0.094125 0.3975904
277    0.110  0.9565217 1.913043 0.052500 0.2178218
278    0.270  0.9152542 2.507546 0.162325 0.6923077
279    0.270  0.9152542 2.578181 0.165275 0.7105263
280    0.280  0.9491525 2.233300 0.154625 0.6363636
281    0.280  0.9333333 2.629108 0.173500 0.7466667
282    0.280  0.9180328 2.622951 0.173250 0.7466667
283    0.155  0.9117647 2.497985 0.092950 0.4078947
284    0.145  0.9354839 2.672811 0.090750 0.4027778
285    0.285  0.9047619 2.128852 0.151125 0.6263736
286    0.285  0.9344262 2.560072 0.173675 0.7402597
287    0.285  0.9344262 2.632187 0.176725 0.7600000
