"rules","support","confidence","lift","count"
"{RW=[16.77,20.20]} => {BD=[17.73,21.60]}",0.055,0.916666666666667,5.55555555555556,11
"{RW=[16.77,20.20]} => {FL=[19.1,23.1]}",0.055,0.916666666666667,5.3921568627451,11
"{RW=[16.77,20.20]} => {CL=[39.4,47.6]}",0.055,0.916666666666667,5.23809523809524,11
"{RW=[16.77,20.20]} => {index=[37.8,50.0]}",0.06,1,3.84615384615385,12
"{RW=[16.77,20.20]} => {sex=[0.75,1.00]}",0.055,0.916666666666667,1.83333333333333,11
"{FL=[ 7.2,11.2)} => {CL=[14.7,22.9)}",0.1,0.909090909090909,7.90513833992095,20
"{FL=[ 7.2,11.2)} => {CW=[17.1,26.5)}",0.1,0.909090909090909,7.90513833992095,20
"{FL=[ 7.2,11.2)} => {BD=[ 6.10, 9.97)}",0.11,1,8,22
"{FL=[ 7.2,11.2)} => {RW=[ 6.50, 9.93)}",0.11,1,7.14285714285714,22
"{FL=[ 7.2,11.2)} => {index=[ 1.0,13.2)}",0.11,1,3.84615384615385,22
"{CL=[14.7,22.9)} => {CW=[17.1,26.5)}",0.11,0.956521739130435,8.31758034026465,22
"{CW=[17.1,26.5)} => {CL=[14.7,22.9)}",0.11,0.956521739130435,8.31758034026465,22
"{CL=[14.7,22.9)} => {BD=[ 6.10, 9.97)}",0.11,0.956521739130435,7.65217391304348,22
"{CL=[14.7,22.9)} => {RW=[ 6.50, 9.93)}",0.11,0.956521739130435,6.83229813664596,22
"{CL=[14.7,22.9)} => {index=[ 1.0,13.2)}",0.115,1,3.84615384615385,23
"{CW=[17.1,26.5)} => {BD=[ 6.10, 9.97)}",0.105,0.91304347826087,7.30434782608696,21
"{CW=[17.1,26.5)} => {RW=[ 6.50, 9.93)}",0.115,1,7.14285714285714,23
"{CW=[17.1,26.5)} => {index=[ 1.0,13.2)}",0.115,1,3.84615384615385,23
"{BD=[ 6.10, 9.97)} => {RW=[ 6.50, 9.93)}",0.12,0.96,6.85714285714286,24
"{BD=[ 6.10, 9.97)} => {index=[ 1.0,13.2)}",0.125,1,3.84615384615385,25
"{CW=[45.2,54.6]} => {BD=[17.73,21.60]}",0.125,0.961538461538462,5.82750582750583,25
"{CW=[45.2,54.6]} => {FL=[19.1,23.1]}",0.125,0.961538461538462,5.65610859728507,25
"{CW=[45.2,54.6]} => {CL=[39.4,47.6]}",0.13,1,5.71428571428571,26
"{CW=[45.2,54.6]} => {index=[37.8,50.0]}",0.13,1,3.84615384615385,26
"{RW=[ 6.50, 9.93)} => {index=[ 1.0,13.2)}",0.14,1,3.84615384615385,28
"{BD=[17.73,21.60]} => {FL=[19.1,23.1]}",0.155,0.939393939393939,5.52584670231729,31
"{FL=[19.1,23.1]} => {BD=[17.73,21.60]}",0.155,0.911764705882353,5.52584670231729,31
"{BD=[17.73,21.60]} => {CL=[39.4,47.6]}",0.155,0.939393939393939,5.36796536796537,31
"{BD=[17.73,21.60]} => {index=[37.8,50.0]}",0.155,0.939393939393939,3.61305361305361,31
"{FL=[19.1,23.1]} => {CL=[39.4,47.6]}",0.165,0.970588235294118,5.54621848739496,33
"{CL=[39.4,47.6]} => {FL=[19.1,23.1]}",0.165,0.942857142857143,5.54621848739496,33
"{FL=[19.1,23.1]} => {index=[37.8,50.0]}",0.16,0.941176470588235,3.61990950226244,32
"{CL=[39.4,47.6]} => {index=[37.8,50.0]}",0.165,0.942857142857143,3.62637362637363,33
"{CL=[22.9,31.2)} => {CW=[26.5,35.9)}",0.31,0.984126984126984,2.81179138321995,62
"{CL=[22.9,31.2)} => {FL=[11.2,15.2)}",0.29,0.920634920634921,2.59333780460541,58
"{CL=[22.9,31.2)} => {BD=[ 9.97,13.85)}",0.285,0.904761904761905,2.47879973907371,57
"{FL=[15.2,19.1)} => {CL=[31.2,39.4)}",0.34,0.931506849315068,2.35824518813941,68
"{CL=[31.2,39.4)} => {CW=[35.9,45.2)}",0.36,0.911392405063291,2.25035161744022,72
"{RW=[16.77,20.20],CW=[45.2,54.6]} => {BD=[17.73,21.60]}",0.05,1,6.06060606060606,10
"{RW=[16.77,20.20],BD=[17.73,21.60]} => {CW=[45.2,54.6]}",0.05,0.909090909090909,6.99300699300699,10
"{RW=[16.77,20.20],CW=[45.2,54.6]} => {FL=[19.1,23.1]}",0.05,1,5.88235294117647,10
"{FL=[19.1,23.1],RW=[16.77,20.20]} => {CW=[45.2,54.6]}",0.05,0.909090909090909,6.99300699300699,10
"{RW=[16.77,20.20],CW=[45.2,54.6]} => {CL=[39.4,47.6]}",0.05,1,5.71428571428571,10
"{RW=[16.77,20.20],CL=[39.4,47.6]} => {CW=[45.2,54.6]}",0.05,0.909090909090909,6.99300699300699,10
"{RW=[16.77,20.20],CW=[45.2,54.6]} => {index=[37.8,50.0]}",0.05,1,3.84615384615385,10
"{RW=[16.77,20.20],BD=[17.73,21.60]} => {FL=[19.1,23.1]}",0.055,1,5.88235294117647,11
"{FL=[19.1,23.1],RW=[16.77,20.20]} => {BD=[17.73,21.60]}",0.055,1,6.06060606060606,11
"{RW=[16.77,20.20],BD=[17.73,21.60]} => {CL=[39.4,47.6]}",0.055,1,5.71428571428571,11
"{RW=[16.77,20.20],CL=[39.4,47.6]} => {BD=[17.73,21.60]}",0.055,1,6.06060606060606,11
"{RW=[16.77,20.20],BD=[17.73,21.60]} => {index=[37.8,50.0]}",0.055,1,3.84615384615385,11
"{index=[37.8,50.0],RW=[16.77,20.20]} => {BD=[17.73,21.60]}",0.055,0.916666666666667,5.55555555555556,11
"{RW=[16.77,20.20],BD=[17.73,21.60]} => {sex=[0.75,1.00]}",0.05,0.909090909090909,1.81818181818182,10
"{sex=[0.75,1.00],RW=[16.77,20.20]} => {BD=[17.73,21.60]}",0.05,0.909090909090909,5.50964187327824,10
"{FL=[19.1,23.1],RW=[16.77,20.20]} => {CL=[39.4,47.6]}",0.055,1,5.71428571428571,11
"{RW=[16.77,20.20],CL=[39.4,47.6]} => {FL=[19.1,23.1]}",0.055,1,5.88235294117647,11
"{FL=[19.1,23.1],RW=[16.77,20.20]} => {index=[37.8,50.0]}",0.055,1,3.84615384615385,11
"{index=[37.8,50.0],RW=[16.77,20.20]} => {FL=[19.1,23.1]}",0.055,0.916666666666667,5.3921568627451,11
"{FL=[19.1,23.1],RW=[16.77,20.20]} => {sex=[0.75,1.00]}",0.05,0.909090909090909,1.81818181818182,10
"{sex=[0.75,1.00],RW=[16.77,20.20]} => {FL=[19.1,23.1]}",0.05,0.909090909090909,5.3475935828877,10
"{RW=[16.77,20.20],CL=[39.4,47.6]} => {index=[37.8,50.0]}",0.055,1,3.84615384615385,11
"{index=[37.8,50.0],RW=[16.77,20.20]} => {CL=[39.4,47.6]}",0.055,0.916666666666667,5.23809523809524,11
"{RW=[16.77,20.20],CL=[39.4,47.6]} => {sex=[0.75,1.00]}",0.05,0.909090909090909,1.81818181818182,10
"{sex=[0.75,1.00],RW=[16.77,20.20]} => {CL=[39.4,47.6]}",0.05,0.909090909090909,5.19480519480519,10
"{index=[37.8,50.0],RW=[16.77,20.20]} => {sex=[0.75,1.00]}",0.055,0.916666666666667,1.83333333333333,11
"{sex=[0.75,1.00],RW=[16.77,20.20]} => {index=[37.8,50.0]}",0.055,1,3.84615384615385,11
"{FL=[ 7.2,11.2),CL=[14.7,22.9)} => {CW=[17.1,26.5)}",0.1,1,8.69565217391304,20
"{FL=[ 7.2,11.2),CW=[17.1,26.5)} => {CL=[14.7,22.9)}",0.1,1,8.69565217391304,20
"{CL=[14.7,22.9),CW=[17.1,26.5)} => {FL=[ 7.2,11.2)}",0.1,0.909090909090909,8.26446280991735,20
"{FL=[ 7.2,11.2),CL=[14.7,22.9)} => {BD=[ 6.10, 9.97)}",0.1,1,8,20
"{FL=[ 7.2,11.2),BD=[ 6.10, 9.97)} => {CL=[14.7,22.9)}",0.1,0.909090909090909,7.90513833992095,20
"{CL=[14.7,22.9),BD=[ 6.10, 9.97)} => {FL=[ 7.2,11.2)}",0.1,0.909090909090909,8.26446280991735,20
"{FL=[ 7.2,11.2),CL=[14.7,22.9)} => {RW=[ 6.50, 9.93)}",0.1,1,7.14285714285714,20
"{FL=[ 7.2,11.2),RW=[ 6.50, 9.93)} => {CL=[14.7,22.9)}",0.1,0.909090909090909,7.90513833992095,20
"{RW=[ 6.50, 9.93),CL=[14.7,22.9)} => {FL=[ 7.2,11.2)}",0.1,0.909090909090909,8.26446280991735,20
"{FL=[ 7.2,11.2),CL=[14.7,22.9)} => {index=[ 1.0,13.2)}",0.1,1,3.84615384615385,20
"{index=[ 1.0,13.2),FL=[ 7.2,11.2)} => {CL=[14.7,22.9)}",0.1,0.909090909090909,7.90513833992095,20
"{sex=[0.75,1.00],FL=[ 7.2,11.2)} => {CL=[14.7,22.9)}",0.06,1,8.69565217391304,12
"{FL=[ 7.2,11.2),CW=[17.1,26.5)} => {BD=[ 6.10, 9.97)}",0.1,1,8,20
"{FL=[ 7.2,11.2),BD=[ 6.10, 9.97)} => {CW=[17.1,26.5)}",0.1,0.909090909090909,7.90513833992095,20
"{CW=[17.1,26.5),BD=[ 6.10, 9.97)} => {FL=[ 7.2,11.2)}",0.1,0.952380952380952,8.65800865800866,20
"{FL=[ 7.2,11.2),CW=[17.1,26.5)} => {RW=[ 6.50, 9.93)}",0.1,1,7.14285714285714,20
"{FL=[ 7.2,11.2),RW=[ 6.50, 9.93)} => {CW=[17.1,26.5)}",0.1,0.909090909090909,7.90513833992095,20
"{FL=[ 7.2,11.2),CW=[17.1,26.5)} => {index=[ 1.0,13.2)}",0.1,1,3.84615384615385,20
"{index=[ 1.0,13.2),FL=[ 7.2,11.2)} => {CW=[17.1,26.5)}",0.1,0.909090909090909,7.90513833992095,20
"{sex=[0.75,1.00],FL=[ 7.2,11.2)} => {CW=[17.1,26.5)}",0.06,1,8.69565217391304,12
"{sex=[0.75,1.00],CW=[17.1,26.5)} => {FL=[ 7.2,11.2)}",0.06,0.923076923076923,8.39160839160839,12
