   support confidence     lift leverage   jaccard
1    0.210  0.9333333 4.057971 0.158250 0.8571429
2    0.210  0.9130435 4.057971 0.158250 0.8571429
3    0.215  0.8600000 3.372549 0.151250 0.7413793
4    0.225  0.9000000 3.157895 0.153750 0.7258065
5    0.250  0.9259259 3.248863 0.173050 0.8196721
6    0.250  0.8771930 3.248863 0.173050 0.8196721
7    0.280  0.8888889 2.777778 0.179200 0.7887324
8    0.280  0.8750000 2.777778 0.179200 0.7887324
9    0.270  0.8571429 2.597403 0.166050 0.7200000
10   0.270  0.8571429 2.597403 0.166050 0.7200000
11   0.295  0.8939394 2.708907 0.186100 0.8082192
12   0.295  0.8939394 2.708907 0.186100 0.8082192
13   0.240  0.8571429 2.597403 0.147600 0.6486486
14   0.240  0.8888889 2.777778 0.153600 0.6857143
15   0.240  1.0000000 3.174603 0.164400 0.7619048
16   0.240  0.8571429 2.597403 0.147600 0.6486486
17   0.240  0.8888889 2.777778 0.153600 0.6857143
18   0.240  0.9795918 3.109815 0.162825 0.7500000
19   0.255  0.9444444 2.861953 0.165900 0.7391304
20   0.255  0.9444444 2.861953 0.165900 0.7391304
21   0.255  0.8644068 2.744149 0.162075 0.7183099
22   0.225  0.9375000 2.840909 0.145800 0.6521739
23   0.225  0.9183673 2.782931 0.144150 0.6428571
24   0.225  0.9375000 2.840909 0.145800 0.6521739
25   0.225  0.9375000 2.840909 0.145800 0.6521739
26   0.225  0.8823529 2.757353 0.143400 0.6428571
27   0.225  1.0000000 3.174603 0.154125 0.7142857
