     support confidence      lift      leverage    jaccard
1      0.500  0.5000000  1.000000  0.000000e+00 0.50000000
2      0.500  0.5000000  1.000000  0.000000e+00 0.50000000
3      0.070  0.9333333 12.444444  6.437500e-02 0.87500000
4      0.070  0.9333333 12.444444  6.437500e-02 0.87500000
5      0.070  0.9333333 10.980392  6.362500e-02 0.77777778
6      0.070  0.8235294 10.980392  6.362500e-02 0.77777778
7      0.065  0.8666667  9.629630  5.825000e-02 0.65000000
8      0.065  0.7222222  9.629630  5.825000e-02 0.65000000
9      0.075  1.0000000 11.111111  6.825000e-02 0.83333333
10     0.075  0.8333333 11.111111  6.825000e-02 0.83333333
11     0.075  1.0000000  5.000000  6.000000e-02 0.37500000
12     0.075  1.0000000 11.764706  6.862500e-02 0.88235294
13     0.075  0.8823529 11.764706  6.862500e-02 0.88235294
14     0.070  0.9333333 10.370370  6.325000e-02 0.73684211
15     0.070  0.7777778 10.370370  6.325000e-02 0.73684211
16     0.070  0.9333333 10.370370  6.325000e-02 0.73684211
17     0.070  0.7777778 10.370370  6.325000e-02 0.73684211
18     0.075  1.0000000  5.000000  6.000000e-02 0.37500000
19     0.075  0.8823529  9.803922  6.735000e-02 0.75000000
20     0.075  0.8333333  9.803922  6.735000e-02 0.75000000
21     0.070  0.8235294  9.150327  6.235000e-02 0.66666667
22     0.070  0.7777778  9.150327  6.235000e-02 0.66666667
23     0.085  1.0000000  5.000000  6.800000e-02 0.42500000
24     0.065  0.7222222  8.024691  5.690000e-02 0.56521739
25     0.065  0.7222222  8.024691  5.690000e-02 0.56521739
26     0.090  1.0000000  5.000000  7.200000e-02 0.45000000
27     0.055  0.6111111  1.222222  1.000000e-02 0.10280374
28     0.085  0.9444444  4.722222  6.700000e-02 0.41463415
29     0.055  0.6111111  1.222222  1.000000e-02 0.10280374
30     0.075  0.7500000  7.500000  6.500000e-02 0.60000000
31     0.075  0.7500000  7.500000  6.500000e-02 0.60000000
32     0.095  0.9500000  8.636364  8.400000e-02 0.82608696
33     0.095  0.8636364  8.636364  8.400000e-02 0.82608696
34     0.070  0.7000000  6.086957  5.850000e-02 0.48275862
35     0.070  0.6086957  6.086957  5.850000e-02 0.48275862
36     0.075  0.7500000  4.285714  5.750000e-02 0.37500000
37     0.100  1.0000000  5.000000  8.000000e-02 0.50000000
38     0.100  0.5000000  5.000000  8.000000e-02 0.50000000
39     0.070  0.7000000  1.400000  2.000000e-02 0.13207547
40     0.090  0.9000000  8.181818  7.900000e-02 0.75000000
41     0.090  0.8181818  8.181818  7.900000e-02 0.75000000
42     0.095  0.9500000  8.260870  8.350000e-02 0.79166667
43     0.095  0.8260870  8.260870  8.350000e-02 0.79166667
44     0.065  0.6500000  3.714286  4.750000e-02 0.30952381
45     0.095  0.9500000  4.750000  7.500000e-02 0.46341463
46     0.055  0.5500000  1.100000  5.000000e-03 0.10091743
47     0.085  0.7727273  6.719368  7.235000e-02 0.60714286
48     0.085  0.7391304  6.719368  7.235000e-02 0.60714286
49     0.070  0.6363636  3.636364  5.075000e-02 0.32558140
50     0.110  1.0000000  5.000000  8.800000e-02 0.55000000
51     0.110  0.5500000  5.000000  8.800000e-02 0.55000000
52     0.075  0.6818182  1.363636  2.000000e-02 0.14018692
53     0.080  0.6956522  3.975155  5.987500e-02 0.38095238
54     0.105  0.9130435  4.565217  8.200000e-02 0.50000000
55     0.105  0.5250000  4.565217  8.200000e-02 0.50000000
56     0.060  0.5217391  1.043478  2.500000e-03 0.10810811
57     0.110  0.6285714  3.142857  7.500000e-02 0.41509434
58     0.110  0.5500000  3.142857  7.500000e-02 0.41509434
59     0.095  0.5428571  2.171429  5.125000e-02 0.28787879
60     0.095  0.5428571  2.010582  4.775000e-02 0.27142857
61     0.105  0.6000000  2.105263  5.512500e-02 0.29577465
62     0.120  0.6857143  1.371429  3.250000e-02 0.21621622
63     0.100  0.5000000  1.000000  0.000000e+00 0.16666667
