
With 2 centroids
           comp        ave       cent
sin   80.952381 25.0449028 18.2437356
comp   1.059190  0.3276903  0.2387031
ave    2.655357  0.8215096  0.5984213
cent   2.689969  0.8322177  0.6062216
aveto  2.669241  0.8258049  0.6015502
haus   2.091021  0.6469163  0.4712404

With 3 centroids
           comp        ave       cent
sin   58.342774 21.1400813 15.3352618
comp   1.074508  0.4023628  0.2913129
ave    2.549920  0.9427028  0.6825459
cent   2.624384  0.9752619  0.7061098
aveto  2.594811  0.9635954  0.6976643
haus   1.950334  0.7312095  0.5293723

With 4 centroids
           comp       ave      cent
sin   20.961385 8.4350178 6.1086435
comp   1.078110 0.4336326 0.3139741
ave    2.407520 0.9205493 0.6645302
cent   2.487408 0.9534141 0.6882542
aveto  2.449811 0.9384233 0.6774313
haus   2.455945 0.9866762 0.7145324

With 5 centroids
           comp       ave      cent
sin   22.427846 9.4181994 6.8620050
comp   1.127760 0.4846000 0.3527435
ave    2.439033 1.0445272 0.7602742
cent   2.647329 1.1394813 0.8296775
aveto  2.553724 1.0979941 0.7993687
haus   2.369669 0.9993148 0.7264275

With 6 centroids
           comp        ave      cent
sin   24.624657 11.0941766 8.1226735
comp   1.179387  0.5304789 0.3877669
ave    2.559000  1.1508574 0.8413026
cent   2.898293  1.3052329 0.9546376
aveto  2.746789  1.2363650 0.9040941
haus   2.656730  1.1988219 0.8771494

With 7 centroids
           comp        ave      cent
sin   25.648698 11.5587862 8.4897902
comp   1.370071  0.6103777 0.4474258
ave    2.798075  1.2436562 0.9111936
cent   3.469267  1.5466321 1.1336771
aveto  3.070667  1.3670050 1.0018192
haus   3.008942  1.3451231 0.9862317

With 8 centroids
           comp       ave      cent
sin   16.932206 7.5239638 5.3886253
comp   1.423355 0.6489162 0.4678339
ave    2.716825 1.2383770 0.8924641
cent   3.598674 1.6388441 1.1813230
aveto  2.977519 1.3575392 0.9786108
haus   2.934436 1.3292869 0.9577913

With 9 centroids
           comp      ave      cent
sin   16.995743 7.525375 5.4396405
comp   1.435743 0.650123 0.4700531
ave    2.662308 1.210905 0.8792181
cent   3.564652 1.621842 1.1782655
aveto  2.899262 1.319340 0.9580809
haus   2.870019 1.268386 0.9179358
