
With 2 centroids
            comp        ave      cent
sin   0.02312775 0.07831018 0.1078055
comp  1.76762115 5.98513546 8.2394221
ave   0.70508284 2.38739865 3.2866065
cent  0.69601057 2.35668008 3.2443179
aveto 0.70141548 2.37498103 3.2695118
haus  0.89537445 3.03172282 4.1736138

With 3 centroids
            comp        ave      cent
sin   0.02467344 0.07720733 0.1069478
comp  1.45428157 4.55069100 6.3036266
ave   0.62804517 1.96525871 2.7222804
cent  0.60418454 1.89059479 2.6188558
aveto 0.61189468 1.91472112 2.6522757
haus  0.78664731 2.46155142 3.4097461

With 4 centroids
            comp       ave      cent
sin   0.06759443 0.1849166 0.2592072
comp  1.36580517 3.7364032 5.2375105
ave   0.71662439 1.9604536 2.7480697
cent  0.69830424 1.9103356 2.6778166
aveto 0.70898259 1.9395481 2.7187654
haus  0.57852883 1.5826686 2.2185088

With 5 centroids
            comp       ave      cent
sin   0.05947137 0.1713534 0.2342128
comp  1.26211454 3.6365002 4.9705164
ave   0.57391992 1.6536216 2.2602373
cent  0.50016943 1.4411261 1.9697898
aveto 0.52873293 1.5234255 2.0822799
haus  0.60132159 1.7325734 2.3681518

With 6 centroids
           comp       ave      cent
sin   0.0509915 0.1182866 0.1609505
comp  1.3824363 3.2068819 4.3635466
ave   0.6204407 1.4392562 1.9583701
cent  0.5350651 1.2412077 1.6888890
aveto 0.5677895 1.3171196 1.7921810
haus  0.5892351 1.3668677 1.8598723

With 7 centroids
            comp       ave      cent
sin   0.04738155 0.1304527 0.1750752
comp  0.89526185 2.4648693 3.3079996
ave   0.48446157 1.3338382 1.7900894
cent  0.35378826 0.9740634 1.3072504
aveto 0.42855015 1.1799007 1.5834962
haus  0.41645885 1.1466105 1.5388188

With 8 centroids
            comp       ave      cent
sin   0.08849558 0.2162734 0.2955575
comp  0.87610619 2.1411064 2.9260194
ave   0.50596684 1.2365268 1.6898280
cent  0.29397620 0.7184452 0.9818217
aveto 0.43961995 1.0743824 1.4682427
haus  0.48967552 1.1967126 1.6354183

With 9 centroids
            comp       ave      cent
sin   0.06982544 0.1957925 0.2760094
comp  0.66583541 1.8670213 2.6319469
ave   0.40063657 1.1233962 1.5836559
cent  0.22570547 0.6328845 0.8921797
aveto 0.34647305 0.9715202 1.3695557
haus  0.35162095 0.9859551 1.3899045
